filer_cik,filer_name,form,filed_date,url,title,captured_at
0000078128,"Essential Utilities, Inc.",425,2026-04-24,https://www.sec.gov/Archives/edgar/data/78128/000155278126000272/0001552781-26-000272-index.htm,"425 - Essential Utilities, Inc. (0000078128) (Subject)",2026-04-27T23:11:58Z
0002028201,Columbus Acquisition Corp/Cayman Islands,425,2026-04-24,https://www.sec.gov/Archives/edgar/data/2028201/000121390026047508/0001213900-26-047508-index.htm,425 - Columbus Acquisition Corp/Cayman Islands (0002028201) (Subject),2026-04-27T23:11:58Z
0002119292,Bleichroeder Acquisition 2 France,425,2026-04-24,https://www.sec.gov/Archives/edgar/data/2119292/000121390026047460/0001213900-26-047460-index.htm,425 - Bleichroeder Acquisition 2 France (0002119292) (Filed by),2026-04-27T23:11:58Z
0002088295,Bleichroeder Acquisition Corp. II,425,2026-04-24,https://www.sec.gov/Archives/edgar/data/2088295/000121390026047460/0001213900-26-047460-index.htm,425 - Bleichroeder Acquisition Corp. II (0002088295) (Subject),2026-04-27T23:11:58Z
0001264136,WOORI FINANCIAL GROUP INC.,425,2026-04-24,https://www.sec.gov/Archives/edgar/data/1264136/000119312526174907/0001193125-26-174907-index.htm,425 - WOORI FINANCIAL GROUP INC. (0001264136) (Subject),2026-04-27T23:11:58Z
0000866829,HELIX ENERGY SOLUTIONS GROUP INC,425,2026-04-23,https://www.sec.gov/Archives/edgar/data/866829/000114036126016448/0001140361-26-016448-index.htm,425 - HELIX ENERGY SOLUTIONS GROUP INC (0000866829) (Subject),2026-04-27T23:11:58Z
0000866829,HELIX ENERGY SOLUTIONS GROUP INC,425,2026-04-23,https://www.sec.gov/Archives/edgar/data/866829/000114036126016447/0001140361-26-016447-index.htm,425 - HELIX ENERGY SOLUTIONS GROUP INC (0000866829) (Subject),2026-04-27T23:11:58Z
0000866829,HELIX ENERGY SOLUTIONS GROUP INC,425,2026-04-23,https://www.sec.gov/Archives/edgar/data/866829/000114036126016446/0001140361-26-016446-index.htm,425 - HELIX ENERGY SOLUTIONS GROUP INC (0000866829) (Subject),2026-04-27T23:11:58Z
0000866829,HELIX ENERGY SOLUTIONS GROUP INC,425,2026-04-23,https://www.sec.gov/Archives/edgar/data/866829/000114036126016445/0001140361-26-016445-index.htm,425 - HELIX ENERGY SOLUTIONS GROUP INC (0000866829) (Subject),2026-04-27T23:11:58Z
0000866829,HELIX ENERGY SOLUTIONS GROUP INC,425,2026-04-23,https://www.sec.gov/Archives/edgar/data/866829/000114036126016444/0001140361-26-016444-index.htm,425 - HELIX ENERGY SOLUTIONS GROUP INC (0000866829) (Subject),2026-04-27T23:11:58Z
