week_ending,rank,title,studio,weekly_gross,cumulative,theaters,captured_at
2026-04-27,13,-,false,0,0,,2026-04-27T23:12:23Z
2026-04-27,24,"$126,287,056",false,133380984,0,53,2026-04-27T23:12:23Z
