domain,region_or_line,metric_name,value,unit,status,captured_at
grid_regional_mix,Scotland,pct_wind,33.4,percent,,2026-04-27T23:11:45Z
grid_regional,Wales,carbon_intensity_forecast,326,gCO2_per_kWh,very high,2026-04-27T23:11:45Z
grid_regional_mix,Wales,pct_gas,82.8,percent,,2026-04-27T23:11:45Z
grid_regional_mix,Wales,pct_nuclear,0.1,percent,,2026-04-27T23:11:45Z
grid_regional_mix,Wales,pct_solar,0,percent,,2026-04-27T23:11:45Z
grid_regional_mix,Wales,pct_wind,17.2,percent,,2026-04-27T23:11:45Z
grid_regional,GB,carbon_intensity_forecast,145,gCO2_per_kWh,moderate,2026-04-27T23:11:45Z
grid_regional_mix,GB,pct_gas,25.4,percent,,2026-04-27T23:11:45Z
grid_regional_mix,GB,pct_nuclear,22,percent,,2026-04-27T23:11:45Z
grid_regional_mix,GB,pct_solar,0,percent,,2026-04-27T23:11:45Z
grid_regional_mix,GB,pct_wind,16.6,percent,,2026-04-27T23:11:45Z
tfl_tube,Bakerloo,line_status,10,severity_0_20,Good Service,2026-04-27T23:11:45Z
tfl_tube,Central,line_status,9,severity_0_20,Minor Delays,2026-04-27T23:11:45Z
tfl_tube,Circle,line_status,9,severity_0_20,Minor Delays,2026-04-27T23:11:45Z
tfl_tube,District,line_status,10,severity_0_20,Good Service,2026-04-27T23:11:45Z
tfl_tube,Hammersmith & City,line_status,10,severity_0_20,Good Service,2026-04-27T23:11:45Z
tfl_tube,Jubilee,line_status,10,severity_0_20,Good Service,2026-04-27T23:11:45Z
tfl_tube,Metropolitan,line_status,10,severity_0_20,Good Service,2026-04-27T23:11:45Z
tfl_tube,Northern,line_status,5,severity_0_20,Part Closure,2026-04-27T23:11:45Z
tfl_tube,Piccadilly,line_status,10,severity_0_20,Good Service,2026-04-27T23:11:45Z
tfl_tube,Victoria,line_status,10,severity_0_20,Good Service,2026-04-27T23:11:45Z
tfl_tube,Waterloo & City,line_status,10,severity_0_20,Good Service,2026-04-27T23:11:45Z
