geo,geo_label,period,index_2021,mom_pct,yoy_pct,captured_at
BE,Belgium,2024-10,110.80,,,2026-04-27T22:49:34Z
BE,Belgium,2024-11,108.10,-2.44,,2026-04-27T22:49:34Z
BE,Belgium,2024-12,126.80,17.30,,2026-04-27T22:49:34Z
BE,Belgium,2025-01,106.10,-16.32,,2026-04-27T22:49:34Z
BE,Belgium,2025-02,97.00,-8.58,,2026-04-27T22:49:34Z
BE,Belgium,2025-03,109.80,13.20,,2026-04-27T22:49:34Z
BE,Belgium,2025-04,108.80,-0.91,,2026-04-27T22:49:34Z
BE,Belgium,2025-05,110.30,1.38,,2026-04-27T22:49:34Z
BE,Belgium,2025-06,113.10,2.54,,2026-04-27T22:49:34Z
BE,Belgium,2025-07,110.40,-2.39,,2026-04-27T22:49:34Z
BE,Belgium,2025-08,103.70,-6.07,,2026-04-27T22:49:34Z
BE,Belgium,2025-09,105.90,2.12,,2026-04-27T22:49:34Z
BE,Belgium,2025-10,111.60,5.38,0.72,2026-04-27T22:49:34Z
BE,Belgium,2025-11,110.10,-1.34,1.85,2026-04-27T22:49:34Z
BE,Belgium,2025-12,127.60,15.89,0.63,2026-04-27T22:49:34Z
BE,Belgium,2026-01,106.10,-16.85,0.00,2026-04-27T22:49:34Z
BE,Belgium,2026-02,96.90,-8.67,-0.10,2026-04-27T22:49:34Z
DE,Germany,2024-10,117.70,,,2026-04-27T22:49:34Z
DE,Germany,2024-11,124.00,5.35,,2026-04-27T22:49:34Z
DE,Germany,2024-12,129.20,4.19,,2026-04-27T22:49:34Z
DE,Germany,2025-01,106.60,-17.49,,2026-04-27T22:49:34Z
DE,Germany,2025-02,104.60,-1.88,,2026-04-27T22:49:34Z
DE,Germany,2025-03,121.20,15.87,,2026-04-27T22:49:34Z
DE,Germany,2025-04,118.50,-2.23,,2026-04-27T22:49:34Z
DE,Germany,2025-05,118.80,0.25,,2026-04-27T22:49:34Z
DE,Germany,2025-06,117.40,-1.18,,2026-04-27T22:49:34Z
DE,Germany,2025-07,119.00,1.36,,2026-04-27T22:49:34Z
DE,Germany,2025-08,113.10,-4.96,,2026-04-27T22:49:34Z
