cik,company,form,filed_at,description,link,captured_at
0000009631,BANK OF NOVA SCOTIA (0000009631) (Filer),424B2,2026-04-27T17:17:35-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001839882-26-021333 <b>Size:</b> 677 KB,https://www.sec.gov/Archives/edgar/data/9631/000183988226021333/0001839882-26-021333-index.htm,2026-04-27T23:05:37Z
0001000275,ROYAL BANK OF CANADA (0001000275) (Filer),424B2,2026-04-27T17:14:13-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000950103-26-006231 <b>Size:</b> 190 KB,https://www.sec.gov/Archives/edgar/data/1000275/000095010326006231/0000950103-26-006231-index.htm,2026-04-27T23:05:37Z
0000831001,CITIGROUP INC (0000831001) (Filer),424B2,2026-04-27T17:13:04-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000950103-26-006230 <b>Size:</b> 283 KB,https://www.sec.gov/Archives/edgar/data/831001/000095010326006230/0000950103-26-006230-index.htm,2026-04-27T23:05:37Z
0000200245,Citigroup Global Markets Holdings Inc. (0000200245) (Filer),424B2,2026-04-27T17:13:04-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000950103-26-006230 <b>Size:</b> 283 KB,https://www.sec.gov/Archives/edgar/data/200245/000095010326006230/0000950103-26-006230-index.htm,2026-04-27T23:05:37Z
0001682472,BofA Finance LLC (0001682472) (Filer),424B2,2026-04-27T17:12:44-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010846 <b>Size:</b> 689 KB,https://www.sec.gov/Archives/edgar/data/1682472/000191870426010846/0001918704-26-010846-index.htm,2026-04-27T23:05:37Z
0000070858,BANK OF AMERICA CORP /DE/ (0000070858) (Filer),424B2,2026-04-27T17:12:44-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010846 <b>Size:</b> 689 KB,https://www.sec.gov/Archives/edgar/data/70858/000191870426010846/0001918704-26-010846-index.htm,2026-04-27T23:05:37Z
0001665650,JPMorgan Chase Financial Co. LLC (0001665650) (Filer),424B2,2026-04-27T17:12:20-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001213900-26-048080 <b>Size:</b> 1 MB,https://www.sec.gov/Archives/edgar/data/1665650/000121390026048080/0001213900-26-048080-index.htm,2026-04-27T23:05:37Z
0000019617,JPMORGAN CHASE & CO (0000019617) (Filer),424B2,2026-04-27T17:12:20-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001213900-26-048080 <b>Size:</b> 1 MB,https://www.sec.gov/Archives/edgar/data/19617/000121390026048080/0001213900-26-048080-index.htm,2026-04-27T23:05:37Z
0002088896,"X-Energy, Inc. (0002088896) (Filer)",424B4,2026-04-27T17:11:47-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049515 <b>Size:</b> 7 MB,https://www.sec.gov/Archives/edgar/data/2088896/000110465926049515/0001104659-26-049515-index.htm,2026-04-27T23:05:37Z
0001419828,GS Finance Corp. (0001419828) (Filer),424B2,2026-04-27T17:10:45-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182382 <b>Size:</b> 617 KB,https://www.sec.gov/Archives/edgar/data/1419828/000119312526182382/0001193125-26-182382-index.htm,2026-04-27T23:05:37Z
0000886982,GOLDMAN SACHS GROUP INC (0000886982) (Filer),424B2,2026-04-27T17:10:45-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182382 <b>Size:</b> 617 KB,https://www.sec.gov/Archives/edgar/data/886982/000119312526182382/0001193125-26-182382-index.htm,2026-04-27T23:05:37Z
0001682472,BofA Finance LLC (0001682472) (Filer),424B2,2026-04-27T17:10:13-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010845 <b>Size:</b> 911 KB,https://www.sec.gov/Archives/edgar/data/1682472/000191870426010845/0001918704-26-010845-index.htm,2026-04-27T23:05:37Z
0000070858,BANK OF AMERICA CORP /DE/ (0000070858) (Filer),424B2,2026-04-27T17:10:13-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010845 <b>Size:</b> 911 KB,https://www.sec.gov/Archives/edgar/data/70858/000191870426010845/0001918704-26-010845-index.htm,2026-04-27T23:05:37Z
0000009631,BANK OF NOVA SCOTIA (0000009631) (Filer),424B2,2026-04-27T17:10:01-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001839882-26-021332 <b>Size:</b> 624 KB,https://www.sec.gov/Archives/edgar/data/9631/000183988226021332/0001839882-26-021332-index.htm,2026-04-27T23:05:37Z
0001682472,BofA Finance LLC (0001682472) (Filer),424B2,2026-04-27T17:09:57-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010844 <b>Size:</b> 1 MB,https://www.sec.gov/Archives/edgar/data/1682472/000191870426010844/0001918704-26-010844-index.htm,2026-04-27T23:05:37Z
