metric,value,unit,snapshot_time,captured_at
load,6827.0,MW,04/27/2026 15:45,2026-04-27T22:49:27Z
ver,1652.0,MW,04/27/2026 15:45,2026-04-27T22:49:27Z
hydro,6184.0,MW,04/27/2026 15:45,2026-04-27T22:49:27Z
fossil/biomass,116.0,MW,04/27/2026 15:45,2026-04-27T22:49:27Z
nuclear,1149.0,MW,04/27/2026 15:45,2026-04-27T22:49:27Z
