snapshot_ts,fuel,generation_mw,capacity_mw,share_pct,captured_at
2026-04-27 17:44:57-0500,Natural Gas,29833.2,68388,40.33,2026-04-27T22:49:24Z
2026-04-27 17:44:57-0500,Solar,20888.5,37967,28.24,2026-04-27T22:49:24Z
2026-04-27 17:44:57-0500,Wind,12027.4,40534,16.26,2026-04-27T22:49:24Z
2026-04-27 17:44:57-0500,Coal and Lignite,6253.8,13705,8.45,2026-04-27T22:49:24Z
2026-04-27 17:44:57-0500,Nuclear,5035.2,5268,6.81,2026-04-27T22:49:24Z
2026-04-27 17:44:57-0500,Hydro,63.4,579,0.09,2026-04-27T22:49:24Z
2026-04-27 17:44:57-0500,Other,0.0,647,0.00,2026-04-27T22:49:24Z
2026-04-27 17:44:57-0500,Power Storage,-133.9,17934,-0.18,2026-04-27T22:49:24Z
