ticker,squeeze_score,stage,stage_emoji,short_pct_float,days_to_cover,si_trend_pct,activist_signal,insider_cluster,gamma_score,wsb_mentions,wsb_sentiment,score_breakdown,price,market_cap,si_score,dtc_score,activist_score,insider_score,gamma_pts,wsb_score,trend_score,dtc_accel_score
PK,37,COILED,🔒,19.35,8.97,0.0,no,no,0,0,none,SI:7 DTC:16 ACT:0 INS:0 GAMMA:0 WSB:2 TREND:2 DTCA:10,,,7,16,0,0,0,2,2,10
ERAS,33,COILED,🔒,18.19,6.37,0.0,no,no,0,0,none,SI:7 DTC:12 ACT:0 INS:0 GAMMA:0 WSB:2 TREND:2 DTCA:10,,,7,12,0,0,0,2,2,10
TRUP,33,COILED,🔒,11.93,8.02,0.0,no,no,0,0,none,SI:3 DTC:16 ACT:0 INS:0 GAMMA:0 WSB:2 TREND:2 DTCA:10,,,3,16,0,0,0,2,2,10
KRC,29,COILED,🔒,11.16,5.66,0.0,no,no,0,0,none,SI:3 DTC:12 ACT:0 INS:0 GAMMA:0 WSB:2 TREND:2 DTCA:10,,,3,12,0,0,0,2,2,10
SRTA,38,WATCH,👀,9.04,7.6,0.0,no,YES,0,0,none,SI:3 DTC:16 ACT:0 INS:5 GAMMA:0 WSB:2 TREND:2 DTCA:10,,,3,16,0,5,0,2,2,10
GH,29,WATCH,👀,9.23,5.77,0.0,no,no,0,0,none,SI:3 DTC:12 ACT:0 INS:0 GAMMA:0 WSB:2 TREND:2 DTCA:10,,,3,12,0,0,0,2,2,10
USAU,21,WATCH,👀,11.44,4.8,0.0,no,no,0,0,none,SI:3 DTC:7 ACT:0 INS:0 GAMMA:0 WSB:2 TREND:2 DTCA:7,,,3,7,0,0,0,2,2,7
PACS,21,WATCH,👀,10.5,4.97,0.0,no,no,0,0,none,SI:3 DTC:7 ACT:0 INS:0 GAMMA:0 WSB:2 TREND:2 DTCA:7,,,3,7,0,0,0,2,2,7
LEVI,21,WATCH,👀,10.28,3.22,0.0,no,no,0,0,none,SI:3 DTC:7 ACT:0 INS:0 GAMMA:0 WSB:2 TREND:2 DTCA:7,,,3,7,0,0,0,2,2,7
AEYE,21,WATCH,👀,9.5,3.75,0.0,no,no,0,0,none,SI:3 DTC:7 ACT:0 INS:0 GAMMA:0 WSB:2 TREND:2 DTCA:7,7.28,,3,7,0,0,0,2,2,7
UTZ,21,WATCH,👀,9.3,3.56,0.0,no,no,0,0,none,SI:3 DTC:7 ACT:0 INS:0 GAMMA:0 WSB:2 TREND:2 DTCA:7,,,3,7,0,0,0,2,2,7
