rank_type,rank_in_type,model_id,author,likes,downloads,last_modified,pipeline,library,tags,captured_at
downloads,1,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers,4727,215759909,,sentence-similarity,sentence-transformers,"sentence-transformers,pytorch,tf,rust,onnx,safetensors",2026-04-27T23:11:21Z
downloads,2,Qwen/Qwen3-VL-2B-Instruct,Qwen,376,154595190,,image-text-to-text,transformers,"transformers,safetensors,qwen3_vl,image-text-to-text,conversational,arxiv:2505.09388",2026-04-27T23:11:21Z
downloads,3,google-bert/bert-base-uncased,google-bert,2639,58815021,,fill-mask,transformers,"transformers,pytorch,tf,jax,rust,coreml",2026-04-27T23:11:21Z
downloads,4,google/electra-base-discriminator,google,100,49517360,,,transformers,"transformers,pytorch,tf,jax,rust,electra",2026-04-27T23:11:21Z
downloads,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers,1209,38949276,,sentence-similarity,sentence-transformers,"sentence-transformers,pytorch,tf,onnx,safetensors,openvino",2026-04-27T23:11:21Z
downloads,6,sentence-transformers/all-mpnet-base-v2,sentence-transformers,1284,34946064,,sentence-similarity,sentence-transformers,"sentence-transformers,pytorch,onnx,safetensors,openvino,mpnet",2026-04-27T23:11:21Z
downloads,7,cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder,224,30477402,,text-ranking,sentence-transformers,"sentence-transformers,pytorch,jax,onnx,safetensors,openvino",2026-04-27T23:11:21Z
downloads,8,Falconsai/nsfw_image_detection,Falconsai,1061,28039912,,image-classification,transformers,"transformers,pytorch,safetensors,vit,image-classification,arxiv:2010.11929",2026-04-27T23:11:21Z
downloads,9,BAAI/bge-small-en-v1.5,BAAI,446,27091630,,feature-extraction,sentence-transformers,"sentence-transformers,pytorch,onnx,safetensors,bert,feature-extraction",2026-04-27T23:11:21Z
downloads,10,openai/clip-vit-large-patch14,openai,1997,23978009,,zero-shot-image-classification,transformers,"transformers,pytorch,tf,jax,safetensors,clip",2026-04-27T23:11:21Z
downloads,11,openai/clip-vit-base-patch32,openai,922,20405938,,zero-shot-image-classification,transformers,"transformers,pytorch,tf,jax,clip,zero-shot-image-classification",2026-04-27T23:11:21Z
downloads,12,amazon/chronos-2,amazon,250,20080286,,time-series-forecasting,chronos-forecasting,"chronos-forecasting,safetensors,t5,time series,forecasting,foundation models",2026-04-27T23:11:21Z
downloads,13,timm/mobilenetv3_small_100.lamb_in1k,timm,64,19387859,,image-classification,timm,"timm,pytorch,safetensors,image-classification,transformers,dataset:imagenet-1k",2026-04-27T23:11:21Z
downloads,14,openai/clip-vit-large-patch14-336,openai,302,18952583,,zero-shot-image-classification,transformers,"transformers,pytorch,tf,clip,zero-shot-image-classification,generated_from_keras_callback",2026-04-27T23:11:21Z
downloads,15,BAAI/bge-m3,BAAI,2951,18557628,,sentence-similarity,sentence-transformers,"sentence-transformers,pytorch,onnx,xlm-roberta,feature-extraction,sentence-similarity",2026-04-27T23:11:21Z
downloads,16,Qwen/Qwen3-0.6B,Qwen,1212,18340088,,text-generation,transformers,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2505.09388",2026-04-27T23:11:21Z
downloads,17,FacebookAI/roberta-base,FacebookAI,593,17682062,,fill-mask,transformers,"transformers,pytorch,tf,jax,rust,safetensors",2026-04-27T23:11:21Z
downloads,18,FacebookAI/xlm-roberta-base,FacebookAI,820,17477538,,fill-mask,transformers,"transformers,pytorch,tf,jax,onnx,safetensors",2026-04-27T23:11:21Z
downloads,19,laion/clap-htsat-fused,laion,81,16708875,,audio-classification,transformers,"transformers,pytorch,safetensors,clap,feature-extraction,zero-shot audio classification",2026-04-27T23:11:21Z
downloads,20,FacebookAI/roberta-large,FacebookAI,282,16596030,,fill-mask,transformers,"transformers,pytorch,tf,jax,onnx,safetensors",2026-04-27T23:11:21Z
downloads,21,openai-community/gpt2,openai-community,3220,15124398,,text-generation,transformers,"transformers,pytorch,tf,jax,tflite,rust",2026-04-27T23:11:21Z
downloads,22,Bingsu/adetailer,Bingsu,688,14858310,,,ultralytics,"ultralytics,pytorch,dataset:wider_face,dataset:skytnt/anime-segmentation,doi:10.57967/hf/3633,license:apache-2.0",2026-04-27T23:11:21Z
downloads,23,colbert-ir/colbertv2.0,colbert-ir,333,14349963,,,transformers,"transformers,pytorch,onnx,safetensors,bert,ColBERT",2026-04-27T23:11:21Z
downloads,24,nomic-ai/nomic-embed-text-v1.5,nomic-ai,807,13758130,,sentence-similarity,sentence-transformers,"sentence-transformers,onnx,safetensors,nomic_bert,feature-extraction,sentence-similarity",2026-04-27T23:11:21Z
downloads,25,BAAI/bge-large-en-v1.5,BAAI,653,12831152,,feature-extraction,sentence-transformers,"sentence-transformers,pytorch,onnx,safetensors,bert,feature-extraction",2026-04-27T23:11:21Z
downloads,26,Qwen/Qwen2.5-7B-Instruct,Qwen,1243,12417989,,text-generation,transformers,"transformers,safetensors,qwen2,text-generation,chat,conversational",2026-04-27T23:11:21Z
downloads,27,apple/DFN5B-CLIP-ViT-H-14-378,apple,107,11967070,,,open_clip,"open_clip,pytorch,clip,arxiv:2309.17425,license:apple-amlr,region:us",2026-04-27T23:11:21Z
downloads,28,distilbert/distilbert-base-uncased,distilbert,869,11426053,,fill-mask,transformers,"transformers,pytorch,tf,jax,rust,safetensors",2026-04-27T23:11:21Z
downloads,29,deepseek-ai/DeepSeek-V3.2,deepseek-ai,1423,11184490,,text-generation,transformers,"transformers,safetensors,deepseek_v32,text-generation,base_model:deepseek-ai/DeepSeek-V3.2-Exp-Base,base_model:finetune:",2026-04-27T23:11:21Z
downloads,30,pyannote/wespeaker-voxceleb-resnet34-LM,pyannote,123,10947339,,,pyannote-audio,"pyannote-audio,pytorch,pyannote,pyannote-audio-model,wespeaker,audio",2026-04-27T23:11:21Z
trending,1,deepseek-ai/DeepSeek-V4-Pro,deepseek-ai,3016,137784,,text-generation,transformers,"transformers,safetensors,deepseek_v4,text-generation,conversational,license:mit",2026-04-27T23:11:21Z
trending,2,openai/privacy-filter,openai,921,47488,,token-classification,transformers,"transformers,onnx,safetensors,openai_privacy_filter,token-classification,transformers.js",2026-04-27T23:11:21Z
trending,3,Qwen/Qwen3.6-27B,Qwen,908,399489,,image-text-to-text,transformers,"transformers,safetensors,qwen3_5,image-text-to-text,conversational,license:apache-2.0",2026-04-27T23:11:21Z
trending,4,deepseek-ai/DeepSeek-V4-Flash,deepseek-ai,777,65743,,text-generation,transformers,"transformers,safetensors,deepseek_v4,text-generation,license:mit,eval-results",2026-04-27T23:11:21Z
trending,5,moonshotai/Kimi-K2.6,moonshotai,1098,443440,,image-text-to-text,transformers,"transformers,safetensors,kimi_k25,feature-extraction,compressed-tensors,image-text-to-text",2026-04-27T23:11:21Z
trending,6,unsloth/Qwen3.6-27B-GGUF,unsloth,451,636345,,image-text-to-text,transformers,"transformers,gguf,unsloth,qwen,qwen3_5,image-text-to-text",2026-04-27T23:11:21Z
trending,7,Qwen/Qwen3.6-35B-A3B,Qwen,1457,1354032,,image-text-to-text,transformers,"transformers,safetensors,qwen3_5_moe,image-text-to-text,conversational,license:apache-2.0",2026-04-27T23:11:21Z
trending,8,unsloth/Qwen3.6-35B-A3B-GGUF,unsloth,821,1646295,,image-text-to-text,transformers,"transformers,gguf,unsloth,qwen,qwen3_5_moe,image-text-to-text",2026-04-27T23:11:21Z
trending,9,deepseek-ai/DeepSeek-V4-Pro-Base,deepseek-ai,229,1265,,,,"safetensors,deepseek_v4,fp8,region:us",2026-04-27T23:11:21Z
trending,10,inclusionAI/LLaDA2.0-Uni,inclusionAI,198,448,,any-to-any,transformers,"transformers,diffusers,safetensors,llada2_moe,feature-extraction,multimodal",2026-04-27T23:11:21Z
trending,11,HauhauCS/Qwen3.6-27B-Uncensored-HauhauCS-Aggressive,HauhauCS,197,190878,,image-text-to-text,,"gguf,uncensored,qwen3.6,vision,multimodal,image-text-to-text",2026-04-27T23:11:21Z
trending,12,HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive,HauhauCS,478,525932,,image-text-to-text,,"gguf,uncensored,qwen3.6,moe,vision,multimodal",2026-04-27T23:11:21Z
trending,13,tencent/Hy3-preview,tencent,164,5008,,text-generation,transformers,"transformers,safetensors,hy_v3,text-generation,conversational,license:other",2026-04-27T23:11:21Z
trending,14,hesamation/Qwen3.6-35B-A3B-Claude-4.6-Opus-Reasoning-Distilled-GGUF,hesamation,200,129164,,text-generation,gguf,"gguf,llama.cpp,qwen,qwen3.6,qwen3_5_moe,moe",2026-04-27T23:11:21Z
trending,15,deepseek-ai/DeepSeek-V4-Flash-Base,deepseek-ai,169,2475,,,,"safetensors,deepseek_v4,fp8,region:us",2026-04-27T23:11:21Z
trending,16,Qwen/Qwen3.6-27B-FP8,Qwen,153,607010,,image-text-to-text,transformers,"transformers,safetensors,qwen3_5,image-text-to-text,conversational,base_model:Qwen/Qwen3.6-27B",2026-04-27T23:11:21Z
trending,17,OBLITERATUS/gemma-4-E4B-it-OBLITERATED,OBLITERATUS,525,127538,,text-generation,,"safetensors,gguf,gemma4,abliterated,uncensored,obliteratus",2026-04-27T23:11:21Z
trending,18,z-lab/Qwen3.6-27B-DFlash,z-lab,132,5824,,text-generation,transformers,"transformers,safetensors,qwen3,feature-extraction,dflash,speculative-decoding",2026-04-27T23:11:21Z
trending,19,google/gemma-4-31B-it,google,2392,6306108,,image-text-to-text,transformers,"transformers,safetensors,gemma4,image-text-to-text,conversational,license:apache-2.0",2026-04-27T23:11:21Z
trending,20,z-lab/Qwen3.6-35B-A3B-DFlash,z-lab,172,28078,,text-generation,transformers,"transformers,safetensors,qwen3,feature-extraction,dflash,speculative-decoding",2026-04-27T23:11:21Z
trending,21,tencent/HY-World-2.0,tencent,613,3048,,image-to-3d,hy-world-2,"hy-world-2,safetensors,worldmodel,3d,hy-world,image-to-3d",2026-04-27T23:11:21Z
trending,22,zai-org/GLM-5.1,zai-org,1536,237450,,text-generation,transformers,"transformers,safetensors,glm_moe_dsa,text-generation,conversational,en",2026-04-27T23:11:21Z
trending,23,XiaomiMiMo/MiMo-V2.5-Pro,XiaomiMiMo,87,0,,text-generation,,"safetensors,mimo_v2,text-generation,agent,long-context,code",2026-04-27T23:11:21Z
trending,24,Jackrong/Qwopus-GLM-18B-Merged-GGUF,Jackrong,225,77763,,text-generation,,"gguf,merge,frankenmerge,qwen3.5,reasoning,text-generation",2026-04-27T23:11:21Z
trending,25,baidu/ERNIE-Image,baidu,576,8242,,text-to-image,diffusers,"diffusers,safetensors,text-to-image,8B,license:apache-2.0,diffusers:ErnieImagePipeline",2026-04-27T23:11:21Z
trending,26,unsloth/Kimi-K2.6-GGUF,unsloth,116,25400,,image-text-to-text,transformers,"transformers,gguf,compressed-tensors,unsloth,kimi_k25,image-text-to-text",2026-04-27T23:11:21Z
trending,27,Jackrong/Qwopus3.6-27B-v1-preview-GGUF,Jackrong,77,35971,,image-text-to-text,transformers,"transformers,gguf,qwen,qwen3.6,qwopus,reasoning",2026-04-27T23:11:21Z
trending,28,MiniMaxAI/MiniMax-M2.7,MiniMaxAI,1073,492091,,text-generation,transformers,"transformers,safetensors,minimax_m2,text-generation,conversational,custom_code",2026-04-27T23:11:21Z
trending,29,facebook/sapiens2,facebook,66,0,,,sapiens,"sapiens,sapiens2,human-centric,vision-transformer,arxiv:2604.21681,license:other",2026-04-27T23:11:21Z
trending,30,lordx64/Qwen3.6-35B-A3B-Claude-4.7-Opus-Reasoning-Distilled,lordx64,84,70695,,text-generation,transformers,"transformers,safetensors,qwen3_5_moe,image-text-to-text,text-generation,reasoning",2026-04-27T23:11:21Z
