rank_type,rank_in_type,model_id,author,likes,downloads,last_modified,pipeline,library,tags,captured_at
likes,1,deepseek-ai/DeepSeek-R1,deepseek-ai,13313,3869822,,text-generation,transformers,"transformers,safetensors,deepseek_v3,text-generation,conversational,custom_code",2026-04-27T23:11:21Z
likes,2,black-forest-labs/FLUX.1-dev,black-forest-labs,12714,692158,,text-to-image,diffusers,"diffusers,safetensors,text-to-image,image-generation,flux,en",2026-04-27T23:11:21Z
likes,3,stabilityai/stable-diffusion-xl-base-1.0,stabilityai,7667,2024143,,text-to-image,diffusers,"diffusers,onnx,safetensors,text-to-image,stable-diffusion,arxiv:2307.01952",2026-04-27T23:11:21Z
likes,4,CompVis/stable-diffusion-v1-4,CompVis,7003,523723,,text-to-image,diffusers,"diffusers,safetensors,stable-diffusion,stable-diffusion-diffusers,text-to-image,arxiv:2207.12598",2026-04-27T23:11:21Z
likes,5,meta-llama/Meta-Llama-3-8B,meta-llama,6523,3227278,,text-generation,transformers,"transformers,safetensors,llama,text-generation,facebook,meta",2026-04-27T23:11:21Z
likes,6,hexgrad/Kokoro-82M,hexgrad,6068,9443531,,text-to-speech,,"text-to-speech,en,arxiv:2306.07691,arxiv:2203.02395,base_model:yl4579/StyleTTS2-LJSpeech,base_model:finetune:yl4579/Styl",2026-04-27T23:11:21Z
likes,7,meta-llama/Llama-3.1-8B-Instruct,meta-llama,5763,9231018,,text-generation,transformers,"transformers,safetensors,llama,text-generation,facebook,meta",2026-04-27T23:11:21Z
likes,8,openai/whisper-large-v3,openai,5634,4797524,,automatic-speech-recognition,transformers,"transformers,pytorch,jax,safetensors,whisper,automatic-speech-recognition",2026-04-27T23:11:21Z
likes,9,bigscience/bloom,bigscience,4998,6782,,text-generation,transformers,"transformers,pytorch,tensorboard,safetensors,bloom,text-generation",2026-04-27T23:11:21Z
likes,10,stabilityai/stable-diffusion-3-medium,stabilityai,4940,4154,,text-to-image,diffusion-single-file,"diffusion-single-file,text-to-image,stable-diffusion,en,arxiv:2403.03206,license:other",2026-04-27T23:11:21Z
likes,11,black-forest-labs/FLUX.1-schnell,black-forest-labs,4821,720547,,text-to-image,diffusers,"diffusers,safetensors,text-to-image,image-generation,flux,en",2026-04-27T23:11:21Z
likes,12,meta-llama/Llama-2-7b-chat-hf,meta-llama,4743,379904,,text-generation,transformers,"transformers,pytorch,safetensors,llama,text-generation,facebook",2026-04-27T23:11:21Z
likes,13,openai/gpt-oss-120b,openai,4741,3669036,,text-generation,transformers,"transformers,safetensors,gpt_oss,text-generation,vllm,conversational",2026-04-27T23:11:21Z
likes,14,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers,4727,215759909,,sentence-similarity,sentence-transformers,"sentence-transformers,pytorch,tf,rust,onnx,safetensors",2026-04-27T23:11:21Z
likes,15,mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai,4672,646757,,,vllm,"vllm,safetensors,mixtral,fr,it,de",2026-04-27T23:11:21Z
likes,16,openai/gpt-oss-20b,openai,4567,6494736,,text-generation,transformers,"transformers,safetensors,gpt_oss,text-generation,vllm,conversational",2026-04-27T23:11:21Z
likes,17,Tongyi-MAI/Z-Image-Turbo,Tongyi-MAI,4522,1206955,,text-to-image,diffusers,"diffusers,safetensors,text-to-image,en,arxiv:2511.22699,arxiv:2511.22677",2026-04-27T23:11:21Z
likes,18,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama,4496,1424686,,text-generation,transformers,"transformers,safetensors,llama,text-generation,facebook,meta",2026-04-27T23:11:21Z
likes,19,meta-llama/Llama-2-7b,meta-llama,4480,303,,text-generation,,"facebook,meta,pytorch,llama,llama-2,text-generation",2026-04-27T23:11:21Z
likes,20,mistralai/Mistral-7B-v0.1,mistralai,4080,979626,,text-generation,transformers,"transformers,pytorch,safetensors,mistral,text-generation,pretrained",2026-04-27T23:11:21Z
likes,21,deepseek-ai/DeepSeek-V3,deepseek-ai,4063,998417,,text-generation,transformers,"transformers,safetensors,deepseek_v3,text-generation,conversational,custom_code",2026-04-27T23:11:21Z
likes,22,lllyasviel/ControlNet-v1-1,lllyasviel,4047,0,,,,"license:openrail,region:us",2026-04-27T23:11:21Z
likes,23,WarriorMama777/OrangeMixs,WarriorMama777,3902,1033,,text-to-image,diffusers,"diffusers,stable-diffusion,text-to-image,dataset:Nerfgun3/bad_prompt,license:creativeml-openrail-m,endpoints_compatible",2026-04-27T23:11:21Z
likes,24,lllyasviel/ControlNet,lllyasviel,3809,0,,,,"license:openrail,region:us",2026-04-27T23:11:21Z
likes,25,deepseek-ai/Janus-Pro-7B,deepseek-ai,3591,71493,,any-to-any,transformers,"transformers,pytorch,multi_modality,muiltimodal,text-to-image,unified-model",2026-04-27T23:11:21Z
likes,26,coqui/XTTS-v2,coqui,3510,7408573,,text-to-speech,coqui,"coqui,text-to-speech,license:other,region:us",2026-04-27T23:11:21Z
likes,27,microsoft/phi-2,microsoft,3449,652685,,text-generation,transformers,"transformers,safetensors,phi,text-generation,nlp,code",2026-04-27T23:11:21Z
likes,28,stabilityai/stable-diffusion-3.5-large,stabilityai,3448,49510,,text-to-image,diffusers,"diffusers,safetensors,text-to-image,stable-diffusion,en,arxiv:2403.03206",2026-04-27T23:11:21Z
likes,29,google/gemma-7b,google,3305,138472,,text-generation,transformers,"transformers,safetensors,gguf,gemma,text-generation,arxiv:2305.14314",2026-04-27T23:11:21Z
likes,30,stabilityai/stable-video-diffusion-img2vid-xt,stabilityai,3284,322700,,image-to-video,diffusers,"diffusers,safetensors,image-to-video,license:other,diffusers:StableVideoDiffusionPipeline,region:us",2026-04-27T23:11:21Z
