ticker,company,cik,q_current,val_current_usd,q_prior,val_prior_usd,yoy_pct,direction,filed_current,accn_current,captured_at
MPAA,"MOTORCAR PARTS OF AMERICA, INC.",0000918251,CY2025Q4,1777000,CY2024Q4,2291000,-22.44,PROFIT,,0001140361-26-004387,2026-04-27T23:04:08Z
OCSL,Oaktree Specialty Lending Corporation,0001414932,CY2025Q4,5608000,CY2024Q4,7239000,-22.53,PROFIT,,0001414932-26-000005,2026-04-27T23:04:08Z
HWKE,"HAWKEYE SYSTEMS, INC.",0001750777,CY2025Q4,-107815,CY2024Q4,-87675,-22.97,LOSS,,0001477932-26-000977,2026-04-27T23:04:08Z
PBH,PRESTIGE CONSUMER HEALTHCARE INC.,0001295947,CY2025Q4,46696000,CY2024Q4,61032000,-23.49,PROFIT,,0001295947-26-000008,2026-04-27T23:04:08Z
LZB,LA-Z-BOY INCORPORATED,0000057131,CY2025Q4,21650000,CY2024Q4,28429000,-23.85,PROFIT,,0000057131-26-000007,2026-04-27T23:04:08Z
BNTC,Benitec Biopharma Inc.,0001808898,CY2025Q4,-11837000,CY2024Q4,-9552000,-23.92,LOSS,,0001193125-26-047737,2026-04-27T23:04:08Z
SANM,Sanmina Corporation,0000897723,CY2025Q4,49286000,CY2024Q4,65003000,-24.18,PROFIT,,0000897723-26-000015,2026-04-27T23:04:08Z
DE,DEERE & CO,0000315189,CY2025Q4,656000000,CY2024Q4,869000000,-24.51,PROFIT,,0001104659-26-020158,2026-04-27T23:04:08Z
CLEV,"Concrete Leveling Systems, Inc.",0001414382,CY2025Q4,-15817,CY2024Q4,-12696,-24.58,LOSS,,0001477932-26-001542,2026-04-27T23:04:08Z
KARX,KARBON-X CORP.,0001729637,CY2025Q4,-1447776,CY2024Q4,-1161555,-24.64,LOSS,,0001477932-26-000285,2026-04-27T23:04:08Z
PETVW,"PetVivo Holdings, Inc.",0001512922,CY2025Q4,-2191455,CY2024Q4,-1757038,-24.72,LOSS,,0001493152-26-007150,2026-04-27T23:04:08Z
SBH,"SALLY BEAUTY HOLDINGS, INC.",0001368458,CY2025Q4,45557000,CY2024Q4,61013000,-25.33,PROFIT,,0001193125-26-042785,2026-04-27T23:04:08Z
PAG,"Penske Automotive Group, Inc.",0001019849,CY2025Q4,186100000,CY2024Q4,249300000,-25.35,PROFIT,,0001628280-26-012830,2026-04-27T23:04:08Z
WMG,Warner Music Group Corp.,0001319161,CY2025Q4,176000000,CY2024Q4,236000000,-25.42,PROFIT,,0001319161-26-000010,2026-04-27T23:04:08Z
PHCI,PANAMERA HOLDINGS CORPORATION,0001620749,CY2025Q4,-126599,CY2024Q4,-100015,-26.58,LOSS,,0001640334-26-000512,2026-04-27T23:04:08Z
FLXS,"FLEXSTEEL INDUSTRIES, INC.",0000037472,CY2025Q4,6644000,CY2024Q4,9054000,-26.62,PROFIT,,0001193125-26-170444,2026-04-27T23:04:08Z
ACI,"Albertsons Companies, Inc.",0001646972,CY2025Q4,293300000,CY2024Q4,400600000,-26.78,PROFIT,,0001646972-26-000010,2026-04-27T23:04:08Z
OTEX,OPEN TEXT CORP,0001002638,CY2025Q4,168091000,CY2024Q4,229862000,-26.87,PROFIT,,0001002638-26-000021,2026-04-27T23:04:08Z
NPK,NATIONAL PRESTO INDUSTRIES INC,0000080172,CY2025Q4,15005000,CY2024Q4,20732000,-27.62,PROFIT,,0001437749-26-008214,2026-04-27T23:04:08Z
AITX,ARTIFICIAL INTELLIGENCE TECHNOLOGY SOLUTIONS INC.,0001498148,CY2025Q4,-4730800,CY2024Q4,-3703974,-27.72,LOSS,,0001493152-26-002249,2026-04-27T23:04:08Z
HPE-PC,HEWLETT PACKARD ENTERPRISE COMPANY,0001645590,CY2025Q4,452000000,CY2024Q4,627000000,-27.91,PROFIT,,0001645590-26-000032,2026-04-27T23:04:08Z
MLKN,"MillerKnoll, Inc.",0000066382,CY2025Q4,24200000,CY2024Q4,34100000,-29.03,PROFIT,,0000066382-26-000050,2026-04-27T23:04:08Z
DSNY,DESTINY MEDIA TECHNOLOGIES INC.,0001099369,CY2025Q4,83652,CY2024Q4,118140,-29.19,PROFIT,,0001062993-26-000238,2026-04-27T23:04:08Z
AVT,"AVNET, INC.",0000008858,CY2025Q4,61733000,CY2024Q4,87253000,-29.25,PROFIT,,0000008858-26-000025,2026-04-27T23:04:08Z
DHI,"D.R. Horton, Inc.",0000882184,CY2025Q4,594800000,CY2024Q4,844900000,-29.60,PROFIT,,0000882184-26-000014,2026-04-27T23:04:08Z
EFSI,"EAGLE FINANCIAL SERVICES, INC.",0000880641,CY2025Q4,4334000,CY2024Q4,6186000,-29.94,PROFIT,,0000880641-26-000004,2026-04-27T23:04:08Z
NATH,"NATHAN'S FAMOUS, INC.",0000069733,CY2025Q4,3084000,CY2024Q4,4484000,-31.22,PROFIT,,0001437749-26-003087,2026-04-27T23:04:08Z
MSN,EMERSON RADIO CORP,0000032621,CY2025Q4,-694000,CY2024Q4,-527000,-31.69,LOSS,,0001437749-26-004337,2026-04-27T23:04:08Z
NKE,"NIKE, Inc.",0000320187,CY2025Q4,792000000,CY2024Q4,1163000000,-31.90,PROFIT,,0000320187-25-000151,2026-04-27T23:04:08Z
HNNAZ,"HENNESSY ADVISORS, INC.",0001145255,CY2025Q4,1930000,CY2024Q4,2834000,-31.90,PROFIT,,0001437749-26-003203,2026-04-27T23:04:08Z
VISM,"VISIUM TECHNOLOGIES, INC.",0001082733,CY2025Q4,-505860,CY2024Q4,-381780,-32.50,LOSS,,0001654954-26-001435,2026-04-27T23:04:08Z
ZNOGW,ZION OIL & GAS INC,0001131312,CY2025Q4,-2322000,CY2024Q4,-1746000,-32.99,LOSS,,0001437749-26-009073,2026-04-27T23:04:08Z
SMPL,The Simply Good Foods Company,0001702744,CY2025Q4,25269000,CY2024Q4,38122000,-33.72,PROFIT,,0001702744-26-000012,2026-04-27T23:04:08Z
VTGN,"VISTAGEN THERAPEUTICS, INC.",0001411685,CY2025Q4,-18899000,CY2024Q4,-14089000,-34.14,LOSS,,0001628280-26-007718,2026-04-27T23:04:08Z
GBX,"THE GREENBRIER COMPANIES, INC.",0000923120,CY2025Q4,36400000,CY2024Q4,55300000,-34.18,PROFIT,,0001193125-26-007768,2026-04-27T23:04:08Z
UEC,URANIUM ENERGY CORP,0001334933,CY2025Q4,-13937000,CY2024Q4,-10234000,-36.18,LOSS,,0001437749-26-007413,2026-04-27T23:04:08Z
ZDGE,"ZEDGE, INC.",0001667313,CY2025Q4,-2289000,CY2024Q4,-1679000,-36.33,LOSS,,0001213900-26-028295,2026-04-27T23:04:08Z
JANL,JANEL CORPORATION,0001133062,CY2025Q4,419000,CY2024Q4,659000,-36.42,PROFIT,,0001140361-26-005114,2026-04-27T23:04:08Z
GFMH,GOLIATH FILM AND MEDIA HOLDINGS,0000820771,CY2025Q4,-11019,CY2024Q4,-8017,-37.45,LOSS,,0001493152-26-009337,2026-04-27T23:04:08Z
MSBB,"Mercer Bancorp, Inc.",0001967306,CY2025Q4,171270,CY2024Q4,276308,-38.01,PROFIT,,0001104659-26-015297,2026-04-27T23:04:08Z
RFL,"RAFAEL HOLDINGS, INC.",0001713863,CY2025Q4,-6417000,CY2024Q4,-4641000,-38.27,LOSS,,0001213900-26-028348,2026-04-27T23:04:08Z
NIOBW,NioCorp Developments Ltd.,0001512228,CY2025Q4,-623000,CY2024Q4,-450000,-38.44,LOSS,,0001193125-26-041285,2026-04-27T23:04:08Z
VTIX,Virtuix Holdings Inc.,0001606242,CY2025Q4,-2730944,CY2024Q4,-1970613,-38.58,LOSS,,0001213900-26-024327,2026-04-27T23:04:08Z
BMRA,"BIOMERICA, INC.",0000073290,CY2025Q4,-1320000,CY2024Q4,-950000,-38.95,LOSS,,0001493152-26-016388,2026-04-27T23:04:08Z
EDSA,"EDESA BIOTECH, INC.",0001540159,CY2025Q4,-2247669,CY2024Q4,-1617253,-38.98,LOSS,,0001171843-26-000812,2026-04-27T23:04:08Z
AZTA,"Azenta, Inc.",0000933974,CY2025Q4,-15432000,CY2024Q4,-10992000,-40.39,LOSS,,0001437749-26-003200,2026-04-27T23:04:08Z
VC,VISTEON CORPORATION,0001111335,CY2025Q4,74000000,CY2024Q4,125000000,-40.80,PROFIT,,0001111335-26-000006,2026-04-27T23:04:08Z
UFPI,"UFP INDUSTRIES, INC.",0000912767,CY2025Q4,39959000,CY2024Q4,68039000,-41.27,PROFIT,,0001104659-26-019567,2026-04-27T23:04:08Z
GBDC,"Golub Capital BDC, Inc.",0001476765,CY2025Q4,65246000,CY2024Q4,111314000,-41.39,PROFIT,,0001476765-26-000012,2026-04-27T23:04:08Z
UTI,"UNIVERSAL TECHNICAL INSTITUTE, INC",0001261654,CY2025Q4,12827000,CY2024Q4,22153000,-42.10,PROFIT,,0001261654-26-000006,2026-04-27T23:04:08Z
BRBR,"BellRing Brands, Inc.",0001772016,CY2025Q4,43700000,CY2024Q4,76900000,-43.17,PROFIT,,0001772016-26-000007,2026-04-27T23:04:08Z
UVV,UNIVERSAL CORPORATION,0000102037,CY2025Q4,33249000,CY2024Q4,59639000,-44.25,PROFIT,,0001628280-26-006203,2026-04-27T23:04:08Z
PNNT,PENNANTPARK INVESTMENT CORPORATION,0001383414,CY2025Q4,8955000,CY2024Q4,16084000,-44.32,PROFIT,,0001193125-26-042780,2026-04-27T23:04:08Z
