cik,ticker,company,accession,form,filed_at,description,captured_at
0002130578,,"InQuantum, Inc (0002130578) (Filer)",,D,2026-04-27T17:03:00-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002130578-26-000002 <b>Size:</b> 7 KB,2026-04-27T23:05:32Z
0001975493,,Boot64 Magnolia Fund I LP (0001975493) (Filer),,D,2026-04-27T17:02:15-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001975493-26-000001 <b>Size:</b> 9 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.1",2026-04-27T23:05:32Z
0001679688,,"DigitalBridge Group, Inc. (0001679688) (Filer)",,D,2026-04-27T17:01:10-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049502 <b>Size:</b> 7 MB,2026-04-27T23:05:32Z
0001350102,,"Ascent Solar Technologies, Inc. (0001350102) (Filer)",,D,2026-04-27T17:00:28-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001079973-26-000543 <b>Size:</b> 1 MB,2026-04-27T23:05:32Z
0001412502,,Sterling Real Estate Trust (0001412502) (Filer),,D,2026-04-27T16:59:39-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049499 <b>Size:</b> 356 KB,2026-04-27T23:05:32Z
0002131902,,"CoreCraft Residences, LLC (0002131902) (Filer)",,D,2026-04-27T16:59:33-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002131902-26-000001 <b>Size:</b> 5 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.5",2026-04-27T23:05:32Z
0001775018,,"BlackOak Alpha Growth Fund, LP (0001775018) (Filer)",,D,2026-04-27T16:59:09-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001775018-26-000001 <b>Size:</b> 10 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.",2026-04-27T23:05:32Z
0001785279,,"Metagenomi Therapeutics, Inc. (0001785279) (Filer)",,D,2026-04-27T16:58:07-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182339 <b>Size:</b> 1 MB,2026-04-27T23:05:32Z
0001593899,,"Atea Pharmaceuticals, Inc. (0001593899) (Filer)",,D,2026-04-27T16:57:59-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182340 <b>Size:</b> 1 MB,2026-04-27T23:05:32Z
0001722373,,"Covera Health, Inc. (0001722373) (Filer)",,D,2026-04-27T16:57:41-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001722373-26-000003 <b>Size:</b> 9 KB,2026-04-27T23:05:32Z
0001785279,,"Metagenomi Therapeutics, Inc. (0001785279) (Filer)",,D,2026-04-27T16:55:23-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182325 <b>Size:</b> 2 MB,2026-04-27T23:05:32Z
0001367644,,Emergent BioSolutions Inc. (0001367644) (Filer),,D,2026-04-27T16:55:15-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182326 <b>Size:</b> 48 KB,2026-04-27T23:05:32Z
0002108986,,Rosemawr Capital VII LP (0002108986) (Filer),,D,2026-04-27T16:55:01-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001013594-26-000499 <b>Size:</b> 8 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7",2026-04-27T23:05:32Z
0001749475,,"Sphera Biotech US Fund, L.P. (0001749475) (Filer)",,D,2026-04-27T16:54:26-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001749475-26-000001 <b>Size:</b> 9 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7",2026-04-27T23:05:32Z
0001850119,,"Century Therapeutics, Inc. (0001850119) (Filer)",,D,2026-04-27T16:54:16-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049493 <b>Size:</b> 647 KB,2026-04-27T23:05:32Z
0001866757,,"Brilliant Earth Group, Inc. (0001866757) (Filer)",,D,2026-04-27T16:53:24-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001628280-26-027583 <b>Size:</b> 209 KB,2026-04-27T23:05:32Z
0002131827,,"Y Combinator ES26, LLC (0002131827) (Filer)",,D,2026-04-27T16:53:19-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001315863-26-000366 <b>Size:</b> 6 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7",2026-04-27T23:05:32Z
0001866757,,"Brilliant Earth Group, Inc. (0001866757) (Filer)",,D,2026-04-27T16:51:51-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001628280-26-027577 <b>Size:</b> 9 MB,2026-04-27T23:05:32Z
0002131753,,"YCP26, L.P. (0002131753) (Filer)",,D,2026-04-27T16:51:49-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001315863-26-000365 <b>Size:</b> 6 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7",2026-04-27T23:05:32Z
0001722373,,"Covera Health, Inc. (0001722373) (Filer)",,D,2026-04-27T16:51:02-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001722373-26-000002 <b>Size:</b> 9 KB,2026-04-27T23:05:32Z
0001544727,,Sphera Global Healthcare Fund (0001544727) (Filer),,D,2026-04-27T16:50:48-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001544727-26-000001 <b>Size:</b> 8 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7",2026-04-27T23:05:32Z
0001850119,,"Century Therapeutics, Inc. (0001850119) (Filer)",,D,2026-04-27T16:49:40-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049489 <b>Size:</b> 3 MB,2026-04-27T23:05:32Z
0002095471,,"Stillcore Capital Fund II, LP (0002095471) (Filer)",,D,2026-04-27T16:46:23-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002095471-26-000001 <b>Size:</b> 8 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7",2026-04-27T23:05:32Z
0001593899,,"Atea Pharmaceuticals, Inc. (0001593899) (Filer)",,D,2026-04-27T16:45:21-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182293 <b>Size:</b> 15 MB,2026-04-27T23:05:32Z
0002126874,,Antares Senior Loan EF III LP (0002126874) (Filer),,D,2026-04-27T16:43:25-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000950103-26-006226 <b>Size:</b> 7 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.1",2026-04-27T23:05:32Z
0001690744,,"MPC NE Historic ICF, LLC (0001690744) (Filer)",,D,2026-04-27T16:43:13-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000908834-26-000202 <b>Size:</b> 8 KB,2026-04-27T23:05:32Z
0001662774,,"Quince Therapeutics, Inc. (0001662774) (Filer)",,D,2026-04-27T16:41:11-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182267 <b>Size:</b> 933 KB,2026-04-27T23:05:32Z
0001544728,,"Sphera Global Healthcare US Fund, L.P. (0001544728) (Filer)",,D,2026-04-27T16:40:50-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001544728-26-000001 <b>Size:</b> 9 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7",2026-04-27T23:05:32Z
0001412502,,Sterling Real Estate Trust (0001412502) (Filer),,D,2026-04-27T16:40:49-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049481 <b>Size:</b> 886 KB,2026-04-27T23:05:32Z
0001791394,,Squarepoint Atlas US Feeder LP (0001791394) (Filer),,D,2026-04-27T16:39:58-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000905148-26-001869 <b>Size:</b> 11 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.",2026-04-27T23:05:32Z
0001662774,,"Quince Therapeutics, Inc. (0001662774) (Filer)",,D,2026-04-27T16:39:38-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182255 <b>Size:</b> 5 MB,2026-04-27T23:05:32Z
0001875558,,"Nuvectis Pharma, Inc. (0001875558) (Filer)",,D,2026-04-27T16:39:33-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049480 <b>Size:</b> 321 KB,2026-04-27T23:05:32Z
0001317685,,Alliance Laundry Holdings Inc. (0001317685) (Filer),,D,2026-04-27T16:39:07-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001628280-26-027536 <b>Size:</b> 366 KB,2026-04-27T23:05:32Z
0001701108,,"Spero Therapeutics, Inc. (0001701108) (Filer)",,D,2026-04-27T16:39:05-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182256 <b>Size:</b> 213 KB,2026-04-27T23:05:32Z
0001581091,,"RE/MAX Holdings, Inc. (0001581091) (Filer)",,D,2026-04-27T16:38:34-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049478 <b>Size:</b> 9 MB,2026-04-27T23:05:32Z
0001130166,,"Bio Green Med Solution, Inc. (0001130166) (Filer)",,D,2026-04-27T16:38:16-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001493152-26-019158 <b>Size:</b> 3 MB,2026-04-27T23:05:32Z
0002130092,,"Beauty Way, LLC (0002130092) (Filer)",,D,2026-04-27T16:38:11-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002130092-26-000001 <b>Size:</b> 5 KB,2026-04-27T23:05:32Z
0002113093,,ASAP Capital Group LLC (0002113093) (Filer),,D,2026-04-27T16:37:53-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002113093-26-000003 <b>Size:</b> 5 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.1",2026-04-27T23:05:32Z
0001317685,,Alliance Laundry Holdings Inc. (0001317685) (Filer),,D,2026-04-27T16:37:52-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001628280-26-027533 <b>Size:</b> 9 MB,2026-04-27T23:05:32Z
0001722373,,"Covera Health, Inc. (0001722373) (Filer)",,D,2026-04-27T16:37:42-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001722373-26-000001 <b>Size:</b> 9 KB,2026-04-27T23:05:32Z
0001875558,,"Nuvectis Pharma, Inc. (0001875558) (Filer)",,D,2026-04-27T16:37:16-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049476 <b>Size:</b> 1 MB,2026-04-27T23:05:32Z
0001793804,,Squarepoint Atlas International Feeder Ltd. (0001793804) (Filer),,D,2026-04-27T16:36:08-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000905148-26-001868 <b>Size:</b> 12 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.",2026-04-27T23:05:32Z
0001857853,,"Traeger, Inc. (0001857853) (Filer)",,D,2026-04-27T16:34:48-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001628280-26-027528 <b>Size:</b> 3 MB,2026-04-27T23:05:32Z
0001845815,,Payoneer Global Inc. (0001845815) (Filer),,D,2026-04-27T16:34:27-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049470 <b>Size:</b> 340 KB,2026-04-27T23:05:32Z
0001404655,,HUBSPOT INC (0001404655) (Filer),,D,2026-04-27T16:33:31-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182218 <b>Size:</b> 15 MB,2026-04-27T23:05:32Z
0002121510,,"Atreides Private Opportunities Fund II, LP (0002121510) (Filer)",,D,2026-04-27T16:33:23-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000929638-26-001596 <b>Size:</b> 10 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.",2026-04-27T23:05:32Z
0001349436,,SANDRIDGE ENERGY INC (0001349436) (Filer),,D,2026-04-27T16:33:23-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001140361-26-017134 <b>Size:</b> 2 MB,2026-04-27T23:05:32Z
0001483253,,Global L.P. (0001483253) (Filer),,D,2026-04-27T16:32:27-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001483253-26-000001 <b>Size:</b> 9 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7",2026-04-27T23:05:32Z
0001349436,,SANDRIDGE ENERGY INC (0001349436) (Filer),,D,2026-04-27T16:32:08-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001140361-26-017133 <b>Size:</b> 8 MB,2026-04-27T23:05:32Z
0001404655,,HUBSPOT INC (0001404655) (Filer),,D,2026-04-27T16:32:07-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182210 <b>Size:</b> 17 MB,2026-04-27T23:05:32Z
0002121509,,"Atreides Private Opportunities Offshore Fund II, LP (0002121509) (Filer)",,D,2026-04-27T16:32:04-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000929638-26-001594 <b>Size:</b> 10 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.",2026-04-27T23:05:32Z
0001857853,,"Traeger, Inc. (0001857853) (Filer)",,D,2026-04-27T16:32:02-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001628280-26-027524 <b>Size:</b> 41 MB,2026-04-27T23:05:32Z
0001032033,,SLM Corp (0001032033) (Filer),,D,2026-04-27T16:31:51-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182211 <b>Size:</b> 843 KB,2026-04-27T23:05:32Z
0001845815,,Payoneer Global Inc. (0001845815) (Filer),,D,2026-04-27T16:31:37-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049462 <b>Size:</b> 4 MB,2026-04-27T23:05:32Z
0001124105,,"GYRE THERAPEUTICS, INC. (0001124105) (Filer)",,D,2026-04-27T16:31:12-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001140361-26-017130 <b>Size:</b> 1 MB,2026-04-27T23:05:32Z
0001701108,,"Spero Therapeutics, Inc. (0001701108) (Filer)",,D,2026-04-27T16:30:44-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182201 <b>Size:</b> 3 MB,2026-04-27T23:05:32Z
0000318306,,ABEONA THERAPEUTICS INC. (0000318306) (Filer),,D,2026-04-27T16:30:39-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001493152-26-019153 <b>Size:</b> 4 MB,2026-04-27T23:05:32Z
0001124105,,"GYRE THERAPEUTICS, INC. (0001124105) (Filer)",,D,2026-04-27T16:30:37-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001140361-26-017124 <b>Size:</b> 5 MB,2026-04-27T23:05:32Z
0001032033,,SLM Corp (0001032033) (Filer),,D,2026-04-27T16:30:37-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182200 <b>Size:</b> 10 MB,2026-04-27T23:05:32Z
0001726445,,"Seer, Inc. (0001726445) (Filer)",,D,2026-04-27T16:30:15-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182199 <b>Size:</b> 41 KB,2026-04-27T23:05:32Z
0001726445,,"Seer, Inc. (0001726445) (Filer)",,D,2026-04-27T16:28:43-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182189 <b>Size:</b> 41 KB,2026-04-27T23:05:32Z
0001726445,,"Seer, Inc. (0001726445) (Filer)",,D,2026-04-27T16:27:37-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182182 <b>Size:</b> 65 KB,2026-04-27T23:05:32Z
0002088913,,"Stillcore Capital Fund I, LP (0002088913) (Filer)",,D,2026-04-27T16:25:29-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002088913-26-000001 <b>Size:</b> 9 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.1",2026-04-27T23:05:32Z
0002018804,,"Birkoa Pro Global Macro Fund, LP (0002018804) (Filer)",,D,2026-04-27T16:25:17-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002018804-26-000001 <b>Size:</b> 8 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.1",2026-04-27T23:05:32Z
0001804176,,"Butterfly Network, Inc. (0001804176) (Filer)",,D,2026-04-27T16:24:34-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001140361-26-017120 <b>Size:</b> 4 MB,2026-04-27T23:05:32Z
0001708599,,"Serina Therapeutics, Inc. (0001708599) (Filer)",,D,2026-04-27T16:24:05-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001708599-26-000029 <b>Size:</b> 2 MB,2026-04-27T23:05:32Z
0001804176,,"Butterfly Network, Inc. (0001804176) (Filer)",,D,2026-04-27T16:23:59-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001140361-26-017118 <b>Size:</b> 9 MB,2026-04-27T23:05:32Z
0002066076,,"Audax SR Loan I, LP (0002066076) (Filer)",,D,2026-04-27T16:23:57-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002066076-26-000001 <b>Size:</b> 7 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7",2026-04-27T23:05:32Z
0002116257,,"Ventures by SH Fund I, a Series of Decile Start Fund, LP (0002116257) (Filer)",,D,2026-04-27T16:23:52-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002116257-26-000001 <b>Size:</b> 10 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.",2026-04-27T23:05:32Z
0001831097,,"agilon health, inc. (0001831097) (Filer)",,D,2026-04-27T16:21:40-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001628280-26-027515 <b>Size:</b> 50 KB,2026-04-27T23:05:32Z
0001829802,,"Sensei Biotherapeutics, Inc. (0001829802) (Filer)",,D,2026-04-27T16:20:45-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182149 <b>Size:</b> 556 KB,2026-04-27T23:05:32Z
0001004702,,OCEANFIRST FINANCIAL CORP (0001004702) (Filer),,D,2026-04-27T16:20:34-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001308179-26-000348 <b>Size:</b> 21 MB,2026-04-27T23:05:32Z
0002131752,,"YCA26, L.P. (0002131752) (Filer)",,D,2026-04-27T16:20:19-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001315863-26-000364 <b>Size:</b> 6 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7",2026-04-27T23:05:32Z
0002131615,,PROSPER MEADOWS LP (0002131615) (Filer),,D,2026-04-27T16:20:06-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002131615-26-000001 <b>Size:</b> 5 KB,2026-04-27T23:05:32Z
0001857154,,"Krispy Kreme, Inc. (0001857154) (Filer)",,D,2026-04-27T16:19:42-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182145 <b>Size:</b> 464 KB,2026-04-27T23:05:32Z
0001141391,,Mastercard Inc (0001141391) (Filer),,D,2026-04-27T16:19:21-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001141391-26-000023 <b>Size:</b> 3 MB,2026-04-27T23:05:32Z
0001829802,,"Sensei Biotherapeutics, Inc. (0001829802) (Filer)",,D,2026-04-27T16:19:08-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182143 <b>Size:</b> 4 MB,2026-04-27T23:05:32Z
