captured_at,gas_low_gwei,gas_avg_gwei,gas_high_gwei,base_fee_gwei,next_block_priority_gwei,congestion_label,eth_usd_price,network_utilization
2026-04-25T01:16:01Z,0.3,0.79,3.13,0.3,0.49,low,2317.62,49.62
2026-04-26T18:32:20Z,2.18,2.95,5.46,2.18,0.77,low,2363.29,48.91
2026-04-27T06:32:05Z,1.2,1.41,2.5,1.2,0.21,low,2327.24,53.16
