declaration_date,state,county,incident_type,declaration_title,disaster_number,captured_at
2026-04-23,MP,Northern Islands (Municipality),Hurricane,SUPER TYPHOON SINLAKU,4910,2026-04-27T23:06:44Z
2026-04-23,FL,Levy (County),Fire,COW CREEK FIRE,5632,2026-04-27T23:06:44Z
2026-04-22,FL,Clay (County),Fire,RAILROAD COMPLEX FIRE,5631,2026-04-27T23:06:44Z
2026-04-22,GA,Brantley (County),Fire,HIGHWAY 82 WILDFIRE,5630,2026-04-27T23:06:44Z
2026-04-21,GA,Clinch (County),Fire,PINELAND ROAD WILDFIRE,5629,2026-04-27T23:06:44Z
2026-04-11,MP,Tinian (Municipality),Tropical Storm,TYPHOON SINLAKU,3645,2026-04-27T23:06:44Z
2026-04-11,GU,Guam (County-equivalent),Tropical Storm,TYPHOON SINLAKU,3644,2026-04-27T23:06:44Z
2026-04-07,MT,Judith Basin (County),Straight-Line Winds,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,4902,2026-04-27T23:06:44Z
2026-04-07,WA,Clark (County),Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4906,2026-04-27T23:06:44Z
2026-04-07,ID,Bonner (County),Straight-Line Winds,STRAIGHT-LINE WINDS,4905,2026-04-27T23:06:44Z
2026-04-07,HI,Hawaii (County),Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4909,2026-04-27T23:06:44Z
2026-04-07,SD,Pennington (County),Straight-Line Winds,STRAIGHT-LINE WINDS,4903,2026-04-27T23:06:44Z
2026-04-07,SC,Oconee (County),Winter Storm,SEVERE WINTER STORM,4908,2026-04-27T23:06:44Z
2026-04-07,OR,Tillamook (County),Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4907,2026-04-27T23:06:44Z
2026-04-07,MT,Lincoln (County),Flood,SEVERE STORMS AND FLOODING,4901,2026-04-27T23:06:44Z
2026-04-07,AK,Matanuska-Susitna (Borough),Winter Storm,SEVERE STORM,4904,2026-04-27T23:06:44Z
2026-03-22,OK,McClain (County),Fire,DIBBLE CREEK FIRE,5627,2026-04-27T23:06:44Z
2026-03-22,OK,Dewey (County),Fire,JUMPING JUNIPER FIRE,5628,2026-04-27T23:06:44Z
2026-03-19,OK,Murray (County),Fire,BUCK HORN FIRE,5626,2026-04-27T23:06:44Z
2026-03-15,TX,Donley (County),Fire,CORNER POCKET FIRE,5625,2026-04-27T23:06:44Z
2026-03-15,OK,Beckham (County),Fire,1170 ROAD FIRE,5624,2026-04-27T23:06:44Z
2026-03-13,SD,Custer (County),Fire,QURY FIRE,5622,2026-04-27T23:06:44Z
2026-03-13,NE,Dawson (County),Fire,MORRILL-COTTONWOOD FIRE,5623,2026-04-27T23:06:44Z
2026-02-20,DC,District of Columbia (County-equivalent),Other,SEWER LINE COLLAPSE ,3643,2026-04-27T23:06:44Z
2026-02-19,OK,Carter (County),Fire,HOSPITAL ROAD FIRE,5620,2026-04-27T23:06:44Z
2026-02-19,OK,Osage (County),Fire,RATTLESNAKE FIRE,5621,2026-04-27T23:06:44Z
2026-02-18,LA,Madison (Parish),Winter Storm,SEVERE WINTER STORM,4900,2026-04-27T23:06:44Z
2026-02-18,TX,Armstrong (County),Fire,8 BALL FIRE,5619,2026-04-27T23:06:44Z
2026-02-17,OK,Texas (County),Fire,STEVENS FIRE,5616,2026-04-27T23:06:44Z
2026-02-17,OK,Woodward (County),Fire,43 FIRE,5618,2026-04-27T23:06:44Z
2026-02-17,OK,Beaver (County),Fire,RANGER ROAD FIRE,5617,2026-04-27T23:06:44Z
2026-02-06,TN,Bledsoe (County),Winter Storm,SEVERE WINTER STORM,4898,2026-04-27T23:06:44Z
2026-02-06,MS,Yazoo (County),Winter Storm,SEVERE WINTER STORM,4899,2026-04-27T23:06:44Z
2026-01-24,MS,Jones (County),Winter Storm,SEVERE WINTER STORM ,3640,2026-04-27T23:06:44Z
2026-01-24,GA,Butts (County),Winter Storm,SEVERE WINTER STORM,3642,2026-04-27T23:06:44Z
2026-01-24,AR,Miller (County),Winter Storm,SEVERE WINTER STORM,3636,2026-04-27T23:06:44Z
2026-01-24,TN,Lauderdale (County),Winter Storm,SEVERE WINTER STORM,3635,2026-04-27T23:06:44Z
2026-01-24,LA,West Carroll (Parish),Winter Storm,SEVERE WINTER STORM,3638,2026-04-27T23:06:44Z
