ts,check,status,detail,ticker
2026-04-27T22:50:32Z,temporal,FAIL,Newest filing (CVGW) is 21 min old — exceeds 20 min threshold. Akerlof edge may be stale. Consider intraday EDGAR poll.,CVGW
2026-04-27T23:14:03Z,temporal,FAIL,Newest filing (NHS) is 25 min old — exceeds 20 min threshold. Akerlof edge may be stale. Consider intraday EDGAR poll.,NHS
