month,national,twenty_city,ten_city,yoy_pct,captured_at
2026-01-01,326.61,343.18,357.44,0.91,2026-04-27T23:12:11Z
2025-12-01,326.97,342.63,357.54,1.13,2026-04-27T23:12:11Z
2025-11-01,327.81,340.91,357.65,1.27,2026-04-27T23:12:11Z
2025-10-01,328.24,339.00,357.23,1.31,2026-04-27T23:12:11Z
2025-09-01,328.88,337.77,357.93,1.30,2026-04-27T23:12:11Z
2025-08-01,329.86,337.32,359.54,1.48,2026-04-27T23:12:11Z
2025-07-01,330.95,337.06,361.60,1.64,2026-04-27T23:12:11Z
2025-06-01,331.61,337.22,362.82,1.94,2026-04-27T23:12:11Z
2025-05-01,331.43,337.81,362.87,2.38,2026-04-27T23:12:11Z
2025-04-01,329.91,338.56,361.47,2.84,2026-04-27T23:12:11Z
2025-03-01,327.75,339.41,358.69,3.44,2026-04-27T23:12:11Z
2025-02-01,325.14,339.86,354.37,3.98,2026-04-27T23:12:11Z
2025-01-01,323.67,339.11,351.39,4.15,2026-04-27T23:12:11Z
2024-12-01,323.31,337.74,350.56,4.00,2026-04-27T23:12:11Z
2024-11-01,323.70,335.99,350.49,3.73,2026-04-27T23:12:11Z
2024-10-01,323.98,334.49,350.44,3.56,2026-04-27T23:12:11Z
2024-09-01,324.67,333.12,350.77,3.90,2026-04-27T23:12:11Z
2024-08-01,325.05,332.14,352.01,4.31,2026-04-27T23:12:11Z
2024-07-01,325.60,331.09,353.36,4.94,2026-04-27T23:12:11Z
2024-06-01,325.29,330.16,353.34,5.50,2026-04-27T23:12:11Z
2024-05-01,323.73,328.71,351.05,6.01,2026-04-27T23:12:11Z
2024-04-01,320.79,327.39,347.24,6.39,2026-04-27T23:12:11Z
2024-03-01,316.86,326.14,342.31,6.54,2026-04-27T23:12:11Z
2024-02-01,312.68,325.16,336.81,6.54,2026-04-27T23:12:11Z
