ticker,vol_ratio,vol_ratio_regime,vol_z_score,amihud_illiq,gapper_vol_bonus,gapper_volz_bonus,squeeze_vol_bonus,illiq_penalty
ABOS,0.6833,NORMAL,0.096,33.7746,0,0,0,-2
ACDC,0.8899,NORMAL,-0.7175,4.2371,0,0,0,0
ACI,0.909,NORMAL,-0.1916,0.1259,0,0,0,0
ADTX,0.8086,NORMAL,-0.3308,192.3395,0,0,0,-5
ADUS,1.2675,NORMAL,-0.3845,0.6366,0,0,0,0
AGL,0.8678,NORMAL,-1.0368,17.4722,0,0,0,0
AISP,0.7455,NORMAL,-1.955,34.5364,0,0,0,-2
ALRM,1.4829,NORMAL,-0.4096,0.8082,0,0,0,0
AMTB,1.4608,NORMAL,1.1326,2.1927,0,0,0,0
AMXOF,0.0,COMPRESSING,-0.3232,116204.3508,0,0,5,-5
ANGO,0.4553,COMPRESSING,-1.2211,5.0732,0,0,3,0
ARCC,0.8564,NORMAL,-0.6473,0.1007,0,0,0,0
ATEK,1.0,NORMAL,0.0,0.0,0,0,0,0
ATEN,1.0795,NORMAL,-0.1704,0.9511,0,0,0,0
AVO,1.1213,NORMAL,-0.1524,1.5588,0,0,0,0
AVR,0.4665,COMPRESSING,-0.3427,7.7603,0,0,3,0
AVTR,1.308,NORMAL,0.0633,0.2899,0,0,0,0
AVX,0.4161,COMPRESSING,0.3698,335.0392,0,0,3,-5
AXSM,0.9045,NORMAL,-0.3083,0.1787,0,0,0,0
BAC-PS,0.9353,NORMAL,0.5176,5.9107,0,0,0,0
BAP,0.4431,COMPRESSING,-0.4151,0.1322,0,0,3,0
BCDRF,0.8785,NORMAL,-0.7043,140.1037,0,0,0,-5
BCML,0.372,COMPRESSING,1.1321,14.1925,0,0,3,0
BK-PK,1.0692,NORMAL,0.6476,3.7825,0,0,0,0
BKE,0.6344,NORMAL,-1.8394,0.6844,0,0,0,0
BKR,1.1835,NORMAL,3.3967,0.0324,0,6,0,0
BNS,0.7806,NORMAL,-0.5672,0.0536,0,0,0,0
BRBS,0.2431,COMPRESSING,-0.6298,8.875,0,0,5,0
BRTX,0.7968,NORMAL,-0.7143,114.359,0,0,0,-5
BURU,1.692,NORMAL,0.2598,10.4162,0,0,0,0
BWMX,0.78,NORMAL,3.2038,10.0598,0,6,0,0
C-PR,0.2677,COMPRESSING,-0.8821,0.9677,0,0,5,0
CAR,1.7018,NORMAL,0.1748,0.1427,0,0,0,0
CARS,0.9735,NORMAL,-0.0277,2.2216,0,0,0,0
CATY,1.2514,NORMAL,2.8427,0.6446,0,4,0,0
CBRE,1.1928,NORMAL,-0.2066,0.0499,0,0,0,0
CEIN,0.0,COMPRESSING,-1.0479,1579.3951,0,0,5,-5
CHE,1.8789,NORMAL,5.3366,0.1492,0,8,0,0
CLMB,0.91,NORMAL,1.651,5.6292,0,2,0,0
CLPT,1.0734,NORMAL,0.3341,7.3653,0,0,0,0
CLRO,0.4918,COMPRESSING,0.1196,3016.0031,0,0,3,-5
COCO,0.9967,NORMAL,-0.3483,0.4266,0,0,0,0
COCP,0.2922,COMPRESSING,-0.2371,129.4235,0,0,5,-5
COGT,0.3665,COMPRESSING,-0.6966,0.2103,0,0,3,0
COUR,1.1157,NORMAL,5.5026,1.2031,0,8,0,0
CRDF,1.1885,NORMAL,-1.669,26.4698,0,0,0,-2
CRGY,0.361,COMPRESSING,-0.5483,0.2322,0,0,3,0
CRVS,1.5292,NORMAL,0.0793,2.0819,0,0,0,0
CRWD,0.9357,NORMAL,-0.8613,0.0189,0,0,0,0
CRWV,0.8612,NORMAL,0.0786,0.0181,0,0,0,0
CUBB,1.4342,NORMAL,-0.5146,308.8655,0,0,0,-5
CVLG,1.5208,NORMAL,3.7207,4.2139,0,6,0,0
CYRX,1.0824,NORMAL,-1.2996,6.5744,0,0,0,0
CZR,0.5632,NORMAL,-0.965,0.1369,0,0,0,0
DAIC,0.6026,NORMAL,0.0888,619.0961,0,0,0,-5
DAN,0.3408,COMPRESSING,-0.7107,0.5646,0,0,3,0
DBRG-PJ,1.2623,NORMAL,0.1401,18.4738,0,0,0,0
DCBG,0.3223,COMPRESSING,-1.1605,95.9439,0,0,3,-3
DH,1.1399,NORMAL,-0.5027,169.5122,0,0,0,-5
DKL,1.3223,NORMAL,-0.1653,5.3918,0,0,0,0
DSP,0.8068,NORMAL,2.0993,17.8033,0,4,0,0
EFSI,0.923,NORMAL,-0.0896,30.1937,0,0,0,-2
EHI,1.2084,NORMAL,0.7119,15.9549,0,0,0,0
ELMT,1.0,NORMAL,0.0,0.0,0,0,0,0
ELPC,0.8642,NORMAL,-0.511,2.81,0,0,0,0
ENVA,0.8395,NORMAL,2.2551,0.5435,0,4,0,0
ENVB,1.7656,NORMAL,0.9299,404.8057,0,0,0,-5
ETN,0.494,COMPRESSING,0.6896,0.0193,0,0,3,0
EVCM,1.0267,NORMAL,-1.162,20.1372,0,0,0,-2
EXPI,0.9134,NORMAL,-0.7252,3.4358,0,0,0,0
FATE,0.585,NORMAL,-0.7014,22.2338,0,0,0,-2
FCUV,0.4562,COMPRESSING,-0.2304,985.8869,0,0,3,-5
FLDD,1.0,NORMAL,0.0,0.0,0,0,0,0
FLYW,1.0921,NORMAL,-0.658,1.1801,0,0,0,0
FRST,1.1961,NORMAL,11.3997,4.3686,0,8,0,0
GBCI,0.7416,NORMAL,1.9742,0.3009,0,2,0,0
GCT,0.4647,COMPRESSING,-0.193,1.1407,0,0,3,0
GHI,0.8628,NORMAL,-1.5634,25.1179,0,0,0,-2
GIPR,0.8289,NORMAL,-0.2753,816.6962,0,0,0,-5
GLIBK,1.6369,NORMAL,1.1262,0.9447,0,0,0,0
GOSS,0.7829,NORMAL,-1.896,20.13,0,0,0,-2
GPCR,0.5782,NORMAL,-0.4598,0.6487,0,0,0,0
