arxiv_id,published,title,authors,ticker_guess,summary,url
2604.22586v1,2026-04-24,FlowAnchor: Stabilizing the Editing Signal for Inversion-Free Video Editing,"
      Ze Chen
     | 
      Lan Chen
     | 
      Yuanhang Li
     | 
      Qi Mao
    ",,"We propose FlowAnchor, a training-free framework for stable and efficient inversion-free, flow-based video editing. Inversion-free editing methods have recently shown impressive efficiency and structure preservation in images by directly st",http://arxiv.org/abs/2604.22586v1
2604.22583v1,2026-04-24,Adaptive Head Budgeting for Efficient Multi-Head Attention,"
      Bilal Faye
     | 
      Abdoulaye Mbaye
     | 
      Hanane Azzag
     | 
      Mustapha Lebbah
    ",,"Transformers have become the dominant architecture across a wide range of domains, largely due to the effectiveness of multi-head attention in capturing diverse representation subspaces. However, standard multi-head attention activates all ",http://arxiv.org/abs/2604.22583v1
2604.22580v1,2026-04-24,Explanation of Dynamic Physical Field Predictions using WassersteinGrad: Application to Autoregressive Weather Forecasting,"
      Younes Essafouri
     | 
      Laure Raynaud
     | 
      Luciano Drozda
     | 
      Laurent Risser
    ",INTC,"As the demand to integrate Artificial Intelligence into high-stakes environments continues to grow, explaining the reasoning behind neural-network predictions has shifted from a theoretical curiosity to a strict operational requirement. Our",http://arxiv.org/abs/2604.22580v1
2604.22579v1,2026-04-24,Useful nonrobust features are ubiquitous in biomedical images,"
      Coenraad Mouton
     | 
      Randle Rabe
     | 
      Niklas C. Koser
     | 
      Nicolai Krekiehn
     | 
      Christopher Hansen
    ",,We study whether deep networks for medical imaging learn useful nonrobust features - predictive input patterns that are not human interpretable and highly susceptible to small adversarial perturbations - and how these features impact test p,http://arxiv.org/abs/2604.22579v1
2604.22577v1,2026-04-24,QuantClaw: Precision Where It Matters for OpenClaw,"
      Manyi Zhang
     | 
      Ji-Fu Li
     | 
      Zhongao Sun
     | 
      Xiaohao Liu
     | 
      Zhenhua Dong
    ",,Autonomous agent systems such as OpenClaw introduce significant efficiency challenges due to long-context inputs and multi-turn reasoning. This results in prohibitively high computational and monetary costs in real-world development. While ,http://arxiv.org/abs/2604.22577v1
2604.22575v1,2026-04-24,SpikingBrain2.0: Brain-Inspired Foundation Models for Efficient Long-Context and Cross-Platform Inference,"
      Yuqi Pan
     | 
      Jinghao Zhuang
     | 
      Yupeng Feng
     | 
      Fangzhi Zhong
     | 
      Siyu Ding
    ",,"Scaling context length is reshaping large-model development, yet full-attention Transformers suffer from prohibitive computation and inference bottlenecks at long sequences. A key challenge is to design foundation models that maintain perfo",http://arxiv.org/abs/2604.22575v1
2604.22569v1,2026-04-24,Adversarial Co-Evolution of Malware and Detection Models: A Bilevel Optimization Perspective,"
      Olha Jurečková
     | 
      Martin Jureček
     | 
      Matouš Kozák
     | 
      Róbert Lórencz
    ",,"Machine learning-based malware detectors are increasingly vulnerable to adversarial examples. Traditional defenses, such as one-shot adversarial training, often fail against adaptive attackers who use reinforcement learning to bypass detect",http://arxiv.org/abs/2604.22569v1
2604.22565v1,2026-04-24,Learning Evidence Highlighting for Frozen LLMs,"
      Shaoang Li
     | 
      Yanhang Shi
     | 
      Yufei Li
     | 
      Mingfu Liang
     | 
      Xiaohan Wei
    ",,"Large Language Models (LLMs) can reason well, yet often miss decisive evidence when it is buried in long, noisy contexts. We introduce HiLight, an Evidence Emphasis framework that decouples evidence selection from reasoning for frozen LLM s",http://arxiv.org/abs/2604.22565v1
2604.22562v1,2026-04-24,Data-Free Contribution Estimation in Federated Learning using Gradient von Neumann Entropy,"
      Asim Ukaye
     | 
      Mubarak Abdu-Aguye
     | 
      Nurbek Tastan
     | 
      Karthik Nandakumar
    ",META,"Client contribution estimation in Federated Learning is necessary for identifying clients' importance and for providing fair rewards. Current methods often rely on server-side validation data or self-reported client information, which can c",http://arxiv.org/abs/2604.22562v1
2604.22560v1,2026-04-24,Cross-Stage Coherence in Hierarchical Driving VQA: Explicit Baselines and Learned Gated Context Projectors,"
      Gautam Kumar Jain
     | 
      Carsten Markgraf
     | 
      Julian Stähler
    ",,"Graph Visual Question Answering (GVQA) for autonomous driving organizes reasoning into ordered stages, namely Perception, Prediction, and Planning, where planning decisions should remain consistent with the model's own perception. We presen",http://arxiv.org/abs/2604.22560v1
2604.22558v1,2026-04-24,SOLAR-RL: Semi-Online Long-horizon Assignment Reinforcement Learning,"
      Jichao Wang
     | 
      Liuyang Bian
     | 
      Yufeng Zhou
     | 
      Han Xiao
     | 
      Yue Pan
    ",,"As Multimodal Large Language Models (MLLMs) mature, GUI agents are evolving from static interactions to complex navigation. While Reinforcement Learning (RL) has emerged as a promising paradigm for training MLLM agents on dynamic GUI tasks,",http://arxiv.org/abs/2604.22558v1
2604.22557v1,2026-04-24,Are Natural-Domain Foundation Models Effective for Accelerated Cardiac MRI Reconstruction?,"
      Anam Hashmi
     | 
      Mayug Maniparambil
     | 
      Julia Dietlmeier
     | 
      Kathleen M. Curran
     | 
      Noel E. O'Connor
    ",,"The emergence of large-scale pretrained foundation models has transformed computer vision, enabling strong performance across diverse downstream tasks. However, their potential for physics-based inverse problems, such as accelerated cardiac",http://arxiv.org/abs/2604.22557v1
2604.22555v1,2026-04-24,Using Embedding Models to Improve Probabilistic Race Prediction,"
      Noan Dasanaike
     | 
      Kosuke Imai
    ",,"Estimating racial disparity requires individual-level race data, which are often unavailable due to the sensitivity of collecting such information. To address this problem, many researchers utilize Bayesian Improved Surname Geocoding (BISG)",http://arxiv.org/abs/2604.22555v1
2604.22554v1,2026-04-24,Video Analysis and Generation via a Semantic Progress Function,"
      Gal Metzer
     | 
      Sagi Polaczek
     | 
      Ali Mahdavi-Amiri
     | 
      Raja Giryes
     | 
      Daniel Cohen-Or
    ",,"Transformations produced by image and video generation models often evolve in a highly non-linear manner: long stretches where the content barely changes are followed by sudden, abrupt semantic jumps. To analyze and correct this behavior, w",http://arxiv.org/abs/2604.22554v1
