date,trigger_ticker,sector,gap_score,form,price_t0,peers,peer_prices_t0,price_t1day,move_pct_t1day,peer_avg_move_pct_t1day
2026-04-27,OBK,financials,16.00,8-K,,"PLBC,CBK,UWHR,WBHC,TMP",,,,
2026-04-27,FBK,financials,22.00,8-K,54.1900,"CBNK,NWBI,WSBF,WBHC,OBK",CBNK:31.7150,,,
2026-04-27,CBNK,financials,22.00,8-K,31.7150,"FBK,NWBI,WSBF,WBHC,OBK",FBK:54.1900,,,
2026-04-27,RNGR,materials,21.00,8-K,,"MLM,SKY",,,,
2026-04-27,NWBI,financials,21.00,8-K,,"FBK,CBNK,WSBF,WBHC,OBK","FBK:54.1900,CBNK:31.7150",,,
2026-04-27,WSBF,financials,21.00,8-K,,"FBK,CBNK,NWBI,WBHC,OBK","FBK:54.1900,CBNK:31.7150",,,
2026-04-27,SEER,industrials,19.00,8-K,,"ASTE,BAH,CTOS,CCK,SWK",,,,
2026-04-27,CI,financials,18.00,8-K,,"FBK,CBNK,NWBI,WSBF,WBHC","FBK:54.1900,CBNK:31.7150",,,
2026-04-27,UHT,financials,18.00,8-K,,"FBK,CBNK,NWBI,WSBF,WBHC","FBK:54.1900,CBNK:31.7150",,,
2026-04-27,CLS,semis,18.00,8-K,,TE-WT,,,,
2026-04-27,GABC,financials,18.00,8-K,,"FBK,CBNK,NWBI,WSBF,WBHC","FBK:54.1900,CBNK:31.7150",,,
2026-04-27,CDP,financials,18.00,8-K,,"FBK,CBNK,NWBI,WSBF,WBHC","FBK:54.1900,CBNK:31.7150",,,
2026-04-27,AEYE,tech,18.00,8-K,,"BSY,YEXT",,,,
2026-04-27,TRUP,financials,18.00,8-K,,"FBK,CBNK,NWBI,WSBF,WBHC","FBK:54.1900,CBNK:31.7150",,,
2026-04-27,MLM,materials,18.00,8-K,,"RNGR,SKY",,,,
2026-04-27,ASTE,industrials,18.00,8-K,,"SEER,BAH,CTOS,CCK,SWK",,,,
2026-04-27,BSY,tech,18.00,8-K,,"AEYE,YEXT",,,,
2026-04-27,CMG,consumer,18.00,8-K,,"LEVI,CHEV,PK",,,,
2026-04-27,LEVI,consumer,18.00,8-K,,"CMG,CHEV,PK",,,,
2026-04-27,BAH,industrials,18.00,8-K,,"SEER,ASTE,CTOS,CCK,SWK",,,,
2026-04-27,CHEV,consumer,18.00,8-K,,"CMG,LEVI,PK",,,,
2026-04-27,CTOS,industrials,18.00,8-K,,"SEER,ASTE,BAH,CCK,SWK",,,,
2026-04-27,SKY,materials,18.00,8-K,,"RNGR,MLM",,,,
2026-04-27,CCK,industrials,18.00,8-K,,"SEER,ASTE,BAH,CTOS,SWK",,,,
2026-04-27,PK,consumer,18.00,8-K,,"CMG,LEVI,CHEV",,,,
2026-04-27,SUI,financials,18.00,8-K,,"FBK,CBNK,NWBI,WSBF,WBHC","FBK:54.1900,CBNK:31.7150",,,
2026-04-27,POLE,financials,18.00,8-K,,"FBK,CBNK,NWBI,WSBF,WBHC","FBK:54.1900,CBNK:31.7150",,,
2026-04-27,YEXT,tech,18.00,8-K,,"AEYE,BSY",,,,
2026-04-27,CINF,financials,18.00,8-K,,"FBK,CBNK,NWBI,WSBF,WBHC","FBK:54.1900,CBNK:31.7150",,,
2026-04-27,BEEP,real_estate,18.00,8-K,,,,,,
2026-04-27,CLBK,financials,18.00,8-K,,"FBK,CBNK,NWBI,WSBF,WBHC","FBK:54.1900,CBNK:31.7150",,,
2026-04-27,MSDL,unknown,18.00,8-K,,,,,,
2026-04-27,RIOT,financials,18.00,8-K,,"FBK,CBNK,NWBI,WSBF,WBHC","FBK:54.1900,CBNK:31.7150",,,
2026-04-27,SWK,industrials,18.00,8-K,,"SEER,ASTE,BAH,CTOS,CCK",,,,
2026-04-27,ARE,financials,25.00,8-K,,"NWBI,SLMBP,CME,CI,UHT",,,,
2026-04-27,SLMBP,financials,24.00,8-K,,"NWBI,ARE,CME,CI,UHT",,,,
2026-04-27,CME,financials,24.00,8-K,,"NWBI,ARE,SLMBP,CI,UHT",,,,
2026-04-27,FSUN,financials,22.00,8-K,38.5800,"NWBI,ARE,SLMBP,CME,CI",,,,
2026-04-27,WKHS,consumer,20.00,8-K,2.5500,,,,,
2026-04-27,GEVO,energy,20.00,8-K,,,,,,
2026-04-27,LU,financials,20.00,6-K,1.9000,"NWBI,ARE,SLMBP,CME,CI",,,,
2026-04-27,SEI,industrials,19.00,8-K,69.8050,"SEER,ASTE,BAH,CTOS,CCK",,,,
2026-04-27,BLD,industrials,19.00,8-K,,"SEI,SEER,ASTE,BAH,CTOS",SEI:69.8050,,,
2026-04-27,KFRC,industrials,19.00,8-K,,"SEI,SEER,ASTE,BAH,CTOS",SEI:69.8050,,,
2026-04-27,SMXT,industrials,19.00,8-K,,"SEI,SEER,ASTE,BAH,CTOS",SEI:69.8050,,,
2026-04-27,NUE,materials,18.00,8-K,,"RNGR,MLM,SKY,USAU",USAU:16.2400,,,
2026-04-27,USAU,materials,18.00,8-K,16.2400,"RNGR,MLM,SKY,NUE",,,,
2026-04-27,CBSH,financials,18.00,8-K,,"NWBI,ARE,SLMBP,CME,CI",,,,
2026-04-27,KRC,financials,24.00,8-K,,"ARE,QRED-UN,FSUN,CBSH,SLMBP",FSUN:38.5800,,,
2026-04-27,FDBC,financials,24.00,8-K,,"ARE,QRED-UN,FSUN,CBSH,SLMBP",FSUN:38.5800,,,
2026-04-27,VTR,financials,24.00,8-K,,"ARE,QRED-UN,FSUN,CBSH,SLMBP",FSUN:38.5800,,,
2026-04-27,FGBIP,financials,24.00,8-K,,"ARE,QRED-UN,FSUN,CBSH,SLMBP",FSUN:38.5800,,,
2026-04-27,LC,financials,24.00,8-K,,"ARE,QRED-UN,FSUN,CBSH,SLMBP",FSUN:38.5800,,,
2026-04-27,KINS,financials,22.00,8-K,,"ARE,QRED-UN,FSUN,CBSH,SLMBP",FSUN:38.5800,,,
2026-04-27,BRO,financials,22.00,8-K,66.1050,"ARE,QRED-UN,FSUN,CBSH,SLMBP",FSUN:38.5800,,,
2026-04-27,PFBX,financials,22.00,8-K,,"ARE,QRED-UN,FSUN,CBSH,SLMBP",FSUN:38.5800,,,
2026-04-27,MATX,industrials,20.00,8-K,176.3150,"CR,HLMN,ASTE,WSUP,ELSE",,,,
2026-04-27,CR,industrials,19.00,8-K,,"MATX,HLMN,ASTE,WSUP,ELSE",MATX:176.3150,,,
2026-04-27,HLMN,industrials,19.00,8-K,,"MATX,CR,ASTE,WSUP,ELSE",MATX:176.3150,,,
2026-04-27,UTZ,staples,19.00,8-K,,SBEV,SBEV:0.2738,,,
2026-04-27,MTDR,materials,19.00,8-K,,"RNGR,NUE,USAU,LXU",USAU:16.2400,,,
2026-04-27,LXU,materials,19.00,8-K,,"RNGR,NUE,USAU,MTDR",USAU:16.2400,,,
2026-04-27,SBEV,staples,19.00,8-K,0.2738,UTZ,,,,
2026-04-27,WSUP,industrials,18.00,8-K,,"MATX,CR,HLMN,ASTE,ELSE",MATX:176.3150,,,
2026-04-27,ELSE,industrials,18.00,8-K,,"MATX,CR,HLMN,ASTE,WSUP",MATX:176.3150,,,
2026-04-27,WABC,financials,18.00,8-K,,"ARE,QRED-UN,FSUN,CBSH,SLMBP",FSUN:38.5800,,,
2026-04-27,GECCO,unknown,18.00,8-K,,,,,,
2026-04-27,IPOD,financials,18.00,8-K,,"ARE,QRED-UN,FSUN,CBSH,SLMBP",FSUN:38.5800,,,
2026-04-27,BPRN,financials,24.00,8-K,,"WABC,KINS,IPOD,BRO,PFBX",BRO:66.1050,,,
2026-04-27,KVAC,financials,24.00,8-K,,"WABC,KINS,IPOD,BRO,PFBX",BRO:66.1050,,,
2026-04-27,FLYE,consumer,20.00,8-K,2.0600,WKHS,WKHS:2.5500,,,
2026-04-27,GURE,materials,19.00,8-K,3.8001,RNGR,,,,
2026-04-27,CORZZ,financials,18.00,8-K,,"WABC,KINS,IPOD,BRO,PFBX",BRO:66.1050,,,
