date,trigger_ticker,sector,gap_score,form,price_t0,peers,peer_prices_t0,price_t1day,move_pct_t1day,peer_avg_move_pct_t1day
2026-04-03,HCMC,staples,18.0,8-K,,MKC-V,,,,
2026-04-03,LXU,materials,16.0,8-K,,,,,,
2026-04-03,BHR-PD,financials,15.0,8-K,,"SSB,GSMT,CACC,FGRS",,,,
2026-04-03,OSRH,biotech,15.0,8-K,,GRTX,,,,
2026-04-03,GRTX,biotech,15.0,8-K,,OSRH,,,,
2026-04-03,SSB,financials,14.0,8-K,,"BHR-PD,GSMT,CACC,FGRS",,,,
2026-04-03,MKC-V,staples,13.0,8-K,,HCMC,,51.7800,,
2026-04-03,C-PR,financials,27.0,8-K,,"SLNHP,DMII,NXDT-PA,BITF,SBET",,25.3700,,
2026-04-03,SLNHP,financials,26.0,8-K,,"C-PR,DMII,NXDT-PA,BITF,SBET",,7.1500,,
2026-04-03,DMII,financials,24.0,8-K,,"C-PR,SLNHP,NXDT-PA,BITF,SBET",,10.0100,,
2026-04-03,NXDT-PA,financials,21.0,8-K,,"C-PR,SLNHP,DMII,BITF,SBET",,13.2403,,
2026-04-03,NWE,utilities,19.0,8-K,,"KNTK,HVII",,71.1900,,
2026-04-03,BATL,materials,18.0,8-K,,"TBNRL,ROCK",,3.7400,,
2026-04-03,BITF,financials,18.0,8-K,,"C-PR,SLNHP,DMII,NXDT-PA,SBET",,3.2850,,
2026-04-03,MOBX,semis,16.0,8-K,,,,2.9200,,
2026-04-03,BKTI,comms,16.0,8-K,,,,93.1300,,
2026-04-03,TBNRL,materials,16.0,8-K,,"BATL,ROCK",,0.1750,,
2026-04-03,KNTK,utilities,16.0,8-K,,"NWE,HVII",,47.4700,,
2026-04-03,ADVB,biotech,16.0,8-K,,"HSCS,MTNB,KZR,NMTC,ENTX",,5.7300,,
2026-04-03,HSCS,biotech,16.0,8-K,,"ADVB,MTNB,KZR,NMTC,ENTX",,2.0500,,
2026-04-03,SBET,financials,16.0,8-K,,"C-PR,SLNHP,DMII,NXDT-PA,BITF",,7.3100,,
2026-04-03,CRAC,financials,16.0,8-K,,"C-PR,SLNHP,DMII,NXDT-PA,BITF",,10.0550,,
2026-04-03,LCID,consumer,16.0,8-K,,"HFFG,ODC",,6.2500,,
2026-04-03,MHH,industrials,16.0,8-K,,"GETY,MELI,A",,6.8800,,
2026-04-03,MTNB,biotech,16.0,8-K,,"ADVB,HSCS,KZR,NMTC,ENTX",,0.6100,,
2026-04-03,FOAC,financials,16.0,8-K,,"C-PR,SLNHP,DMII,NXDT-PA,BITF",,,,
2026-04-03,GETY,industrials,16.0,8-K,,"MHH,MELI,A",,0.8930,,
2026-04-03,KZR,biotech,16.0,8-K,,"ADVB,HSCS,MTNB,NMTC,ENTX",,7.3300,,
2026-04-03,HVII,utilities,16.0,8-K,,"NWE,KNTK",,10.4100,,
2026-04-03,NMTC,biotech,16.0,8-K,,"ADVB,HSCS,MTNB,KZR,ENTX",,4.7600,,
2026-04-03,TACT,tech,16.0,8-K,,"GDRX,RXT,FLNC",,3.4300,,
2026-04-03,MELI,industrials,16.0,8-K,,"MHH,GETY,A",,1835.2200,,
2026-04-03,HFFG,consumer,16.0,8-K,,"LCID,ODC",,1.9700,,
2026-04-03,ROCK,materials,16.0,8-K,,"BATL,TBNRL",,39.5700,,
2026-04-03,NREF-PA,financials,16.0,8-K,,"C-PR,SLNHP,DMII,NXDT-PA,BITF",,23.0250,,
2026-04-03,ODC,consumer,16.0,8-K,,"LCID,HFFG",,74.3800,,
2026-04-03,IPEX,financials,16.0,8-K,,"C-PR,SLNHP,DMII,NXDT-PA,BITF",,10.4300,,
2026-04-03,FRMM,financials,16.0,8-K,,"C-PR,SLNHP,DMII,NXDT-PA,BITF",,4.8700,,
2026-04-03,ENTX,biotech,16.0,8-K,,"ADVB,HSCS,MTNB,KZR,NMTC",,1.1200,,
2026-04-03,RDN,financials,16.0,8-K,,"C-PR,SLNHP,DMII,NXDT-PA,BITF",,35.6000,,
2026-04-03,BTMD,biotech,16.0,8-K,,"ADVB,HSCS,MTNB,KZR,NMTC",,2.2800,,
2026-04-03,GDRX,tech,16.0,8-K,,"TACT,RXT,FLNC",,2.3100,,
2026-04-03,RXT,tech,16.0,8-K,,"TACT,GDRX,FLNC",,1.5800,,
2026-04-03,FLNC,tech,16.0,8-K,,"TACT,GDRX,RXT",,13.3800,,
2026-04-03,CLYM,biotech,16.0,8-K,,"ADVB,HSCS,MTNB,KZR,NMTC",,9.1400,,
2026-04-03,A,industrials,16.0,8-K,,"MHH,GETY,MELI",,115.5500,,
2026-04-03,AEON,biotech,16.0,8-K,,"ADVB,HSCS,MTNB,KZR,NMTC",,1.0500,,
2026-04-08,DMAA,financials,17.00,8-K,,"BAM,KBSR,FRMM,USCB,DEFI",,10.5450,,
2026-04-08,BAM,financials,17.00,8-K,,"DMAA,KBSR,FRMM,USCB,DEFI",,47.5700,,
2026-04-08,KBSR,financials,15.00,8-K,,"DMAA,BAM,FRMM,USCB,DEFI",,,,
2026-04-08,FRMM,financials,15.00,8-K,,"DMAA,BAM,KBSR,USCB,DEFI",,4.8700,,
2026-04-08,CCTC,tech,13.00,8-K,,,,,,
2026-04-08,VIRC,consumer,13.00,8-K,,,,,,
2026-04-08,USCB,financials,13.00,8-K,,"DMAA,BAM,KBSR,FRMM,DEFI",,,,
2026-04-08,SMR,industrials,13.00,8-K,,DAL,,,,
2026-04-08,DEFI,financials,13.00,8-K,,"DMAA,BAM,KBSR,FRMM,USCB",,87.8700,,
2026-04-08,XOM,energy,13.00,8-K,,,,148.9100,,
2026-04-08,DAL,industrials,13.00,8-K,,SMR,,,,
2026-04-08,LITE,comms,13.00,8-K,,,,,,
2026-04-08,NOAH,financials,13.00,6-K,,"DMAA,BAM,KBSR,FRMM,USCB",,10.4000,,
2026-04-27,STRD,financials,16.00,8-K,78.0100,TMP,,,,
2026-04-27,DPZ,consumer,16.00,8-K,,,,,,
2026-04-27,OGN,biotech,16.00,8-K,,,,,,
2026-04-27,TMP,financials,15.00,8-K,,STRD,STRD:78.0100,,,
2026-04-27,MMTX,financials,17.00,8-K,,"TMP,LKFN,DEA,GNT-PA,OCFC",,,,
2026-04-27,LKFN,financials,17.00,8-K,,"TMP,MMTX,DEA,GNT-PA,OCFC",,,,
2026-04-27,DEA,financials,17.00,8-K,,"TMP,MMTX,LKFN,GNT-PA,OCFC",,,,
2026-04-27,LGIH,industrials,15.00,8-K,,,,,,
2026-04-27,OCFC,financials,15.00,8-K,,"TMP,MMTX,LKFN,DEA,GNT-PA",,,,
2026-04-27,GRC,industrials,16.00,8-K,,LGIH,,,,
2026-04-27,UWHR,financials,15.00,8-K,,"TMP,LKFN,DEA,MMTX,OCFC",,,,
2026-04-27,LLOBF,financials,17.00,6-K,2.1440,"UWHR,TMP,LKFN,DEA,MMTX",,,,
2026-04-27,FCUV,industrials,16.00,8-K,,,,,,
2026-04-27,PLBC,financials,16.00,8-K,,"UWHR,LKFN,DEA,CBK,TMP",,,,
2026-04-27,CBK,financials,16.00,8-K,,"UWHR,LKFN,DEA,PLBC,TMP",,,,
2026-04-27,XOMAP,biotech,17.00,8-K/A,,,,,,
2026-04-27,YHGJ,materials,16.00,8-K,,,,,,
2026-04-27,WBHC,financials,16.00,8-K,,"PLBC,CBK,UWHR,OBK,TMP",,,,
