metric,value,unit,meta,captured_at
fee_fastestFee,2.00,sat/vB,,2026-04-27T22:48:34Z
fee_halfHourFee,1.00,sat/vB,,2026-04-27T22:48:34Z
fee_hourFee,1.00,sat/vB,,2026-04-27T22:48:34Z
fee_economyFee,1.00,sat/vB,,2026-04-27T22:48:34Z
fee_minimumFee,1.00,sat/vB,,2026-04-27T22:48:34Z
mempool_count,47278,tx,,2026-04-27T22:48:34Z
mempool_vsize,32493902,vB,,2026-04-27T22:48:34Z
mempool_total_fee,6363223,sat,,2026-04-27T22:48:34Z
difficulty_progressPercent,71.0813,%,,2026-04-27T22:48:34Z
difficulty_difficultyChange,-2.4022,%,,2026-04-27T22:48:34Z
difficulty_remainingBlocks,583.0000,blk,,2026-04-27T22:48:34Z
difficulty_timeAvg,615196.0000,ms,,2026-04-27T22:48:34Z
difficulty_nextRetargetHeight,947520,block,,2026-04-27T22:48:34Z
hashrate_latest_EH_s,1006.31,EH/s,ts=1777248000,2026-04-27T22:48:34Z
hashrate_7d_change_pct,+15.14,%,n=7,2026-04-27T22:48:34Z
current_difficulty,135594876535257,hash,,2026-04-27T22:48:34Z
lightning_channel_count,42000,ch,as_of=2025-12-27,2026-04-27T22:48:34Z
lightning_node_count,17402,nd,as_of=2025-12-27,2026-04-27T22:48:34Z
lightning_total_capacity,567746929511,sat,as_of=2025-12-27,2026-04-27T22:48:34Z
lightning_avg_capacity,13517784,sat,as_of=2025-12-27,2026-04-27T22:48:34Z
lightning_avg_fee_rate,854,ppm,as_of=2025-12-27,2026-04-27T22:48:34Z
lightning_clearnet_nodes,4611,nd,as_of=2025-12-27,2026-04-27T22:48:34Z
lightning_tor_nodes,9197,nd,as_of=2025-12-27,2026-04-27T22:48:34Z
tip_height,946937,block,,2026-04-27T22:48:34Z
