decision_date,k_number,applicant,device_name,advisory_committee,country,captured_at
2026-04-10,K254004,"Cognifisense, Inc.",VRNT,Neurology,US,2026-04-27T22:47:41Z
2026-04-10,K252548,Siemens Healthcare GmbH,AI-Rad Companion Organs RT,Radiology,DE,2026-04-27T22:47:41Z
2026-04-10,K260839,"Protaryx Medical, Inc.",Protaryx Transseptal  Puncture Device (PTX2-001),Cardiovascular,US,2026-04-27T22:47:41Z
2026-04-10,K260244,Eximo Medical,Auryon Atherectomy System,Cardiovascular,IL,2026-04-27T22:47:41Z
2026-04-10,K260430,"Belport Company, Inc., Gingi-Pak",Porcelain Etch Gel,Dental,US,2026-04-27T22:47:41Z
2026-04-10,K252207,Radiometer Medicals Aps,"ABL90 FLEX PLUS System, safeCLINITUBES",Clinical Chemistry,DK,2026-04-27T22:47:41Z
2026-04-09,K260462,"Ray Co., Ltd.",RCT800,Radiology,KR,2026-04-27T22:47:41Z
2026-04-09,K252228,"Checkcells, Inc.",Seaman Pro/Seaman,Hematology,US,2026-04-27T22:47:41Z
2026-04-09,K260317,International Life Sciences,Artelon Convenience Kits,"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-04-09,K260555,"Zest Anchors, LLC",LOCATOR® Angled Abutment,Dental,US,2026-04-27T22:47:41Z
2026-04-09,K252251,"CG Bio Co., Ltd.",EASYMADE-TI,Neurology,KR,2026-04-27T22:47:41Z
2026-04-09,K253975,"Maduro Medical, Inc.",Radical 6F Access Catheter,Cardiovascular,US,2026-04-27T22:47:41Z
2026-04-09,K260245,KLISBio S.r.l.,SILKBridge,Neurology,IT,2026-04-27T22:47:41Z
2026-04-09,K254158,Spineart SA,SPINEART Navigation Instrument System,Neurology,CH,2026-04-27T22:47:41Z
2026-04-09,K260017,"Shanghai Apolo Medical Technology Co., Ltd.",Picosecond Nd:YAG Laser Systems (Model: HS-298),"General, Plastic Surgery",CN,2026-04-27T22:47:41Z
2026-04-09,K252929,"Anhui Happiness Workshop Instruments Co., Ltd.",Single Use Digital Flexible Ureteroscope (7.5F); Videoscope Imaging Processor (M,"Gastroenterology, Urology",CN,2026-04-27T22:47:41Z
2026-04-09,K260067,Shandong Huge Dental Material Corporation,Eternal Art Porcelain Powders,Dental,CN,2026-04-27T22:47:41Z
2026-04-09,K254021,"Rivanna Medical, Inc.",Accuro XV,Radiology,US,2026-04-27T22:47:41Z
2026-04-08,K251666,STERIS Corporation,"SYSTEM 1E Liquid Chemical Sterilant Processing System, Model P6700; SYSTEM 1 end",General Hospital,US,2026-04-27T22:47:41Z
2026-04-08,K251889,Resmed Corp,myAir,Anesthesiology,US,2026-04-27T22:47:41Z
2026-04-08,K252270,"Hangzhou AGS MedTech Co., Ltd.",Hemoclip,"Gastroenterology, Urology",CN,2026-04-27T22:47:41Z
2026-04-08,K252224,"Changzhou Sifary Medical Technology Co., Ltd.",Apex Locator (FindPex),Unknown,CN,2026-04-27T22:47:41Z
2026-04-08,K260766,STERIS Corporation,Celerity 5 HP Biological Indicator (LCB052),General Hospital,US,2026-04-27T22:47:41Z
2026-04-08,K260197,"Suzhou Shenyun Medical Equipment Co., Ltd.","Shogun Axis Fascial Closure System (1018S, 1018B, 1218S, 1218B, 1518S, 1518B)","Gastroenterology, Urology",CN,2026-04-27T22:47:41Z
2026-04-08,K260089,"Scopix , Ltd.",TL-10 Laparoscopic Scope Cleaner,"Gastroenterology, Urology",IL,2026-04-27T22:47:41Z
2026-04-08,K260477,Tenon Medical,CATAMARAN SI Joint Fusion System,Orthopedic,US,2026-04-27T22:47:41Z
2026-04-08,K253534,Modular Medical,Pivot Insulin Delivery System,General Hospital,US,2026-04-27T22:47:41Z
2026-04-08,K260420,"MacroLux Medical Technology Co., Ltd.","LoopView® Single-Use Digital Flexible Bronchoscope (B27-C, B27-CG)","Ear, Nose, Throat",CN,2026-04-27T22:47:41Z
2026-04-08,K260033,"Shenzhen TPH Technology Co., Ltd.",Wearable Breast Pump (Model S21A),Obstetrics/Gynecology,CN,2026-04-27T22:47:41Z
2026-04-08,K260816,Boston Scientific,OptiCross Coronary Imaging Catheter (H749518110); OptiCross 6 Coronary Imaging C,Cardiovascular,US,2026-04-27T22:47:41Z
2026-04-08,K253268,"CMT Health PTE., Ltd.",Profoject Enteral/Oral Feeding Syringe; Profoject Reusable Enteral/Oral Feeding ,"Gastroenterology, Urology",SG,2026-04-27T22:47:41Z
2026-04-08,K254258,"Shenzhen Root Innovation Technology Co., Ltd.","Momcozy Wearable Breast Pump (BP137, BP137-A, BP137-B, BP137-C, BP137-D, BP137Y-",Obstetrics/Gynecology,CN,2026-04-27T22:47:41Z
2026-04-07,K252861,"Hangzhou Tappa Medical Technology Co., Ltd.",Warming System,Cardiovascular,CN,2026-04-27T22:47:41Z
2026-04-07,K260466,"Zhejiang shuyou Surgical Instrument Co., Ltd.",Multifunctional Operational Dissectors (Electrosurgical Pencils);Multifunctional,"General, Plastic Surgery",CN,2026-04-27T22:47:41Z
2026-04-07,K260048,Roche Diagnostics,Elecsys Anti-HAV IgM,Microbiology,US,2026-04-27T22:47:41Z
2026-04-07,K252979,"Belkin Vision, Ltd.",Voyager DSLT (430840610),Ophthalmic,IL,2026-04-27T22:47:41Z
2026-04-07,K260046,Roche Diagnostics,Elecsys Anti-HBc II,Microbiology,US,2026-04-27T22:47:41Z
2026-04-07,K260049,Roche Diagnostics,Elecsys Anti-HBc IgM,Microbiology,US,2026-04-27T22:47:41Z
2026-04-07,K254191,"InnovaCorium, Inc.",IWD-Gel,Unknown,US,2026-04-27T22:47:41Z
2026-04-07,K260860,"Basic Medical Technology, Inc.","Powder Free Synthetic Vinyl Exam Gloves (Blue, Black)",General Hospital,US,2026-04-27T22:47:41Z
2026-04-07,K253946,"Shenzhen Root Innovation Technology Co., Ltd.","Momcozy Wearable Breast Pump (S9 Pro, S9 Pro-A, S9 Pro-B, S9 Pro-C, S9 Pro-D, S9",Obstetrics/Gynecology,CN,2026-04-27T22:47:41Z
2026-04-07,K253952,"Beijing OrionStar Technology Co., Ltd.",Power Wheelchair (OS-R-M01S),Physical Medicine,CN,2026-04-27T22:47:41Z
2026-04-07,K252116,"Shanghai MicroPort Medical (Group) Co., Ltd.",Firefighter Pro PTCA Balloon Catheter,Cardiovascular,CN,2026-04-27T22:47:41Z
2026-04-07,K253801,"Anumana, Inc.",ECG-AI Cardiac Amyloidosis (CA) 12-Lead Algorithm (1040),Cardiovascular,US,2026-04-27T22:47:41Z
2026-04-07,K260942,"CenterPoint Systems, LLC",AuST Steerable Sheath,Cardiovascular,US,2026-04-27T22:47:41Z
2026-04-07,K253905,"Cogentix Medical, Inc.",PrimeSight UltraView System,"Gastroenterology, Urology",US,2026-04-27T22:47:41Z
2026-04-06,K250208,"Uzinmedicare Co., Ltd.",SPECTRA Wearable 2,Obstetrics/Gynecology,KR,2026-04-27T22:47:41Z
2026-04-06,K252809,"Virility Medical , Ltd.",in2 Smart (in2S),"Gastroenterology, Urology",IL,2026-04-27T22:47:41Z
2026-04-06,K253862,Fujifilm Corporation,APERTO Lucent MRI System,Radiology,JP,2026-04-27T22:47:41Z
2026-04-06,K253288,"Esaote, S.p.A.",6450 Ultrasound System (MyLabE80); 6450 Ultrasound System (MyLabE85),Radiology,IT,2026-04-27T22:47:41Z
2026-04-06,K253025,"Ricoh 3D For Healthcare, LLC",Ricoh 3D for Healthcare Bolus,Radiology,US,2026-04-27T22:47:41Z
2026-04-06,K260459,"Zoll Respicardia, Inc.",VANES Delivery System (VDS),Cardiovascular,US,2026-04-27T22:47:41Z
2026-04-06,K252182,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",SV70 Ventilator (SV70),Anesthesiology,CN,2026-04-27T22:47:41Z
2026-04-06,K254084,"Smith & Nephew, Inc.",AETOS Shoulder System - CONCELOC Glenoids,Orthopedic,US,2026-04-27T22:47:41Z
2026-04-06,K260521,"Zhuhai Pusen Medical Technology Co., Ltd.","ClearEVAC Ureteral Aspirating Access Sheath (PUS-100-1040,PUS-100-1050, PUS-100-","Gastroenterology, Urology",CN,2026-04-27T22:47:41Z
2026-04-06,K253036,"Aidite (Qinhuangdao) Technology Co., Ltd.",Light-curing Coloring Materials (ALCM),Dental,CN,2026-04-27T22:47:41Z
2026-04-06,K260397,"Hironic Co., Ltd.",SYNERJET PRO (SP-1002); InPhiuse (SP-1002); WOWJET (SP-1002),"General, Plastic Surgery",KR,2026-04-27T22:47:41Z
2026-04-06,K254091,"YAMAHACHI DENTAL MFG., Co.",GLOSSY COAT (15ML),Dental,JP,2026-04-27T22:47:41Z
2026-04-06,K252765,Prosomnus Sleep Technologies,ProSomnus RPMO2 OSA Device (RPMO2 OSA),Dental,US,2026-04-27T22:47:41Z
2026-04-03,K253962,"Radformation, Inc.",ClearCheck (RADCC V2.7),Radiology,US,2026-04-27T22:47:41Z
2026-04-03,K252495,"Newpong Co., Ltd.",LSSA (NP-200),"General, Plastic Surgery",KR,2026-04-27T22:47:41Z
2026-04-03,K252744,"Cixi Ruihong Electric Appliance Co., Ltd.","Wearable Electric Breast Pump (RH 668, RH 708, RH 718, RH 728)",Obstetrics/Gynecology,CN,2026-04-27T22:47:41Z
2026-04-03,K260720,MED-EL Elektromedizinische Geräte GmbH,mWING Stapes Prosthesis (0.4 x 3.50 mm) (58717); mWING Stapes Prosthesis (0.4 x ,"Ear, Nose, Throat",AT,2026-04-27T22:47:41Z
2026-04-03,K253056,"Zhejiang Soudon Medical Technology Co., Ltd.",Disposable Stone Extraction Basket,"Gastroenterology, Urology",CN,2026-04-27T22:47:41Z
2026-04-03,K254060,TW Medical,Life Saving Tourniquet,Cardiovascular,IL,2026-04-27T22:47:41Z
2026-04-03,K260724,"Magentiq Eye, Ltd.",MAGENTIQ-COLO (ME-APDS),"Gastroenterology, Urology",IL,2026-04-27T22:47:41Z
2026-04-03,K260524,"Shanghai United Imaging Healthcare Co., Ltd.",uMI Panvivo (uMI Panvivo LS); uMI Panvivo (uMI Panvivo); uMI Panvivo (uMI Panviv,Radiology,CN,2026-04-27T22:47:41Z
2026-04-03,K253674,"Stryker Corporation (Tornier, S.A.S.)",Blueprint Patient-Specific Instrumentation,Orthopedic,FR,2026-04-27T22:47:41Z
2026-04-03,K253340,"Zhongshan A&J Medical Equipment Co., Ltd.",Electric Wheelchair (AL-208S-063),Physical Medicine,CN,2026-04-27T22:47:41Z
2026-04-03,K260718,MED-EL Elektromedizinische Geräte GmbH,mGRIP Partial Prosthesis (0.75 mm) (58669);mGRIP Partial Prosthesis (1.00 mm) (5,"Ear, Nose, Throat",AT,2026-04-27T22:47:41Z
2026-04-03,K254066,"Etiometry, Inc.",Etiometry Platform,Cardiovascular,US,2026-04-27T22:47:41Z
2026-04-03,K252386,"Chengdu Cryo-Push Medical Technology Co.,Ltd",Hot and Cold Compression System  (A02-C-032),Physical Medicine,CN,2026-04-27T22:47:41Z
2026-04-03,K253042,"Tyber Medical, LLC",Tyber Medical Trauma Screw,Orthopedic,US,2026-04-27T22:47:41Z
2026-04-03,K260363,"Ceribell, Inc.",Ceribell Brain Monitor Headband,Neurology,US,2026-04-27T22:47:41Z
2026-04-03,K260786,S.M.A.I.O,"KHEIRON® Spinal Fixation System, including patient specific K-ROD",Orthopedic,FR,2026-04-27T22:47:41Z
2026-04-03,K254153,"Mirco-Tech (Nanjing) Co., Ltd.",Single-use Video Scope; PB Digital Controller,"Gastroenterology, Urology",CN,2026-04-27T22:47:41Z
2026-04-03,K250074,"Hyalex Orthopaedics, Inc.",HYALEX® MTP Hemiarthroplasty Implant,Orthopedic,US,2026-04-27T22:47:41Z
2026-04-03,K260719,MED-EL Elektromedizinische Geräte GmbH,mGRIP Total Prosthesis (3.00 mm) (58689); mGRIP Total Prosthesis (3.25 mm) (5869,"Ear, Nose, Throat",AT,2026-04-27T22:47:41Z
2026-04-03,DEN240071,"Automated Imaging Diagnostics, LLC",neuropacs,Neurology,US,2026-04-27T22:47:41Z
2026-04-02,K252198,Medical Brands Laboratories B.V.,Advanced Cryo Skin Tag Remover (Advanced Skin Tag Remover),"General, Plastic Surgery",NL,2026-04-27T22:47:41Z
2026-04-02,K252130,"Icu Medical, Inc.",LifeShield Infusion Safety Software Suite,General Hospital,US,2026-04-27T22:47:41Z
2026-04-02,K260796,"Shalby Advanced Technologies, Inc. Dba Consensus Orthopedics",Tahoe Unicondylar Knee System with TiNbN Overcoat,Orthopedic,US,2026-04-27T22:47:41Z
2026-04-02,K252079,"Beijing L&Z Medical Technology Development Co., Ltd.",Disposable Infusion Bag for Parenteral Nutrition,General Hospital,CN,2026-04-27T22:47:41Z
2026-04-02,K254022,"Verge Medical, Inc.",FLASH Flex Aorto-Ostial Angioplasty System,Cardiovascular,US,2026-04-27T22:47:41Z
2026-04-02,K253076,"Chengdu Cryo-Push Medical Technology Co.,Ltd",Cryopush Cold Compression Device (A02-P-001),Physical Medicine,CN,2026-04-27T22:47:41Z
2026-04-02,K260647,El.En S.P.A.,SPECCHIO,"General, Plastic Surgery",IT,2026-04-27T22:47:41Z
2026-04-02,K250516,"Miracell Co., Ltd.",SMART M-CELL PRP Concentration System,Clinical Chemistry,KR,2026-04-27T22:47:41Z
2026-04-02,K260184,"Becton, Dickinson and Company",Onclarity Self-Collection Kit,Microbiology,US,2026-04-27T22:47:41Z
2026-04-02,K250518,"Miracell Co., Ltd.",SMART M-CELL Bone Marrow Concentration System,Clinical Chemistry,KR,2026-04-27T22:47:41Z
2026-04-02,K252709,"Xuzhou Yongkang Electronic Science Technology Co., Ltd.",Wireless Probe Type Ultrasound Scanner,Radiology,CN,2026-04-27T22:47:41Z
2026-04-02,K252246,Jeil Medical Corporation,Leforte MMF System,Dental,KR,2026-04-27T22:47:41Z
2026-04-02,K252137,"Becton Dickinson Infusion Therapy Systems, Inc.",BD Insyte IV Catheter,General Hospital,US,2026-04-27T22:47:41Z
2026-04-02,K260026,Roche Diagnostics,Tina-quant Cardiac high sensitivity CRP III,Immunology,US,2026-04-27T22:47:41Z
2026-04-02,K252229,"Genoray Co., Ltd.",BELLIGER ACE,Radiology,CN,2026-04-27T22:47:41Z
2026-04-01,K254225,"Shenzhen HanHan Technology Co., Ltd.","Arm Blood Pressure Monitor (HH-802CB, HH-802EB, HH-805CB, HH-812CB, HH-808CL, HH",Cardiovascular,CN,2026-04-27T22:47:41Z
2026-04-01,K253473,"Stereotaxis, Inc.",Synchrony,Cardiovascular,US,2026-04-27T22:47:41Z
2026-04-01,K253586,"Retmap, Inc.",RM Electrode (RMH 25-01),Ophthalmic,US,2026-04-27T22:47:41Z
2026-04-01,K253582,"Apple, Inc.",Medical Imaging Calibration Feature (MICF),Radiology,US,2026-04-27T22:47:41Z
2026-04-01,K260007,Hudi Pharma Srl,Hyaluronic Acid Vaginal Suppository (HA 5 mg); Hyaluronic Acid Vaginal Supposito,Obstetrics/Gynecology,IT,2026-04-27T22:47:41Z
2026-04-01,K260276,"Shenzhen AOJ Medical Technology Co., Ltd.",Arm Blood Pressure Monitor Models: ARM-30C+; ARM-30M+; ARM-HA101+; ARM-3060; XS ,Cardiovascular,CN,2026-04-27T22:47:41Z
2026-04-01,K253718,"Nvision Biomedical Technologies, Inc.",enHAnce PEEK Bunion System,Orthopedic,US,2026-04-27T22:47:41Z
2026-04-01,K253405,Prana Surgical,Prana System,"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-04-01,K252943,Convatec Limited,GentleCath Air for Men; GentleCath Glide Intermittent Catheter; GentleCath Air f,"Gastroenterology, Urology",GB,2026-04-27T22:47:41Z
2026-04-01,K252876,"Shenzhen RF Tech Co., Ltd.","GEM Flex Coil 16-L Array, 3.0T Receive Only; GEM Flex Coil 16-M Array, 3.0T Rece",Radiology,CN,2026-04-27T22:47:41Z
2026-04-01,K254015,Smart Soft Healthcare AD,CoLumbo C-Spine,Radiology,BG,2026-04-27T22:47:41Z
2026-04-01,K252513,Poly Medicure Limited,Polywin Safety (14G x 51mm; 16G x 51mm; 18G x 64mm; 20G x 64mm; 20G x 45mm; 22G ,General Hospital,IN,2026-04-27T22:47:41Z
2026-04-01,K242303,"Orthomod, LLC",MOD-C,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-31,K260319,"Zhenjiang Assure Medical Equipment Co., Ltd.",K5 wheelchair (16 with swing-away footrest 18 with swing-away footrest 20 wit,Physical Medicine,CN,2026-04-27T22:47:41Z
2026-03-31,K253029,"Mediott, Inc.",RW-1,Radiology,JP,2026-04-27T22:47:41Z
2026-03-31,K260375,"Sanhe Meditech Co., Ltd.",Nd: YAG Laser Therapy Systems,"General, Plastic Surgery",CN,2026-04-27T22:47:41Z
2026-03-31,K260191,"Tianjin Huahong Technology Co., Ltd.",Safety lancet (XXXVII),"General, Plastic Surgery",CN,2026-04-27T22:47:41Z
2026-03-31,K253598,"Carbon Medical Technologies, Inc.",InjecSURE Injection System,"Gastroenterology, Urology",US,2026-04-27T22:47:41Z
2026-03-31,K260093,"VATECH Co., Ltd.",Green X 12 VE (PHT-70CHS); Green X VE (PHT-70CHS),Radiology,KR,2026-04-27T22:47:41Z
2026-03-30,K252240,Spectrum Spine,Spectrum Spine Cervical Cage System; Spectrum Spine Lumbar Cage System,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-30,K252269,"Baebies, Inc.",FINDER Flu A&B/SARS-CoV-2 Test,Microbiology,US,2026-04-27T22:47:41Z
2026-03-30,K260370,"Bloomden Bioceramics (HuNan) Co., Ltd.",Bloomden Dental Zirconia Blank & Dental Zirconia Pre-Shaded Blank,Dental,CN,2026-04-27T22:47:41Z
2026-03-30,K254122,ArthroCare Corporation,FLOW FLEXTEND Wand (72290039),"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-30,K253654,Philips Medizin Systeme Böblingen GmbH,IntelliVue Measurement Rack 6000 (867317),Unknown,DE,2026-04-27T22:47:41Z
2026-03-30,K260037,Implantcast GmbH,implantcast Packaging System Update,Orthopedic,DE,2026-04-27T22:47:41Z
2026-03-30,K260812,Centers for Disease Control and Prevention,Francisella tularensis Real-time PCR Assay,Immunology,US,2026-04-27T22:47:41Z
2026-03-30,K254207,"ViTAA Medical Solutions, Inc.",AiORTA - Plan v2.0,Radiology,CA,2026-04-27T22:47:41Z
2026-03-30,K252158,Mayer Laboratories,Sagami Original 002 Polyurethane Male Condom,Obstetrics/Gynecology,US,2026-04-27T22:47:41Z
2026-03-30,K253950,Avatar Medical,Avatar Medical Vision,Radiology,FR,2026-04-27T22:47:41Z
2026-03-28,K260257,"Sanhe Meditech Co., Ltd.",CO2 Laser System,"General, Plastic Surgery",CN,2026-04-27T22:47:41Z
2026-03-28,K252360,"Anumana, Inc.",ECG-AI Pulmonary Hypertension (PH) 12-Lead algorithm (1020),Cardiovascular,US,2026-04-27T22:47:41Z
2026-03-27,K253625,Canon Medical Systems Corporation,"Vantage Fortian/Orian 1.5T, MRT-1550, V10.0 with AiCE Reconstruction Processing ",Radiology,JP,2026-04-27T22:47:41Z
2026-03-27,K252148,"Butterfly Network, Inc.",Butterfly Gestational Age Tool,Radiology,US,2026-04-27T22:47:41Z
2026-03-27,K254239,SS GLOBAL,CyClean Cord,Unknown,KR,2026-04-27T22:47:41Z
2026-03-27,K253572,"ETHICON, Inc.",STRATAFIX Spiral PRONOVA Unidirectional Knotless Tissue Control Device  STRATA,"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-27,K254099,"Samsung Medison Co., Ltd.",EVO Q30 Diagnostic Ultrasound System; EVO Q20 Diagnostic Ultrasound System; EVO ,Radiology,KR,2026-04-27T22:47:41Z
2026-03-27,K253595,"Philips Ultrasound, LLC","EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound ",Radiology,US,2026-04-27T22:47:41Z
2026-03-27,K260697,"Vy Spine, LLC",VyPlate Anterior Cervical Plate System,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-27,K253307,"Foshan Dahao Medical Technology Co., Ltd.",Electric wheelchair,Physical Medicine,CN,2026-04-27T22:47:41Z
2026-03-27,K252064,Medcad,MedCAD® AccuStride System,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-27,K260041,"Streck, LLC",MDx-Chex for BCP,Microbiology,US,2026-04-27T22:47:41Z
2026-03-27,K253649,"Philips Medical Systems Technologies , Ltd.",Spectral CT Verida Family,Radiology,IL,2026-04-27T22:47:41Z
2026-03-27,K260271,"American Medical Endoscopy, Inc.","Strauss Surgical cystoscope, hysteroscope and accessories Instruments","Gastroenterology, Urology",US,2026-04-27T22:47:41Z
2026-03-27,K260746,"Esaote, S.p.A.",S-scan Open (100001800),Radiology,IT,2026-04-27T22:47:41Z
2026-03-27,K252893,Aneuvo,ExaStim® Stimulation System (EXA-001); ExaStim® Stimulation System (EXA-011); Re,Physical Medicine,US,2026-04-27T22:47:41Z
2026-03-27,K252006,"Icu Medical, Inc.",OTTO Disinfecting Cap,General Hospital,US,2026-04-27T22:47:41Z
2026-03-27,K251273,Boston Scientific Corporation,Asurys Fluid Management System,Obstetrics/Gynecology,US,2026-04-27T22:47:41Z
2026-03-27,K260294,Surgical Fusion Technologies GmbH,SF Push-in Anchor,Orthopedic,CH,2026-04-27T22:47:41Z
2026-03-27,K252295,Terumo Corporation,Ryurei,Cardiovascular,JP,2026-04-27T22:47:41Z
2026-03-27,K254161,"GE Medical Systems Ultrasound & Primary Care Diagnostics, LL",Automated Aortic Stenosis Software (AutoAS),Radiology,US,2026-04-27T22:47:41Z
2026-03-27,K252195,Artiness S.R.L,ARTICOR planner,Radiology,IT,2026-04-27T22:47:41Z
2026-03-27,K253392,"Synergy Spine Solutions, Inc.",Synergy Disc Instruments,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-27,K253270,"Mim Software, Inc.",Contour ProtégéAI+,Radiology,US,2026-04-27T22:47:41Z
2026-03-27,K254206,"Ningbo Zhishan Medical Technology Co., Ltd.",Power wheelchair (ZS-EW8026),Physical Medicine,CN,2026-04-27T22:47:41Z
2026-03-27,K253980,"Yurob Rehabilitation Medical Co., Ltd.",Electrically Powered Wheelchair (Model YC-01),Physical Medicine,CN,2026-04-27T22:47:41Z
2026-03-27,K260240,Medos International SARL,SYMPHONY Navigation Ready Instruments,Neurology,CH,2026-04-27T22:47:41Z
2026-03-27,K260255,"Aventix Medical, Inc.",AVENTIX PFX System (PFX01); NOVOCLEAR Device (CLR001),"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-03-27,K253822,"Zhuhai Fitlens Medical Technology Co., Ltd.",GPA (hexafocon A) Rigid Gas Permeable Contact Lenses,Ophthalmic,CN,2026-04-27T22:47:41Z
2026-03-27,K252081,Lincotek Medical,SportLinc Syndesmosis Device,Orthopedic,US,2026-04-27T22:47:41Z
2026-03-26,K253796,"Lunit, Inc.",Lunit INSIGHT DBT (V1.2),Radiology,KR,2026-04-27T22:47:41Z
2026-03-26,K253379,"Medtronic Navigation, Inc.",Stealth AXiS Cranial clinical application,Neurology,US,2026-04-27T22:47:41Z
2026-03-26,K260626,"Vizaramed, Inc.",Multiflex Steerable Sheath 17.5F,Cardiovascular,US,2026-04-27T22:47:41Z
2026-03-26,K253627,Surgify Medical OY,Surgify Halo (54.085.SHD.U1); Surgify Halo (54.140.SHD. U1); Surgify Halo (54.07,Neurology,FI,2026-04-27T22:47:41Z
2026-03-26,K260281,BIOMERIEUX,VITEK 2 AST-Streptococcus Cefuroxime (<=0.125 - >=8 µg/mL),Microbiology,US,2026-04-27T22:47:41Z
2026-03-26,K260601,"Blue Belt Technologies, Inc.",REAL INTELLIGENCE CORI,Neurology,US,2026-04-27T22:47:41Z
2026-03-26,K253549,"Devilbiss Healthcare, LLC",DeVilbiss 5 Liter Oxygen Concentrator (555),Anesthesiology,US,2026-04-27T22:47:41Z
2026-03-26,K260273,"Shenzhen Urion Technology Co., Ltd.",Automatic Electronic Blood Pressure Monitor (U90B series models including ( U90B,Cardiovascular,CN,2026-04-27T22:47:41Z
2026-03-26,K253775,"Airs Medical, Inc.",SwiftMR,Radiology,KR,2026-04-27T22:47:41Z
2026-03-26,K252926,Restore Robotics,Robotic Surgical Instruments - Permanent Cautery Hook (470183); Robotic Surgical,"Gastroenterology, Urology",US,2026-04-27T22:47:41Z
2026-03-25,K254278,Spectrum Vascular,Arterial Pressure Monitoring Set/Tray,Cardiovascular,US,2026-04-27T22:47:41Z
2026-03-25,K260291,"Nvision Biomedical Technologies, Inc.",Vortex5 Tailor's Bunion Correction System,Orthopedic,US,2026-04-27T22:47:41Z
