decision_date,k_number,applicant,device_name,advisory_committee,country,captured_at
2026-04-10,K253777,Ascblue Corporation,Ascblue (8010),"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-04-10,K253446,"Dk Medical Systems Co., Ltd.",AeroDR TX c02,Radiology,KR,2026-04-27T22:47:41Z
2026-04-10,K253917,"Plasma Surgical, Inc.",ARION ARC System,"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-04-10,K252241,Sophysa,Pressio 3 Multi-parameter Neuromonitoring System,Neurology,FR,2026-04-27T22:47:41Z
2026-04-10,K252485,1987 Media Limited,ClenchNoMore  (CNM-1 (Mixed sizing)); ClenchNoMore  (CNM-L (Large size)); Clench,Unknown,GB,2026-04-27T22:47:41Z
2026-04-10,K260508,"Okami Medical, Inc.",LOBO Vascular Occlusion System,Cardiovascular,US,2026-04-27T22:47:41Z
2026-04-10,K260082,3Shape TRIOS A/S,TRIOS Dx (R1),Dental,DK,2026-04-27T22:47:41Z
2026-04-10,K260090,"Actis Medical Pty., Ltd.",SMART Osteotomy System,Orthopedic,AU,2026-04-27T22:47:41Z
2026-04-10,K252708,Relu BV,Relu Cloud,Radiology,BE,2026-04-27T22:47:41Z
2026-04-10,K252699,"University of Utah, Department of Orthopaedics",CoAptix S System,Orthopedic,US,2026-04-27T22:47:41Z
2026-04-10,K252190,"Aitewan Biomedical Technology, Inc.",DeepBT Detector-Plus,Radiology,TW,2026-04-27T22:47:41Z
2026-04-10,K252250,"Shanghai Draeger Medical Instrument Co., Ltd.","Vista 300/Vista 300 S; Vista 300 Non-Inv Model A, US (2601064); Vista 300 Invasi",Cardiovascular,CN,2026-04-27T22:47:41Z
2026-04-10,K253926,"ShenB Co., Ltd.",Diacore,Physical Medicine,KR,2026-04-27T22:47:41Z
2026-04-10,K252378,"Becton, Dickinson and Company",BD® MiniDraw Capillary Blood Collection System with BD® MiniDraw SST Capillar,Clinical Chemistry,US,2026-04-27T22:47:41Z
2026-04-10,K253930,"Overjet, Inc.",Overjet Iris Intelligent Imaging System,Radiology,US,2026-04-27T22:47:41Z
2026-04-10,K252942,"Shaeferh, LLC",ShaeferH,Dental,US,2026-04-27T22:47:41Z
2026-04-10,K252506,"Becton, Dickinson and Company",BD Vacutainer® Safety-Lok Blood Collection Set; BD Vacutainer® Safety-Lok Bloo,Clinical Chemistry,US,2026-04-27T22:47:41Z
2026-04-10,K253657,Covidien (Part of Medtronic),Tri-staple 2.0 Reloads; Endo GIA Reloads with Tri-Staple Technology; Endo GIA,"General, Plastic Surgery",US,2026-04-27T22:47:41Z
2026-04-10,K253689,Siemens Healthcare GmbH,syngo Dynamics (VA41F),Radiology,DE,2026-04-27T22:47:41Z
2026-04-10,K253361,"OrbusNeich Medical (Shenzhen) Co., Ltd.",Teleport Glide Microcatheter,Cardiovascular,CN,2026-04-27T22:47:41Z
2026-04-10,K253510,"Medela, LLC",Freestyle Mini Hands-free,Obstetrics/Gynecology,US,2026-04-27T22:47:41Z
2026-04-10,K252757,Cequr SA,CeQur Simplicity On-Demand Insulin Delivery System,General Hospital,CH,2026-04-27T22:47:41Z
