metric,key,value_usd,change_1d_pct,change_7d_pct,captured_at
global_tvl,all_chains,83462862653,,-3.06,2026-04-27T23:12:48Z
chain_tvl,Ethereum,44913838216,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,BSC,5494866851,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Solana,5492531091,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Bitcoin,5132342210,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Tron,5077066697,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Base,4360021322,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Arbitrum,1687039348,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Provenance,1632673824,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Hyperliquid L1,1446030811,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Polygon,1249813080,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Avalanche,641161982,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Plasma,590837729,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Sui,556828325,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,OP Mainnet,373650426,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Monad,337509113,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Cronos,299332297,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Ink,291786722,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Aptos,278655647,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Katana,244062846,0.00,0.00,2026-04-27T23:12:48Z
chain_tvl,Starknet,228490129,0.00,0.00,2026-04-27T23:12:48Z
stablecoin_mcap,USDT,189674163111,,,2026-04-27T23:12:48Z
stablecoin_mcap,USDC,77718659448,,,2026-04-27T23:12:48Z
stablecoin_mcap,USDS,8289041137,,,2026-04-27T23:12:48Z
stablecoin_mcap,DAI,4642992423,,,2026-04-27T23:12:48Z
stablecoin_mcap,USD1,4420708865,,,2026-04-27T23:12:48Z
stablecoin_mcap,USDe,3751766880,,,2026-04-27T23:12:48Z
stablecoin_mcap,PYUSD,3429771154,,,2026-04-27T23:12:48Z
stablecoin_mcap,USYC,2901421932,,,2026-04-27T23:12:48Z
stablecoin_mcap,BUIDL,2810254364,,,2026-04-27T23:12:48Z
stablecoin_mcap,USDG,2313328652,,,2026-04-27T23:12:48Z
stablecoin_mcap,USDY,2126372715,,,2026-04-27T23:12:48Z
stablecoin_mcap,USDf,1621150304,,,2026-04-27T23:12:48Z
stablecoin_mcap,RLUSD,1512185857,,,2026-04-27T23:12:48Z
stablecoin_mcap,USDD,1457510342,,,2026-04-27T23:12:48Z
stablecoin_mcap,U,1057868354,,,2026-04-27T23:12:48Z
