area,map_date,none_pct,d0_pct,d1_pct,d2_pct,d3_pct,d4_pct,d2plus_pct,captured_at
IN,2026-04-21,71.79,28.21,9.42,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
OH,2026-04-21,93.19,6.81,1.91,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
WI,2026-04-21,94.54,5.46,1.64,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
CA,2026-04-21,34.93,65.07,4.87,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
IL,2026-04-21,79.79,20.21,8.55,0.25,0.00,0.00,0.25,2026-04-27T23:10:39Z
IA,2026-04-21,87.06,12.94,3.98,0.54,0.00,0.00,0.54,2026-04-27T23:10:39Z
MN,2026-04-21,57.21,42.79,20.75,1.17,0.00,0.00,1.17,2026-04-27T23:10:39Z
MO,2026-04-21,76.16,23.84,11.86,8.49,5.16,0.01,8.49,2026-04-27T23:10:39Z
AZ,2026-04-21,2.84,97.16,85.57,25.02,0.00,0.00,25.02,2026-04-27T23:10:39Z
KS,2026-04-21,27.65,72.35,59.80,32.57,1.18,0.00,32.57,2026-04-27T23:10:39Z
NV,2026-04-21,0.00,100.00,76.76,37.70,4.72,0.98,37.70,2026-04-27T23:10:39Z
CONUS,2026-04-21,23.50,76.50,62.78,43.64,18.47,2.31,43.64,2026-04-27T23:10:39Z
OK,2026-04-21,0.00,100.00,85.74,44.53,25.84,0.00,44.53,2026-04-27T23:10:39Z
TX,2026-04-21,15.03,84.97,75.90,58.38,21.23,1.40,58.38,2026-04-27T23:10:39Z
NM,2026-04-21,0.00,100.00,96.01,75.42,13.42,0.00,75.42,2026-04-27T23:10:39Z
NE,2026-04-21,4.70,95.30,88.34,81.77,55.79,0.00,81.77,2026-04-27T23:10:39Z
AL,2026-04-21,0.00,100.00,100.00,86.91,46.29,0.17,86.91,2026-04-27T23:10:39Z
CO,2026-04-21,0.00,100.00,98.27,89.44,57.86,21.91,89.44,2026-04-27T23:10:39Z
UT,2026-04-21,0.00,100.00,100.00,92.56,59.54,0.98,92.56,2026-04-27T23:10:39Z
FL,2026-04-21,0.00,100.00,99.02,92.79,76.65,22.68,92.79,2026-04-27T23:10:39Z
GA,2026-04-21,0.00,100.00,100.00,98.09,71.04,27.31,98.09,2026-04-27T23:10:39Z
IN,2026-04-14,63.54,36.46,0.14,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
OH,2026-04-14,94.10,5.90,2.22,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
WI,2026-04-14,90.44,9.56,4.50,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
CA,2026-04-14,43.72,56.28,4.88,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
IA,2026-04-14,82.60,17.40,4.96,0.02,0.00,0.00,0.02,2026-04-27T23:10:39Z
IL,2026-04-14,47.60,52.40,9.75,0.25,0.00,0.00,0.25,2026-04-27T23:10:39Z
MN,2026-04-14,46.12,53.88,25.20,1.36,0.00,0.00,1.36,2026-04-27T23:10:39Z
MO,2026-04-14,60.93,39.07,21.03,10.84,6.77,0.01,10.84,2026-04-27T23:10:39Z
NV,2026-04-14,3.90,96.10,58.69,10.89,4.72,0.98,10.89,2026-04-27T23:10:39Z
KS,2026-04-14,24.88,75.12,52.94,11.34,0.85,0.00,11.34,2026-04-27T23:10:39Z
AZ,2026-04-14,2.85,97.15,75.65,20.14,0.00,0.00,20.14,2026-04-27T23:10:39Z
CONUS,2026-04-14,22.43,77.57,61.03,39.91,15.71,2.19,39.91,2026-04-27T23:10:39Z
TX,2026-04-14,12.37,87.63,78.39,61.61,22.25,1.74,61.61,2026-04-27T23:10:39Z
AL,2026-04-14,0.00,100.00,88.66,66.15,24.57,0.00,66.15,2026-04-27T23:10:39Z
NM,2026-04-14,0.00,100.00,95.99,75.42,12.07,0.00,75.42,2026-04-27T23:10:39Z
OK,2026-04-14,0.00,100.00,98.77,76.60,26.25,0.00,76.60,2026-04-27T23:10:39Z
NE,2026-04-14,3.57,96.43,88.08,81.72,43.83,0.00,81.72,2026-04-27T23:10:39Z
CO,2026-04-14,0.00,100.00,97.79,82.84,54.42,21.59,82.84,2026-04-27T23:10:39Z
UT,2026-04-14,0.00,100.00,100.00,84.21,59.54,0.98,84.21,2026-04-27T23:10:39Z
