area,map_date,none_pct,d0_pct,d1_pct,d2_pct,d3_pct,d4_pct,d2plus_pct,captured_at
GA,2026-04-14,0.00,100.00,98.13,89.66,69.12,22.44,89.66,2026-04-27T23:10:39Z
FL,2026-04-14,0.00,100.00,98.99,92.79,71.16,20.23,92.79,2026-04-27T23:10:39Z
IL,2026-04-07,31.64,68.36,8.24,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
IN,2026-04-07,71.36,28.64,0.00,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
OH,2026-04-07,94.32,5.68,2.22,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
WI,2026-04-07,90.44,9.56,4.50,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
CA,2026-04-07,43.71,56.29,7.59,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
MN,2026-04-07,41.96,58.04,26.40,2.48,0.00,0.00,2.48,2026-04-27T23:10:39Z
IA,2026-04-07,46.74,53.26,16.59,3.48,0.00,0.00,3.48,2026-04-27T23:10:39Z
KS,2026-04-07,15.54,84.46,54.68,5.26,0.15,0.00,5.26,2026-04-27T23:10:39Z
MO,2026-04-07,56.62,43.38,20.30,7.94,0.71,0.01,7.94,2026-04-27T23:10:39Z
NV,2026-04-07,3.90,96.10,58.73,9.29,1.10,0.00,9.29,2026-04-27T23:10:39Z
AZ,2026-04-07,2.84,97.16,71.71,13.50,0.00,0.00,13.50,2026-04-27T23:10:39Z
AL,2026-04-07,11.49,88.51,77.14,32.95,17.96,0.00,32.95,2026-04-27T23:10:39Z
CONUS,2026-04-07,20.92,79.08,60.05,36.35,14.47,2.02,36.35,2026-04-27T23:10:39Z
TX,2026-04-07,3.21,96.79,84.78,63.41,27.66,2.74,63.41,2026-04-27T23:10:39Z
CO,2026-04-07,0.00,100.00,95.49,66.81,46.51,21.59,66.81,2026-04-27T23:10:39Z
NM,2026-04-07,0.00,100.00,96.01,68.01,10.48,0.00,68.01,2026-04-27T23:10:39Z
OK,2026-04-07,0.00,100.00,98.77,73.04,26.25,0.00,73.04,2026-04-27T23:10:39Z
NE,2026-04-07,0.00,100.00,95.08,81.60,35.91,0.00,81.60,2026-04-27T23:10:39Z
UT,2026-04-07,0.00,100.00,100.00,83.07,59.31,0.98,83.07,2026-04-27T23:10:39Z
GA,2026-04-07,0.00,100.00,97.90,88.34,68.09,18.79,88.34,2026-04-27T23:10:39Z
FL,2026-04-07,0.00,100.00,99.51,95.03,79.50,20.23,95.03,2026-04-27T23:10:39Z
WI,2026-03-31,73.02,26.98,4.72,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
CA,2026-03-31,61.70,38.30,0.00,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
MN,2026-03-31,32.39,67.61,34.45,2.86,0.00,0.00,2.86,2026-04-27T23:10:39Z
IN,2026-03-31,57.86,42.14,23.77,4.48,0.00,0.00,4.48,2026-04-27T23:10:39Z
OH,2026-03-31,76.80,23.20,10.11,4.88,2.15,0.00,4.88,2026-04-27T23:10:39Z
IA,2026-03-31,42.65,57.35,38.55,6.83,0.00,0.00,6.83,2026-04-27T23:10:39Z
IL,2026-03-31,18.89,81.11,40.65,7.04,0.00,0.00,7.04,2026-04-27T23:10:39Z
KS,2026-03-31,19.08,80.92,44.60,7.70,0.15,0.00,7.70,2026-04-27T23:10:39Z
NV,2026-03-31,13.58,86.42,46.23,9.13,1.10,0.00,9.13,2026-04-27T23:10:39Z
MO,2026-03-31,21.49,78.51,32.09,9.25,0.62,0.01,9.25,2026-04-27T23:10:39Z
AZ,2026-03-31,2.84,97.16,71.54,13.50,0.00,0.00,13.50,2026-04-27T23:10:39Z
AL,2026-03-31,11.49,88.51,77.14,32.95,17.96,0.00,32.95,2026-04-27T23:10:39Z
CONUS,2026-03-31,19.99,80.01,59.91,34.68,14.63,1.97,34.68,2026-04-27T23:10:39Z
NM,2026-03-31,0.00,100.00,94.70,57.95,4.82,0.00,57.95,2026-04-27T23:10:39Z
TX,2026-03-31,1.18,98.82,88.98,62.81,29.34,4.96,62.81,2026-04-27T23:10:39Z
CO,2026-03-31,0.00,100.00,88.62,64.36,48.33,21.59,64.36,2026-04-27T23:10:39Z
OK,2026-03-31,0.00,100.00,98.77,77.67,34.77,0.00,77.67,2026-04-27T23:10:39Z
UT,2026-03-31,0.00,100.00,100.00,83.07,59.31,0.98,83.07,2026-04-27T23:10:39Z
NE,2026-03-31,0.00,100.00,97.98,85.99,42.93,0.00,85.99,2026-04-27T23:10:39Z
GA,2026-03-31,0.00,100.00,97.09,86.77,62.56,13.64,86.77,2026-04-27T23:10:39Z
FL,2026-03-31,0.00,100.00,99.51,95.03,79.50,12.24,95.03,2026-04-27T23:10:39Z
WI,2026-03-24,73.02,26.98,4.72,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
CA,2026-03-24,76.24,23.76,0.00,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
IA,2026-03-24,46.09,53.91,38.31,2.07,0.00,0.00,2.07,2026-04-27T23:10:39Z
MN,2026-03-24,33.64,66.36,33.88,2.52,0.00,0.00,2.52,2026-04-27T23:10:39Z
KS,2026-03-24,27.85,72.15,31.85,3.48,0.00,0.00,3.48,2026-04-27T23:10:39Z
NV,2026-03-24,13.58,86.42,46.23,5.76,0.00,0.00,5.76,2026-04-27T23:10:39Z
OH,2026-03-24,61.20,38.80,14.22,7.14,3.67,0.00,7.14,2026-04-27T23:10:39Z
MO,2026-03-24,21.49,78.51,30.93,7.71,0.50,0.00,7.71,2026-04-27T23:10:39Z
IN,2026-03-24,56.33,43.67,26.37,11.65,0.00,0.00,11.65,2026-04-27T23:10:39Z
IL,2026-03-24,20.86,79.14,39.53,11.99,2.15,0.00,11.99,2026-04-27T23:10:39Z
AZ,2026-03-24,4.41,95.59,47.57,13.50,0.00,0.00,13.50,2026-04-27T23:10:39Z
AL,2026-03-24,11.49,88.51,68.78,28.13,5.32,0.00,28.13,2026-04-27T23:10:39Z
CONUS,2026-03-24,22.86,77.14,56.21,29.51,8.34,0.96,29.51,2026-04-27T23:10:39Z
NM,2026-03-24,0.00,100.00,92.61,51.13,4.63,0.00,51.13,2026-04-27T23:10:39Z
TX,2026-03-24,1.18,98.82,84.50,55.54,22.60,4.10,55.54,2026-04-27T23:10:39Z
CO,2026-03-24,8.97,91.03,74.28,58.99,23.97,5.87,58.99,2026-04-27T23:10:39Z
OK,2026-03-24,0.00,100.00,94.29,62.17,22.49,0.00,62.17,2026-04-27T23:10:39Z
UT,2026-03-24,0.00,100.00,98.12,69.41,6.99,0.00,69.41,2026-04-27T23:10:39Z
GA,2026-03-24,0.00,100.00,96.20,80.03,42.46,7.69,80.03,2026-04-27T23:10:39Z
NE,2026-03-24,0.41,99.59,92.67,82.77,21.76,0.00,82.77,2026-04-27T23:10:39Z
FL,2026-03-24,0.00,100.00,99.80,90.71,72.89,9.50,90.71,2026-04-27T23:10:39Z
WI,2026-03-17,71.98,28.02,4.72,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
CA,2026-03-17,84.32,15.68,0.00,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
IA,2026-03-17,46.09,53.91,37.44,2.07,0.00,0.00,2.07,2026-04-27T23:10:39Z
MN,2026-03-17,33.64,66.36,33.88,2.52,0.00,0.00,2.52,2026-04-27T23:10:39Z
KS,2026-03-17,43.85,56.15,23.30,2.68,0.00,0.00,2.68,2026-04-27T23:10:39Z
NV,2026-03-17,15.15,84.85,46.23,5.65,0.00,0.00,5.65,2026-04-27T23:10:39Z
AZ,2026-03-17,10.91,89.09,46.35,6.63,0.00,0.00,6.63,2026-04-27T23:10:39Z
MO,2026-03-17,22.69,77.31,26.74,7.60,0.47,0.00,7.60,2026-04-27T23:10:39Z
OH,2026-03-17,65.39,34.61,14.59,9.13,5.05,0.00,9.13,2026-04-27T23:10:39Z
IN,2026-03-17,54.05,45.95,29.08,16.90,6.86,0.00,16.90,2026-04-27T23:10:39Z
IL,2026-03-17,14.04,85.96,47.15,18.65,2.15,0.00,18.65,2026-04-27T23:10:39Z
CONUS,2026-03-17,24.14,75.86,54.81,25.08,6.88,0.45,25.08,2026-04-27T23:10:39Z
AL,2026-03-17,11.49,88.51,67.98,28.06,5.19,0.00,28.06,2026-04-27T23:10:39Z
CO,2026-03-17,14.29,85.71,69.45,40.36,12.88,0.83,40.36,2026-04-27T23:10:39Z
NM,2026-03-17,0.00,100.00,89.67,43.77,1.99,0.00,43.77,2026-04-27T23:10:39Z
UT,2026-03-17,0.00,100.00,98.12,44.82,4.83,0.00,44.82,2026-04-27T23:10:39Z
OK,2026-03-17,0.00,100.00,94.29,45.44,13.50,0.00,45.44,2026-04-27T23:10:39Z
TX,2026-03-17,1.18,98.82,81.72,49.56,19.83,3.46,49.56,2026-04-27T23:10:39Z
NE,2026-03-17,2.14,97.86,90.59,66.81,14.05,0.00,66.81,2026-04-27T23:10:39Z
GA,2026-03-17,0.00,100.00,96.42,80.63,38.05,2.02,80.63,2026-04-27T23:10:39Z
FL,2026-03-17,0.00,100.00,99.80,90.71,72.49,1.60,90.71,2026-04-27T23:10:39Z
CA,2026-03-10,85.84,14.16,0.00,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
WI,2026-03-10,29.30,70.70,24.47,1.43,0.00,0.00,1.43,2026-04-27T23:10:39Z
IA,2026-03-10,38.90,61.10,39.59,2.07,0.00,0.00,2.07,2026-04-27T23:10:39Z
NV,2026-03-10,26.07,73.93,26.63,2.09,0.00,0.00,2.09,2026-04-27T23:10:39Z
KS,2026-03-10,53.76,46.24,15.48,2.50,0.00,0.00,2.50,2026-04-27T23:10:39Z
MN,2026-03-10,33.59,66.41,33.87,3.05,0.00,0.00,3.05,2026-04-27T23:10:39Z
AZ,2026-03-10,32.01,67.99,34.42,6.18,0.00,0.00,6.18,2026-04-27T23:10:39Z
MO,2026-03-10,5.41,94.59,34.88,8.52,1.81,0.00,8.52,2026-04-27T23:10:39Z
OH,2026-03-10,64.86,35.14,15.28,10.99,7.53,0.00,10.99,2026-04-27T23:10:39Z
IN,2026-03-10,44.20,55.80,32.91,20.49,9.81,0.00,20.49,2026-04-27T23:10:39Z
CONUS,2026-03-10,23.25,76.75,53.97,24.15,6.80,0.35,24.15,2026-04-27T23:10:39Z
AL,2026-03-10,0.00,100.00,73.65,28.20,5.19,0.00,28.20,2026-04-27T23:10:39Z
IL,2026-03-10,3.93,96.07,67.37,30.84,2.49,0.00,30.84,2026-04-27T23:10:39Z
NM,2026-03-10,0.00,100.00,81.94,36.62,1.99,0.00,36.62,2026-04-27T23:10:39Z
CO,2026-03-10,20.66,79.34,64.04,36.72,12.53,0.83,36.72,2026-04-27T23:10:39Z
NE,2026-03-10,3.92,96.08,89.46,40.99,8.45,0.00,40.99,2026-04-27T23:10:39Z
OK,2026-03-10,0.00,100.00,93.97,41.93,13.24,0.00,41.93,2026-04-27T23:10:39Z
UT,2026-03-10,0.00,100.00,98.10,44.82,4.83,0.00,44.82,2026-04-27T23:10:39Z
TX,2026-03-10,1.11,98.89,81.76,49.62,19.32,3.08,49.62,2026-04-27T23:10:39Z
GA,2026-03-10,0.00,100.00,97.23,81.68,38.05,0.00,81.68,2026-04-27T23:10:39Z
FL,2026-03-10,0.00,100.00,100.00,90.90,72.90,0.00,90.90,2026-04-27T23:10:39Z
CA,2026-03-03,100.00,0.00,0.00,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
WI,2026-03-03,27.67,72.33,26.60,1.43,0.00,0.00,1.43,2026-04-27T23:10:39Z
IA,2026-03-03,26.21,73.79,43.04,2.07,0.00,0.00,2.07,2026-04-27T23:10:39Z
NV,2026-03-03,34.14,65.86,26.48,2.09,0.00,0.00,2.09,2026-04-27T23:10:39Z
KS,2026-03-03,52.59,47.41,15.48,2.65,0.00,0.00,2.65,2026-04-27T23:10:39Z
MN,2026-03-03,32.19,67.81,35.67,3.05,0.00,0.00,3.05,2026-04-27T23:10:39Z
AZ,2026-03-03,32.01,67.99,34.36,6.18,0.00,0.00,6.18,2026-04-27T23:10:39Z
OH,2026-03-03,33.21,66.79,16.73,11.33,7.83,0.00,11.33,2026-04-27T23:10:39Z
MO,2026-03-03,2.88,97.12,59.22,20.00,2.52,0.00,20.00,2026-04-27T23:10:39Z
AL,2026-03-03,0.00,100.00,76.17,22.32,5.19,0.00,22.32,2026-04-27T23:10:39Z
CONUS,2026-03-03,23.00,77.00,54.88,24.66,6.92,0.36,24.66,2026-04-27T23:10:39Z
IN,2026-03-03,19.42,80.58,50.20,26.85,14.48,0.00,26.85,2026-04-27T23:10:39Z
NM,2026-03-03,0.00,100.00,81.39,36.62,1.99,0.00,36.62,2026-04-27T23:10:39Z
CO,2026-03-03,20.66,79.34,56.89,36.64,10.47,0.83,36.64,2026-04-27T23:10:39Z
NE,2026-03-03,3.92,96.08,90.19,39.49,5.60,0.00,39.49,2026-04-27T23:10:39Z
UT,2026-03-03,0.00,100.00,94.41,42.33,3.29,0.00,42.33,2026-04-27T23:10:39Z
OK,2026-03-03,0.00,100.00,99.43,44.99,12.97,0.00,44.99,2026-04-27T23:10:39Z
IL,2026-03-03,3.93,96.07,82.94,49.00,13.38,0.00,49.00,2026-04-27T23:10:39Z
TX,2026-03-03,1.11,98.89,82.19,50.29,19.70,3.08,50.29,2026-04-27T23:10:39Z
GA,2026-03-03,0.00,100.00,97.82,81.68,37.34,0.00,81.68,2026-04-27T23:10:39Z
FL,2026-03-03,0.00,100.00,100.00,87.54,70.51,0.00,87.54,2026-04-27T23:10:39Z
IA,2026-02-24,32.11,67.89,25.27,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
CA,2026-02-24,100.00,0.00,0.00,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
KS,2026-02-24,63.81,36.19,8.35,1.22,0.00,0.00,1.22,2026-04-27T23:10:39Z
WI,2026-02-24,36.96,63.04,26.60,1.43,0.00,0.00,1.43,2026-04-27T23:10:39Z
NV,2026-02-24,34.14,65.86,21.16,1.92,0.00,0.00,1.92,2026-04-27T23:10:39Z
MN,2026-02-24,36.12,63.88,30.70,3.05,0.00,0.00,3.05,2026-04-27T23:10:39Z
AZ,2026-02-24,32.01,67.99,34.36,6.18,0.00,0.00,6.18,2026-04-27T23:10:39Z
OH,2026-02-24,71.45,28.55,16.73,11.33,7.83,0.00,11.33,2026-04-27T23:10:39Z
MO,2026-02-24,5.10,94.90,55.80,20.00,2.52,0.00,20.00,2026-04-27T23:10:39Z
CONUS,2026-02-24,25.64,74.36,51.13,23.11,6.41,0.22,23.11,2026-04-27T23:10:39Z
NE,2026-02-24,4.09,95.91,77.02,26.37,4.79,0.00,26.37,2026-04-27T23:10:39Z
IN,2026-02-24,19.57,80.43,43.74,26.85,9.45,0.00,26.85,2026-04-27T23:10:39Z
AL,2026-02-24,0.13,99.87,67.11,28.27,7.68,0.00,28.27,2026-04-27T23:10:39Z
OK,2026-02-24,0.00,100.00,91.22,31.89,12.08,0.00,31.89,2026-04-27T23:10:39Z
CO,2026-02-24,24.66,75.34,56.02,33.97,9.20,0.83,33.97,2026-04-27T23:10:39Z
NM,2026-02-24,2.74,97.26,67.72,36.57,1.99,0.00,36.57,2026-04-27T23:10:39Z
UT,2026-02-24,0.00,100.00,94.41,42.33,3.29,0.00,42.33,2026-04-27T23:10:39Z
TX,2026-02-24,1.11,98.89,80.20,43.24,18.86,1.45,43.24,2026-04-27T23:10:39Z
IL,2026-02-24,4.12,95.88,80.88,49.00,13.29,0.00,49.00,2026-04-27T23:10:39Z
GA,2026-02-24,0.00,100.00,100.00,85.86,33.20,0.00,85.86,2026-04-27T23:10:39Z
FL,2026-02-24,0.00,100.00,100.00,87.54,67.39,0.00,87.54,2026-04-27T23:10:39Z
IA,2026-02-17,37.62,62.38,11.39,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
KS,2026-02-17,68.27,31.73,4.21,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
CA,2026-02-17,99.30,0.70,0.00,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
NV,2026-02-17,34.07,65.93,21.16,1.92,0.00,0.00,1.92,2026-04-27T23:10:39Z
WI,2026-02-17,36.70,63.30,28.02,3.15,0.00,0.00,3.15,2026-04-27T23:10:39Z
MN,2026-02-17,36.28,63.72,31.70,4.24,0.00,0.00,4.24,2026-04-27T23:10:39Z
AZ,2026-02-17,31.98,68.02,34.36,6.18,0.00,0.00,6.18,2026-04-27T23:10:39Z
OH,2026-02-17,70.63,29.37,16.73,11.33,7.83,0.00,11.33,2026-04-27T23:10:39Z
MO,2026-02-17,7.55,92.45,51.36,19.40,2.25,0.00,19.40,2026-04-27T23:10:39Z
NE,2026-02-17,5.37,94.63,66.73,21.41,4.61,0.00,21.41,2026-04-27T23:10:39Z
CONUS,2026-02-17,26.27,73.73,48.58,22.56,5.99,0.15,22.56,2026-04-27T23:10:39Z
IN,2026-02-17,19.59,80.41,36.84,26.85,9.45,0.00,26.85,2026-04-27T23:10:39Z
AL,2026-02-17,13.38,86.62,57.29,27.65,7.68,0.00,27.65,2026-04-27T23:10:39Z
OK,2026-02-17,1.11,98.89,74.11,28.59,9.04,0.00,28.59,2026-04-27T23:10:39Z
CO,2026-02-17,27.24,72.76,55.70,31.98,9.20,0.83,31.98,2026-04-27T23:10:39Z
NM,2026-02-17,3.32,96.68,65.26,36.57,1.99,0.00,36.57,2026-04-27T23:10:39Z
TX,2026-02-17,1.31,98.69,73.71,41.65,17.45,0.62,41.65,2026-04-27T23:10:39Z
UT,2026-02-17,0.00,100.00,94.41,42.33,3.29,0.00,42.33,2026-04-27T23:10:39Z
IL,2026-02-17,5.27,94.73,73.60,45.95,13.29,0.00,45.95,2026-04-27T23:10:39Z
GA,2026-02-17,0.00,100.00,100.00,87.43,31.17,0.00,87.43,2026-04-27T23:10:39Z
FL,2026-02-17,0.00,100.00,98.77,87.54,67.39,0.00,87.54,2026-04-27T23:10:39Z
IA,2026-02-10,42.44,57.56,1.03,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
KS,2026-02-10,66.27,33.73,6.89,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
CA,2026-02-10,99.30,0.70,0.00,0.00,0.00,0.00,0.00,2026-04-27T23:10:39Z
NV,2026-02-10,34.07,65.93,21.16,1.92,0.00,0.00,1.92,2026-04-27T23:10:39Z
WI,2026-02-10,36.70,63.30,28.02,3.15,0.00,0.00,3.15,2026-04-27T23:10:39Z
MN,2026-02-10,36.29,63.71,29.88,4.24,0.00,0.00,4.24,2026-04-27T23:10:39Z
AZ,2026-02-10,31.98,68.02,34.36,6.18,0.00,0.00,6.18,2026-04-27T23:10:39Z
OH,2026-02-10,70.62,29.38,16.73,11.33,7.83,0.00,11.33,2026-04-27T23:10:39Z
NE,2026-02-10,5.37,94.63,59.35,14.77,1.63,0.00,14.77,2026-04-27T23:10:39Z
CONUS,2026-02-10,27.42,72.58,46.60,21.55,4.81,0.13,21.55,2026-04-27T23:10:39Z
IN,2026-02-10,17.18,82.82,36.69,26.30,9.40,0.00,26.30,2026-04-27T23:10:39Z
AL,2026-02-10,15.01,84.99,52.58,27.05,6.27,0.00,27.05,2026-04-27T23:10:39Z
OK,2026-02-10,4.46,95.54,74.11,28.26,10.23,0.00,28.26,2026-04-27T23:10:39Z
MO,2026-02-10,7.55,92.45,72.78,31.22,1.48,0.00,31.22,2026-04-27T23:10:39Z
CO,2026-02-10,26.60,73.40,55.70,31.66,9.20,0.83,31.66,2026-04-27T23:10:39Z
IL,2026-02-10,6.94,93.06,71.47,34.84,5.40,0.00,34.84,2026-04-27T23:10:39Z
NM,2026-02-10,1.01,98.99,71.50,36.57,1.99,0.00,36.57,2026-04-27T23:10:39Z
TX,2026-02-10,1.99,98.01,73.60,40.80,17.07,0.36,40.80,2026-04-27T23:10:39Z
UT,2026-02-10,0.00,100.00,94.34,42.33,2.35,0.00,42.33,2026-04-27T23:10:39Z
GA,2026-02-10,0.00,100.00,99.01,76.27,24.28,0.00,76.27,2026-04-27T23:10:39Z
FL,2026-02-10,0.00,100.00,98.77,85.46,43.40,0.00,85.46,2026-04-27T23:10:39Z
