manager_cik,manager_name,filed_date,period,filing_url,watched
0001968890,Flagstone Financial Management,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1968890/000175496026000338/0001754960-26-000338-index.htm,
0002012614,SIERRA SUMMIT ADVISORS LLC,2026-04-27,,https://www.sec.gov/Archives/edgar/data/2012614/000110465926049351/0001104659-26-049351-index.htm,
0001652594,World Investment Advisors,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1652594/000106299326002164/0001062993-26-002164-index.htm,
0002012467,"Counterweight Ventures, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2012467/000106299326002163/0001062993-26-002163-index.htm,
0001963040,LODESTAR PRIVATE ASSET MANAGEMENT LLC,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1963040/000196304026000002/0001963040-26-000002-index.htm,
0001455253,"HS Management Partners, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1455253/000145525326000006/0001455253-26-000006-index.htm,
0001666733,"Canal Capital Management, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1666733/000142050626000759/0001420506-26-000759-index.htm,
0001803673,"PAX Financial Group, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1803673/000110465926049342/0001104659-26-049342-index.htm,
0001378559,First Dallas Securities Inc.,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1378559/000137855926000004/0001378559-26-000004-index.htm,
0002056676,"4WEALTH ADVISORS, INC.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2056676/000194104026000269/0001941040-26-000269-index.htm,
0001919749,"Carter Financial Group, INC.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1919749/000110465926049334/0001104659-26-049334-index.htm,
0002109861,"RIVER&#39;S EDGE WEALTH MANAGEMENT, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2109861/000210986126000003/0002109861-26-000003-index.htm,
0001963352,"Kennon-Green &amp; Company, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1963352/000196335226000002/0001963352-26-000002-index.htm,
0001121477,BOYD WATTERSON ASSET MANAGEMENT LLC/OH,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1121477/000112147726000004/0001121477-26-000004-index.htm,
0001809154,"Argos Wealth Advisors, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1809154/000142050626000756/0001420506-26-000756-index.htm,
