brand,ticker,events_2025,events_2024,yoy_ratio,yoy_delta_pct,captured_at
MOUNJARO,LLY,31504,0,inf,inf,2026-04-27T23:03:47Z
ZEPBOUND,LLY,31938,0,inf,inf,2026-04-27T23:03:47Z
DUPIXENT,REGN,113786,88404,1.29,+28.7,2026-04-27T23:03:47Z
TYLENOL EXTRA STRENGTH,KVUE,43270,40591,1.07,+6.6,2026-04-27T23:03:47Z
TYLENOL REGULAR STRENGTH,KVUE,41523,39043,1.06,+6.4,2026-04-27T23:03:47Z
ASPIRIN,BAYRY,29790,29559,1.01,+0.8,2026-04-27T23:03:47Z
REVLIMID,BMY,0,30437,0.00,-100.0,2026-04-27T23:03:47Z
