month,carrier,arr_ontime_pct,delay_minutes,cancellations,diversions,captured_at
2025-12-01,ALL,,,,96242894,2026-04-27T23:12:14Z
2025-11-01,ALL,,,,94300134,2026-04-27T23:12:14Z
2025-10-01,ALL,,,,95843882,2026-04-27T23:12:14Z
2025-09-01,ALL,,,,94979672,2026-04-27T23:12:14Z
2025-08-01,ALL,,,,95902533,2026-04-27T23:12:14Z
2025-07-01,ALL,,,,95861948,2026-04-27T23:12:14Z
2025-06-01,ALL,,,,95300905,2026-04-27T23:12:14Z
2025-05-01,ALL,,,,94619792,2026-04-27T23:12:14Z
2025-04-01,ALL,,,,94809414,2026-04-27T23:12:14Z
2025-03-01,ALL,,,,94975285,2026-04-27T23:12:14Z
2025-02-01,ALL,,,,93524939,2026-04-27T23:12:14Z
2025-01-01,ALL,,,,94060722,2026-04-27T23:12:14Z
2024-12-01,ALL,,,,95197955,2026-04-27T23:12:14Z
2024-11-01,ALL,,,,95296256,2026-04-27T23:12:14Z
2024-10-01,ALL,,,,93712600,2026-04-27T23:12:14Z
2024-09-01,ALL,,,,94270356,2026-04-27T23:12:14Z
2024-08-01,ALL,,,,94481402,2026-04-27T23:12:14Z
2024-07-01,ALL,,,,94783251,2026-04-27T23:12:14Z
2024-06-01,ALL,,,,95915528,2026-04-27T23:12:14Z
2024-05-01,ALL,,,,94714027,2026-04-27T23:12:14Z
2024-04-01,ALL,,,,93920795,2026-04-27T23:12:14Z
2024-03-01,ALL,,,,94104581,2026-04-27T23:12:14Z
2024-02-01,ALL,,,,93764706,2026-04-27T23:12:14Z
2024-01-01,ALL,,,,92428358,2026-04-27T23:12:14Z
2023-12-01,ALL,,,,92322821,2026-04-27T23:12:14Z
2023-11-01,ALL,,,,92553117,2026-04-27T23:12:14Z
2023-10-01,ALL,,,,92985593,2026-04-27T23:12:14Z
2023-09-01,ALL,,,,93100393,2026-04-27T23:12:14Z
2023-08-01,ALL,,,,91398850,2026-04-27T23:12:14Z
2023-07-01,ALL,,,,90010026,2026-04-27T23:12:14Z
2023-06-01,ALL,,,,89218779,2026-04-27T23:12:14Z
2023-05-01,ALL,,,,89532642,2026-04-27T23:12:14Z
2023-04-01,ALL,,,,88475894,2026-04-27T23:12:14Z
2023-03-01,ALL,,,,87869994,2026-04-27T23:12:14Z
2023-02-01,ALL,,,,88490352,2026-04-27T23:12:14Z
2023-01-01,ALL,,,,86990692,2026-04-27T23:12:14Z
