code,label,title,period,value,update_date,captured_at
L55O,CPIH_annual_rate_%,CPIH ANNUAL RATE 00: ALL ITEMS 2015=100,2025 DEC,3.6,2026-01-21,2026-04-27T23:11:30Z
L55O,CPIH_annual_rate_%,CPIH ANNUAL RATE 00: ALL ITEMS 2015=100,2025 JUL,4.2,2025-08-19,2026-04-27T23:11:30Z
L55O,CPIH_annual_rate_%,CPIH ANNUAL RATE 00: ALL ITEMS 2015=100,2025 JUN,4.1,2025-07-15,2026-04-27T23:11:30Z
L55O,CPIH_annual_rate_%,CPIH ANNUAL RATE 00: ALL ITEMS 2015=100,2025 MAY,4.0,2025-06-17,2026-04-27T23:11:30Z
L55O,CPIH_annual_rate_%,CPIH ANNUAL RATE 00: ALL ITEMS 2015=100,2025 NOV,3.5,2025-12-17,2026-04-27T23:11:30Z
L55O,CPIH_annual_rate_%,CPIH ANNUAL RATE 00: ALL ITEMS 2015=100,2025 OCT,3.8,2025-11-19,2026-04-27T23:11:30Z
L55O,CPIH_annual_rate_%,CPIH ANNUAL RATE 00: ALL ITEMS 2015=100,2025 SEP,4.1,2025-10-21,2026-04-27T23:11:30Z
L55O,CPIH_annual_rate_%,CPIH ANNUAL RATE 00: ALL ITEMS 2015=100,2026 FEB,3.2,2026-03-20,2026-04-27T23:11:30Z
L55O,CPIH_annual_rate_%,CPIH ANNUAL RATE 00: ALL ITEMS 2015=100,2026 JAN,3.2,2026-02-18,2026-04-27T23:11:30Z
L55O,CPIH_annual_rate_%,CPIH ANNUAL RATE 00: ALL ITEMS 2015=100,2026 MAR,3.4,2026-04-21,2026-04-27T23:11:30Z
