code,label,title,period,value,update_date,captured_at
CHMK,RPIX_index_2015_100,RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100,2025 APR,395.9,2025-05-20,2026-04-27T23:11:30Z
CHMK,RPIX_index_2015_100,RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100,2025 AUG,401.4,2025-09-16,2026-04-27T23:11:30Z
CHMK,RPIX_index_2015_100,RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100,2025 DEC,401.9,2026-01-21,2026-04-27T23:11:30Z
CHMK,RPIX_index_2015_100,RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100,2025 JUL,399.8,2025-08-19,2026-04-27T23:11:30Z
CHMK,RPIX_index_2015_100,RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100,2025 JUN,398.2,2025-07-15,2026-04-27T23:11:30Z
CHMK,RPIX_index_2015_100,RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100,2025 MAY,396.6,2025-06-17,2026-04-27T23:11:30Z
CHMK,RPIX_index_2015_100,RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100,2025 NOV,399.0,2025-12-17,2026-04-27T23:11:30Z
CHMK,RPIX_index_2015_100,RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100,2025 OCT,400.9,2025-11-19,2026-04-27T23:11:30Z
CHMK,RPIX_index_2015_100,RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100,2025 SEP,399.6,2025-10-21,2026-04-27T23:11:30Z
CHMK,RPIX_index_2015_100,RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100,2026 FEB,401.4,2026-03-20,2026-04-27T23:11:30Z
CHMK,RPIX_index_2015_100,RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100,2026 JAN,399.7,2026-02-18,2026-04-27T23:11:30Z
CHMK,RPIX_index_2015_100,RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100,2026 MAR,404.5,2026-04-21,2026-04-27T23:11:30Z
CZBH,RPI_annual_rate_%,RPI All Items: Percentage change over 12 months: Jan 1987=100,2025 APR,4.5,2025-05-20,2026-04-27T23:11:30Z
CZBH,RPI_annual_rate_%,RPI All Items: Percentage change over 12 months: Jan 1987=100,2025 AUG,4.6,2025-09-16,2026-04-27T23:11:30Z
CZBH,RPI_annual_rate_%,RPI All Items: Percentage change over 12 months: Jan 1987=100,2025 DEC,4.2,2026-01-21,2026-04-27T23:11:30Z
CZBH,RPI_annual_rate_%,RPI All Items: Percentage change over 12 months: Jan 1987=100,2025 JUL,4.8,2025-08-19,2026-04-27T23:11:30Z
CZBH,RPI_annual_rate_%,RPI All Items: Percentage change over 12 months: Jan 1987=100,2025 JUN,4.4,2025-07-15,2026-04-27T23:11:30Z
CZBH,RPI_annual_rate_%,RPI All Items: Percentage change over 12 months: Jan 1987=100,2025 MAY,4.3,2025-06-17,2026-04-27T23:11:30Z
CZBH,RPI_annual_rate_%,RPI All Items: Percentage change over 12 months: Jan 1987=100,2025 NOV,3.8,2025-12-17,2026-04-27T23:11:30Z
CZBH,RPI_annual_rate_%,RPI All Items: Percentage change over 12 months: Jan 1987=100,2025 OCT,4.3,2025-11-19,2026-04-27T23:11:30Z
CZBH,RPI_annual_rate_%,RPI All Items: Percentage change over 12 months: Jan 1987=100,2025 SEP,4.5,2025-10-21,2026-04-27T23:11:30Z
CZBH,RPI_annual_rate_%,RPI All Items: Percentage change over 12 months: Jan 1987=100,2026 FEB,3.6,2026-03-20,2026-04-27T23:11:30Z
CZBH,RPI_annual_rate_%,RPI All Items: Percentage change over 12 months: Jan 1987=100,2026 JAN,3.8,2026-02-18,2026-04-27T23:11:30Z
CZBH,RPI_annual_rate_%,RPI All Items: Percentage change over 12 months: Jan 1987=100,2026 MAR,4.1,2026-04-21,2026-04-27T23:11:30Z
CZEQ,RPI_3m_pct_change,RPI:Percentage change over 1 month - All items,2025 APR,1.7,2025-05-20,2026-04-27T23:11:30Z
CZEQ,RPI_3m_pct_change,RPI:Percentage change over 1 month - All items,2025 AUG,0.4,2025-09-16,2026-04-27T23:11:30Z
CZEQ,RPI_3m_pct_change,RPI:Percentage change over 1 month - All items,2025 DEC,0.7,2026-01-21,2026-04-27T23:11:30Z
CZEQ,RPI_3m_pct_change,RPI:Percentage change over 1 month - All items,2025 JUL,0.4,2025-08-19,2026-04-27T23:11:30Z
CZEQ,RPI_3m_pct_change,RPI:Percentage change over 1 month - All items,2025 JUN,0.4,2025-07-15,2026-04-27T23:11:30Z
CZEQ,RPI_3m_pct_change,RPI:Percentage change over 1 month - All items,2025 MAY,0.2,2025-06-17,2026-04-27T23:11:30Z
CZEQ,RPI_3m_pct_change,RPI:Percentage change over 1 month - All items,2025 NOV,-0.4,2025-12-17,2026-04-27T23:11:30Z
CZEQ,RPI_3m_pct_change,RPI:Percentage change over 1 month - All items,2025 OCT,0.3,2025-11-19,2026-04-27T23:11:30Z
CZEQ,RPI_3m_pct_change,RPI:Percentage change over 1 month - All items,2025 SEP,-0.4,2025-10-21,2026-04-27T23:11:30Z
CZEQ,RPI_3m_pct_change,RPI:Percentage change over 1 month - All items,2026 FEB,0.4,2026-03-20,2026-04-27T23:11:30Z
CZEQ,RPI_3m_pct_change,RPI:Percentage change over 1 month - All items,2026 JAN,-0.5,2026-02-18,2026-04-27T23:11:30Z
CZEQ,RPI_3m_pct_change,RPI:Percentage change over 1 month - All items,2026 MAR,0.8,2026-04-21,2026-04-27T23:11:30Z
D7G7,CPI_annual_rate_%,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,2025 APR,3.5,2025-05-20,2026-04-27T23:11:30Z
D7G7,CPI_annual_rate_%,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,2025 AUG,3.8,2025-09-16,2026-04-27T23:11:30Z
D7G7,CPI_annual_rate_%,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,2025 DEC,3.4,2026-01-21,2026-04-27T23:11:30Z
D7G7,CPI_annual_rate_%,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,2025 JUL,3.8,2025-08-19,2026-04-27T23:11:30Z
D7G7,CPI_annual_rate_%,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,2025 JUN,3.6,2025-07-15,2026-04-27T23:11:30Z
D7G7,CPI_annual_rate_%,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,2025 MAY,3.4,2025-06-17,2026-04-27T23:11:30Z
D7G7,CPI_annual_rate_%,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,2025 NOV,3.2,2025-12-17,2026-04-27T23:11:30Z
D7G7,CPI_annual_rate_%,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,2025 OCT,3.6,2025-11-19,2026-04-27T23:11:30Z
D7G7,CPI_annual_rate_%,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,2025 SEP,3.8,2025-10-21,2026-04-27T23:11:30Z
D7G7,CPI_annual_rate_%,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,2026 FEB,3.0,2026-03-20,2026-04-27T23:11:30Z
D7G7,CPI_annual_rate_%,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,2026 JAN,3.0,2026-02-18,2026-04-27T23:11:30Z
D7G7,CPI_annual_rate_%,CPI ANNUAL RATE 00: ALL ITEMS 2015=100,2026 MAR,3.3,2026-04-21,2026-04-27T23:11:30Z
L55O,CPIH_annual_rate_%,CPIH ANNUAL RATE 00: ALL ITEMS 2015=100,2025 APR,4.1,2025-05-20,2026-04-27T23:11:30Z
L55O,CPIH_annual_rate_%,CPIH ANNUAL RATE 00: ALL ITEMS 2015=100,2025 AUG,4.1,2025-09-16,2026-04-27T23:11:30Z
