time_tag,satellite,flux,observed_flux,flare_class,captured_at
2026-04-27T22:37:00Z,18,1.920e-08,2.407e-08,A2.4,2026-04-27T23:11:52Z
2026-04-27T22:37:00Z,18,1.021e-06,1.032e-06,C1.0,2026-04-27T23:11:52Z
2026-04-27T22:36:00Z,18,2.026e-08,2.509e-08,A2.5,2026-04-27T23:11:52Z
2026-04-27T22:36:00Z,18,1.046e-06,1.056e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:35:00Z,18,2.399e-08,2.874e-08,A2.9,2026-04-27T23:11:52Z
2026-04-27T22:35:00Z,18,1.076e-06,1.086e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:34:00Z,18,2.755e-08,3.267e-08,A3.3,2026-04-27T23:11:52Z
2026-04-27T22:34:00Z,18,1.112e-06,1.123e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:33:00Z,18,2.965e-08,3.494e-08,A3.5,2026-04-27T23:11:52Z
2026-04-27T22:33:00Z,18,1.132e-06,1.143e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:32:00Z,18,2.809e-08,3.286e-08,A3.3,2026-04-27T23:11:52Z
2026-04-27T22:32:00Z,18,1.093e-06,1.104e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:31:00Z,18,2.569e-08,3.057e-08,A3.1,2026-04-27T23:11:52Z
2026-04-27T22:31:00Z,18,1.054e-06,1.065e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:30:00Z,18,2.804e-08,3.271e-08,A3.3,2026-04-27T23:11:52Z
2026-04-27T22:30:00Z,18,1.057e-06,1.068e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:29:00Z,18,2.823e-08,3.314e-08,A3.3,2026-04-27T23:11:52Z
2026-04-27T22:29:00Z,18,1.052e-06,1.063e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:28:00Z,18,2.499e-08,2.992e-08,A3.0,2026-04-27T23:11:52Z
2026-04-27T22:28:00Z,18,1.041e-06,1.052e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:27:00Z,18,2.491e-08,3.003e-08,A3.0,2026-04-27T23:11:52Z
2026-04-27T22:27:00Z,18,1.049e-06,1.060e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:26:00Z,18,2.644e-08,3.130e-08,A3.1,2026-04-27T23:11:52Z
2026-04-27T22:26:00Z,18,1.059e-06,1.070e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:25:00Z,18,3.105e-08,3.582e-08,A3.6,2026-04-27T23:11:52Z
