location,lat,lon,forecast_date,tmax_c,tmin_c,precip_mm,wind_max_ms,captured_at
kansas_wheat,37.7000,-97.3000,2026-04-27,22.3,16.9,0.00,8.9,2026-04-27T23:10:59Z
kansas_wheat,37.7000,-97.3000,2026-04-28,20.2,7.0,0.00,5.6,2026-04-27T23:10:59Z
kansas_wheat,37.7000,-97.3000,2026-04-29,20.1,5.5,0.00,4.7,2026-04-27T23:10:59Z
kansas_wheat,37.7000,-97.3000,2026-04-30,18.5,11.6,0.00,3.9,2026-04-27T23:10:59Z
kansas_wheat,37.7000,-97.3000,2026-05-01,15.1,10.6,0.00,6.8,2026-04-27T23:10:59Z
kansas_wheat,37.7000,-97.3000,2026-05-02,19.4,7.6,0.00,6.2,2026-04-27T23:10:59Z
kansas_wheat,37.7000,-97.3000,2026-05-03,24.9,8.9,0.00,7.8,2026-04-27T23:10:59Z
minnesota_soy,44.9800,-93.2600,2026-04-27,14.7,10.8,12.90,5.1,2026-04-27T23:10:59Z
minnesota_soy,44.9800,-93.2600,2026-04-28,9.4,2.7,1.60,7.2,2026-04-27T23:10:59Z
minnesota_soy,44.9800,-93.2600,2026-04-29,14.7,0.4,0.00,4.9,2026-04-27T23:10:59Z
minnesota_soy,44.9800,-93.2600,2026-04-30,13.5,5.4,0.00,4.7,2026-04-27T23:10:59Z
minnesota_soy,44.9800,-93.2600,2026-05-01,12.8,5.2,0.00,3.8,2026-04-27T23:10:59Z
minnesota_soy,44.9800,-93.2600,2026-05-02,16.7,4.8,0.00,3.8,2026-04-27T23:10:59Z
minnesota_soy,44.9800,-93.2600,2026-05-03,18.5,10.9,0.00,6.2,2026-04-27T23:10:59Z
nebraska_corn,40.8000,-96.7000,2026-04-27,19.1,10.8,2.50,7.3,2026-04-27T23:10:59Z
nebraska_corn,40.8000,-96.7000,2026-04-28,12.3,5.6,0.80,7.1,2026-04-27T23:10:59Z
nebraska_corn,40.8000,-96.7000,2026-04-29,18.8,5.4,0.80,2.8,2026-04-27T23:10:59Z
nebraska_corn,40.8000,-96.7000,2026-04-30,20.6,10.1,3.10,6.4,2026-04-27T23:10:59Z
nebraska_corn,40.8000,-96.7000,2026-05-01,14.9,5.2,0.00,9.8,2026-04-27T23:10:59Z
nebraska_corn,40.8000,-96.7000,2026-05-02,19.6,4.4,0.00,3.9,2026-04-27T23:10:59Z
nebraska_corn,40.8000,-96.7000,2026-05-03,27.3,9.2,0.00,8.1,2026-04-27T23:10:59Z
nyc_power,40.7800,-73.9600,2026-04-27,20.3,5.4,0.00,4.5,2026-04-27T23:10:59Z
nyc_power,40.7800,-73.9600,2026-04-28,17.7,5.5,0.00,4.5,2026-04-27T23:10:59Z
nyc_power,40.7800,-73.9600,2026-04-29,15.3,6.7,0.00,5.2,2026-04-27T23:10:59Z
nyc_power,40.7800,-73.9600,2026-04-30,13.4,9.2,7.40,6.2,2026-04-27T23:10:59Z
nyc_power,40.7800,-73.9600,2026-05-01,15.1,6.8,0.00,9.1,2026-04-27T23:10:59Z
nyc_power,40.7800,-73.9600,2026-05-02,13.4,7.9,1.30,4.6,2026-04-27T23:10:59Z
nyc_power,40.7800,-73.9600,2026-05-03,16.2,6.5,5.60,7.7,2026-04-27T23:10:59Z
texas_cotton,33.5800,-101.8600,2026-04-27,32.7,17.5,0.00,11.5,2026-04-27T23:10:59Z
texas_cotton,33.5800,-101.8600,2026-04-28,30.8,12.3,0.00,6.6,2026-04-27T23:10:59Z
texas_cotton,33.5800,-101.8600,2026-04-29,29.9,10.3,0.00,6.8,2026-04-27T23:10:59Z
texas_cotton,33.5800,-101.8600,2026-04-30,22.0,12.8,1.60,8.2,2026-04-27T23:10:59Z
texas_cotton,33.5800,-101.8600,2026-05-01,17.6,7.7,33.40,10.1,2026-04-27T23:10:59Z
texas_cotton,33.5800,-101.8600,2026-05-02,17.9,7.3,2.20,8.5,2026-04-27T23:10:59Z
texas_cotton,33.5800,-101.8600,2026-05-03,22.5,10.3,0.00,6.8,2026-04-27T23:10:59Z
