captured_at,entity_name,foreign_ticker,foreign_market,foreign_gap_pct,foreign_close,foreign_vol_ratio,us_ticker,us_listing_type,us_gap_pct,us_close,us_vol_ratio,same_direction,score,conviction,sector_gics
2026-04-27T06:31:20+00:00,SAP,SAP.DE,DE,4.68,147.28,1.41,SAP,dual,7.36,175.26,1.83,True,3,TRADE,Information Technology
2026-04-27T06:31:20+00:00,Grupo Mexico,GMEXICOB.MX,MX,1.76,200.0,0.61,GMBXF,ADR,3.36,11.7,0.61,True,3,TRADE,Materials
2026-04-27T06:31:20+00:00,GSK,GSK.L,UK,-2.7,2020.0,0.64,GSK,ADR,-2.14,54.44,1.32,True,3,TRADE,Health Care
2026-04-27T06:31:20+00:00,America Movil,AMXB.MX,MX,1.98,23.18,0.9,AMX,ADR,2.3,26.64,1.78,True,3,TRADE,Communication Services
2026-04-27T06:31:20+00:00,Ambev,ABEV3.SA,BR,-1.63,14.5,0.95,ABEV,ADR,-2.04,2.88,0.95,True,3,TRADE,Consumer Staples
2026-04-27T06:31:20+00:00,SoftBank Group,9984.T,JP,-2.57,5810.0,1.34,SFTBY,ADR,7.26,19.36,1.13,False,2,watch,Communication Services
2026-04-27T06:31:20+00:00,AstraZeneca,AZN.L,UK,-3.7,13956.0,1.16,AZN,ADR,-1.33,189.75,1.24,True,2,watch,Health Care
2026-04-27T06:31:20+00:00,Nintendo,7974.T,JP,-0.99,7874.0,0.97,NTDOY,ADR,-2.89,12.42,1.16,True,2,watch,Communication Services
2026-04-27T06:31:20+00:00,Banco do Brasil,BBAS3.SA,BR,-1.3,22.7,0.88,BDORY,ADR,-2.34,4.6,0.69,True,2,watch,Financials
2026-04-27T06:31:20+00:00,Posco Holdings,005490.KS,KR,0.48,417000.0,0.72,PKX,ADR,2.81,70.15,0.74,True,2,watch,Materials
2026-04-27T06:31:20+00:00,LG Display,034220.KS,KR,-0.94,12650.0,0.83,LPL,ADR,-2.34,4.18,0.75,True,2,watch,Information Technology
2026-04-27T06:31:20+00:00,Petrobras,PETR4.SA,BR,-1.28,47.16,0.63,PBR,ADR,-1.88,20.87,0.52,True,2,watch,Energy
2026-04-27T06:31:20+00:00,ICICI Bank,ICICIBANK.NS,IN,-0.63,1317.8,0.3,IBN,ADR,-1.6,27.6,1.44,True,2,watch,Financials
2026-04-27T06:31:20+00:00,Samsung Electronics,005930.KS,KR,1.59,223000.0,0.81,SSNLF,ADR,0.0,65.21,0,True,2,watch,Information Technology
