captured_at,entity_name,foreign_ticker,foreign_market,foreign_gap_pct,foreign_close,foreign_vol_ratio,us_ticker,us_listing_type,us_gap_pct,us_close,us_vol_ratio,same_direction,score,conviction,sector_gics
2026-04-27T06:31:20+00:00,Alibaba,9988.HK,HK,-1.06,130.4,0.49,BABA,dual,3.13,135.82,0.9,False,1,noise,Consumer Discretionary
2026-04-27T06:31:20+00:00,Tencent,0700.HK,HK,-2.96,478.8,1.48,TCEHY,ADR,0.59,62.58,1.25,False,1,noise,Communication Services
2026-04-27T06:31:20+00:00,CSL Limited,CSL.AX,AU,1.4,131.82,0.68,CSLLY,ADR,1.31,23.15,0.42,True,1,noise,Health Care
2026-04-27T06:31:20+00:00,Shopify,SHOP.TO,CA,0.95,171.88,0.65,SHOP,dual,1.29,125.83,1.08,True,1,noise,Information Technology
2026-04-27T06:31:20+00:00,Unilever,ULVR.L,UK,1.15,4280.5,0.72,UL,ADR,1.06,58.13,0.6,True,1,noise,Consumer Staples
2026-04-27T06:31:20+00:00,Toyota,7203.T,JP,0.26,3075.0,0.73,TM,ADR,-1.92,192.32,1.58,False,1,noise,Consumer Discretionary
2026-04-27T06:31:20+00:00,Infosys,INFY.NS,IN,1.55,1172.5,0.61,INFY,dual,-0.62,12.86,1.38,False,1,noise,Information Technology
2026-04-27T06:31:20+00:00,China Construction Bank,0939.HK,HK,-0.45,8.91,0.56,CICHY,ADR,1.69,22.8,0.46,False,1,noise,Financials
2026-04-27T06:31:20+00:00,Sony,6758.T,JP,-1.03,3175.0,0.68,SONY,ADR,-1.02,20.28,1.61,True,1,noise,Information Technology
2026-04-27T06:31:20+00:00,Mitsubishi UFJ,8306.T,JP,0.93,2781.0,0.66,MUFG,ADR,0.41,17.29,0.62,True,1,noise,Financials
2026-04-27T06:31:20+00:00,Deutsche Telekom,DTE.DE,DE,0.29,27.61,0.86,DTEGY,ADR,0.69,32.21,1.69,True,1,noise,Communication Services
2026-04-27T06:31:20+00:00,HDFC Bank,HDFCBANK.NS,IN,0.39,787.95,0.17,HDB,ADR,0.55,25.65,0.57,True,1,noise,Financials
2026-04-27T06:31:20+00:00,Walmart Mexico,WALMEX.MX,MX,0.3,54.3,0.86,WMMVY,ADR,0.55,31.17,0.67,True,1,noise,Consumer Staples
2026-04-27T06:31:20+00:00,BASF,BAS.DE,DE,0.15,54.32,0.78,BASFY,ADR,0.51,15.89,0.44,True,1,noise,Materials
2026-04-27T06:31:20+00:00,Meituan,3690.HK,HK,-1.15,81.5,0.58,MPNGY,ADR,0.62,21.07,0.66,False,0,noise,Consumer Discretionary
2026-04-27T06:31:20+00:00,Barclays,BARC.L,UK,-0.86,424.1,1.02,BCS,ADR,0.79,22.95,0.69,False,0,noise,Financials
2026-04-27T06:31:20+00:00,Commonwealth Bank,CBA.AX,AU,-0.81,173.08,0.47,CMWAY,ADR,0.68,124.71,0.65,False,0,noise,Financials
2026-04-27T06:31:20+00:00,Siemens,SIE.DE,DE,-0.12,243.1,0.96,SIEGY,ADR,1.36,143.47,0.63,False,0,noise,Industrials
2026-04-27T06:31:20+00:00,NatWest,NWG.L,UK,-0.89,579.4,0.45,NWG,ADR,0.51,15.76,0.67,False,0,noise,Financials
2026-04-27T06:31:20+00:00,Rio Tinto,RIO.L,UK,-0.58,7381.0,0.42,RIO,dual,0.77,99.61,0.59,False,0,noise,Materials
2026-04-27T06:31:20+00:00,HSBC,HSBA.L,UK,-1.27,1321.0,0.82,HSBC,ADR,0.06,89.69,0.58,False,0,noise,Financials
2026-04-27T06:31:20+00:00,Lloyds Banking,LLOY.L,UK,-1.12,97.77,0.62,LYG,ADR,0.19,5.34,0.79,False,0,noise,Financials
2026-04-27T06:31:20+00:00,Allianz,ALV.DE,DE,-0.54,388.0,1.05,ALIZY,ADR,0.75,45.63,0.67,False,0,noise,Financials
2026-04-27T06:31:20+00:00,Itau Unibanco,ITUB4.SA,BR,0.43,44.37,0.74,ITUB,ADR,0.45,8.85,0.66,True,0,noise,Financials
2026-04-27T06:31:20+00:00,Shell,SHEL.L,UK,0.43,3307.5,0.53,SHEL,dual,-0.16,89.13,0.57,False,0,noise,Energy
2026-04-27T06:31:20+00:00,Diageo,DGE.L,UK,-0.45,1469.0,0.34,DEO,ADR,-0.1,79.29,0.37,True,0,noise,Consumer Staples
2026-04-27T06:31:20+00:00,FEMSA,FEMSAUBD.MX,MX,-0.39,197.34,0.56,FMX,ADR,0.1,113.73,1.12,False,0,noise,Consumer Staples
2026-04-27T06:31:20+00:00,BP,BP.L,UK,0.26,571.8,0.43,BP,ADR,-0.22,46.25,0.42,False,0,noise,Energy
2026-04-27T06:31:20+00:00,Royal Bank of Canada,RY.TO,CA,0.11,239.83,1.21,RY,dual,0.24,175.33,1.52,True,0,noise,Financials
2026-04-27T06:31:20+00:00,Vale,VALE3.SA,BR,-0.12,85.87,0.62,VALE,ADR,0.18,17.17,1.05,False,0,noise,Materials
2026-04-27T06:31:20+00:00,Bradesco,BBDC4.SA,BR,-0.25,19.92,0.61,BBD,ADR,0.0,3.94,0.66,False,0,noise,Financials
2026-04-27T06:31:20+00:00,TD Bank,TD.TO,CA,-0.17,143.57,0.59,TD,dual,0.0,105.03,0.7,False,0,noise,Financials
2026-04-27T06:31:20+00:00,BHP Group,BHP.AX,AU,0.11,56.16,0.53,BHP,dual,-0.03,79.82,0.6,False,0,noise,Materials
2026-04-27T06:31:20+00:00,Vodafone,VOD.L,UK,0.04,116.3,0.36,VOD,ADR,0.06,15.63,0.58,True,0,noise,Communication Services
2026-04-27T06:31:20+00:00,NTT,9432.T,JP,-0.07,151.4,0.7,NTTYY,ADR,0.0,23.73,0.87,False,0,noise,Communication Services
