metric,series_id,date,value,captured_at
embig_peru_bps,PN01135XM,2025-02,311.7,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-01,315.666667,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-12,313.142857,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-11,302.842105,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-10,303.88,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-09,329.578947,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-08,329.636364,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-07,317.304348,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-06,315.75,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-05,299.913043,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-04,313.227273,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-03,324.142857,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-02,333.857143,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-01,345.565217,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2026-03,3.804546,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2026-02,2.214166,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2026-01,1.700917,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2025-12,1.5088,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2025-11,1.368613,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2025-10,1.351775,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2025-09,1.358393,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2025-08,1.106331,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2025-07,1.688801,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2025-06,1.693709,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2025-05,1.686663,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2025-04,1.651834,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2025-03,1.27718,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2025-02,1.477329,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2025-01,1.851583,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2024-12,1.966303,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2024-11,2.271991,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2024-10,2.00918,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2024-09,1.775011,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2024-08,2.034097,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2024-07,2.127664,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2024-06,2.285382,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2024-05,2.004938,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2024-04,2.422076,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2024-03,3.045046,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2024-02,3.294067,2026-04-27T22:58:28Z
cpi_yoy_lima,PN01273PM,2024-01,3.023922,2026-04-27T22:58:28Z
