ticker,filing_count,confirmed_buy,latest_utc,price,avg_vol_3m,market_cap,tags,primary_link,all_links
JNJ,11,0,2026-04-27T18:23:40-04:00,,,,+acquired;+form 4,https://www.sec.gov/Archives/edgar/data/200406/000020040626000113/0000200406-26-000113-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040626000113/0000200406-26-000113-index.htm|https://www.sec.gov/Archives/edgar/data/200406/000020040626000111/0000200406-26-000111-index.htm|https://www.sec.gov/Archives/edgar/data/200406/000020040626000108/0000200406-26-000108-index.htm|https://www.sec.gov/Archives/edgar/data/200406/000020040626000106/0000200406-26-000106-index.htm|https://www.sec.gov/Archives/edgar/data/200406/000020040626000104/0000200406-26-000104-index.htm|https://www.sec.gov/Archives/edgar/data/200406/000020040626000102/0000200406-26-000102-index.htm|https://www.sec.gov/Archives/edgar/data/200406/000020040626000100/0000200406-26-000100-index.htm|https://www.sec.gov/Archives/edgar/data/200406/000020040626000098/0000200406-26-000098-index.htm|https://www.sec.gov/Archives/edgar/data/200406/000020040626000096/0000200406-26-000096-index.htm|https://www.sec.gov/Archives/edgar/data/200406/000020040626000094/0000200406-26-000094-index.htm|https://www.sec.gov/Archives/edgar/data/200406/000020040626000092/0000200406-26-000092-index.htm
PFE,4,0,2026-04-27T18:23:32-04:00,,,,,https://www.sec.gov/Archives/edgar/data/78003/000122520826004654/0001225208-26-004654-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000122520826004654/0001225208-26-004654-index.htm|https://www.sec.gov/Archives/edgar/data/78003/000122520826004652/0001225208-26-004652-index.htm|https://www.sec.gov/Archives/edgar/data/78003/000122520826004651/0001225208-26-004651-index.htm|https://www.sec.gov/Archives/edgar/data/78003/000122520826004650/0001225208-26-004650-index.htm
SRTA,4,0,2026-04-27T17:47:07-04:00,,,,+acquired;+ceo;+cfo;+form 4,https://www.sec.gov/Archives/edgar/data/1779128/000162828026027661/0001628280-26-027661-index.htm,https://www.sec.gov/Archives/edgar/data/1779128/000162828026027661/0001628280-26-027661-index.htm|https://www.sec.gov/Archives/edgar/data/1779128/000162828026027658/0001628280-26-027658-index.htm|https://www.sec.gov/Archives/edgar/data/1779128/000162828026027656/0001628280-26-027656-index.htm|https://www.sec.gov/Archives/edgar/data/1779128/000162828026027654/0001628280-26-027654-index.htm
MDAI,3,0,2026-04-27T17:40:04-04:00,,,,+ceo,https://www.sec.gov/Archives/edgar/data/1833498/000121390026048115/0001213900-26-048115-index.htm,https://www.sec.gov/Archives/edgar/data/1833498/000121390026048115/0001213900-26-048115-index.htm|https://www.sec.gov/Archives/edgar/data/1833498/000121390026048114/0001213900-26-048114-index.htm|https://www.sec.gov/Archives/edgar/data/1833498/000121390026048113/0001213900-26-048113-index.htm
EIX,3,0,2026-04-27T17:33:31-04:00,,,,+acquired;+director,https://www.sec.gov/Archives/edgar/data/827052/000170727026000005/0001707270-26-000005-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000170727026000005/0001707270-26-000005-index.htm|https://www.sec.gov/Archives/edgar/data/827052/000144079826000002/0001440798-26-000002-index.htm|https://www.sec.gov/Archives/edgar/data/827052/000151683326000002/0001516833-26-000002-index.htm
WBTN,2,0,2026-04-27T17:52:17-04:00,,,,+ceo;+form 4,https://www.sec.gov/Archives/edgar/data/1997859/000202720126000010/0002027201-26-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1997859/000202720126000010/0002027201-26-000010-index.htm|https://www.sec.gov/Archives/edgar/data/1997859/000202724326000004/0002027243-26-000004-index.htm
