filed,form,ticker,issuer,ciks,accession,captured_at
2026-04-27,10-12B/A,OCTV,Octave Intelligence plc,0002083632,0001628280-26-027570,2026-04-27T22:55:57Z
2026-04-27,10-12G/A,,Barrel Energy Inc.,0001631463,0001477932-26-002543,2026-04-27T22:55:57Z
2026-04-24,10-12B/A,,Enviri II Corp,0002104052,0001628280-26-027240,2026-04-27T22:55:57Z
2026-04-24,10-12G/A,,HPS Real Assets Lending Co LP,0002089975,0001193125-26-177671,2026-04-27T22:55:57Z
2026-04-24,10-12G/A,,"Imricor Medical Systems, Inc.",0002121708,0001437749-26-013325,2026-04-27T22:55:57Z
2026-04-24,10-12G,,UBUYHOLDINGS INC,0000787496,0001829126-26-003888,2026-04-27T22:55:57Z
2026-04-13,10-12G,,"Monroe Capital Asset-Backed Finance Company, LP",0002125316,0001104659-26-042139,2026-04-27T22:55:57Z
2026-04-10,10-12B/A,FDXF,"FedEx Freight Holding Company, Inc.",0002082247,0001104659-26-041977,2026-04-27T22:55:57Z
2026-04-09,10-12B/A,OCTV,Octave Intelligence plc,0002083632,0001628280-26-024528,2026-04-27T22:55:57Z
2026-04-09,10-12G/A,,HPS Net Lease Income REIT,0002107762,0001193125-26-149886,2026-04-27T22:55:57Z
2026-04-09,10-12G/A,ILXP,ECOMINAS CORP.,0001115864,0001477932-26-002091,2026-04-27T22:55:57Z
2026-04-07,10-12G,,JLM-WNCO Trust,0002127486,0001437749-26-011469,2026-04-27T22:55:57Z
2026-04-01,10-12G/A,,"Shefford Small Business, Inc.",0002102386,0001477932-26-001917,2026-04-27T22:55:57Z
2026-04-01,10-12G,,ADAMS STREET CREDIT SOLUTIONS FUND,0001772918,0001193125-26-136761,2026-04-27T22:55:57Z
2026-03-31,10-12B,,"1 Finax AI Technologies, Inc",0002122965,0001096906-26-000424,2026-04-27T22:55:57Z
2026-03-31,10-12G/A,,TCW SPECIALTY LENDING LLC,0002066811,0001193125-26-134548,2026-04-27T22:55:57Z
2026-03-31,10-12G/A,SPQS,"SportsQuest, Inc.",0000803097,0001683168-26-002557,2026-04-27T22:55:57Z
2026-03-31,10-12G/A,,Silver Point Private Credit Fund,0002033382,0001193125-26-134080,2026-04-27T22:55:57Z
2026-03-27,10-12B/A,TRAX,"First Tracks Biotherapeutics, Inc.",0002091349,0001193125-26-129178,2026-04-27T22:55:57Z
2026-03-27,10-12G/A,,JDEV Acquisition Corp,0002108121,0001213900-26-035633,2026-04-27T22:55:57Z
2026-03-26,10-12G/A,LEEEF,Leef Brands Inc.,0001711141,0001493152-26-012756,2026-04-27T22:55:57Z
2026-03-24,10-12B/A,OCTV,Octave Intelligence plc,0002083632,0001628280-26-020815,2026-04-27T22:55:57Z
2026-03-24,10-12G/A,,Golub Capital Private Income Fund I,0002082559,0001104659-26-033964,2026-04-27T22:55:57Z
2026-03-24,10-12G/A,,Golub Capital Private Income Fund S,0002082557,0001104659-26-033965,2026-04-27T22:55:57Z
2026-03-23,10-12G/A,HYOR,HyOrc Corp,0001070789,0001493152-26-012036,2026-04-27T22:55:57Z
2026-03-20,10-12B,,Enviri II Corp,0002104052,0001628280-26-020017,2026-04-27T22:55:57Z
2026-03-20,10-12G,,Third Point Private Capital Income Fund,0002122354,0001104659-26-032804,2026-04-27T22:55:57Z
2026-03-20,10-12G/A,,HPS Net Lease Income REIT,0002107762,0001193125-26-116500,2026-04-27T22:55:57Z
2026-03-19,10-12G/A,,TCW Specialty Lending IX LLC,0002107057,0001193125-26-116167,2026-04-27T22:55:57Z
2026-03-18,10-12G,,"Imricor Medical Systems, Inc.",0002121708,0001437749-26-008869,2026-04-27T22:55:57Z
2026-03-16,10-12G/A,,TCW SPECIALTY LENDING LLC,0002066811,0001193125-26-108653,2026-04-27T22:55:57Z
2026-03-16,10-12G/A,,JDEV Acquisition Corp,0002108121,0001213900-26-027884,2026-04-27T22:55:57Z
2026-03-16,10-12G,,"Renewal Fuels, Inc.",0000096664,0001079973-26-000309,2026-04-27T22:55:57Z
2026-03-16,10-12G/A,,"Shefford Small Business, Inc.",0002102386,0001477932-26-001334,2026-04-27T22:55:57Z
2026-03-12,10-12B,,"Renewal Fuels, Inc.",0000096664,0001079973-26-000298,2026-04-27T22:55:57Z
2026-03-12,10-12G/A,CSDX,CS DIAGNOSTICS CORP.,0001106861,0001214659-26-003205,2026-04-27T22:55:57Z
2026-03-09,10-12G/A,,HPS Real Assets Lending Co LP,0002089975,0001193125-26-098559,2026-04-27T22:55:57Z
2026-03-06,10-12B/A,,Versigent Ltd,0002078008,0001193125-26-096776,2026-04-27T22:55:57Z
2026-03-06,10-12G,,VG Life Sciences Inc.,0001091326,0001493152-26-009077,2026-04-27T22:55:57Z
2026-03-05,10-12G/A,AIPG,AI Technology Group Inc.,0001289047,0001477932-26-001197,2026-04-27T22:55:57Z
2026-03-04,10-12G/A,,Investcorp US Private Credit BDC II,0001984739,0001193125-26-089532,2026-04-27T22:55:57Z
2026-03-04,10-12G/A,RITE,MINERALRITE Corp,0001096296,0001539497-26-000849,2026-04-27T22:55:57Z
2026-03-03,10-12B,,"First Tracks Biotherapeutics, Inc.",0002091349,0001193125-26-088399,2026-04-27T22:55:57Z
2026-03-03,10-12B,,Honeywell Aerospace Inc.,0002089271,0001628280-26-013549,2026-04-27T22:55:57Z
2026-03-02,10-12B,,"Biointra, Corp",0002053365,0002053365-26-000006,2026-04-27T22:55:57Z
2026-03-02,10-12G,,JS BEAUTY LAND NETWORK TECHNOLOGY INC,0001745931,0001493152-26-008404,2026-04-27T22:55:57Z
2026-02-27,10-12G/A,SPQS,"SportsQuest, Inc.",0000803097,0001683168-26-001338,2026-04-27T22:55:57Z
2026-02-25,10-12G/A,HYOR,HyOrc Corp,0001070789,0001493152-26-008033,2026-04-27T22:55:57Z
2026-02-23,10-12G,,Barrel Energy Inc.,0001631463,0001477932-26-000968,2026-04-27T22:55:57Z
2026-02-23,10-12G,,ECOMINAS CORP.,0001115864,0001477932-26-000980,2026-04-27T22:55:57Z
2026-02-18,10-12G/A,,"CVC-PE Global Private Equity Fund, LP",0002096330,0001193125-26-057161,2026-04-27T22:55:57Z
2026-02-17,10-12B/A,,Versigent Ltd,0002078008,0001193125-26-055012,2026-04-27T22:55:57Z
2026-02-17,10-12B/A,,"Atrium Therapeutics, Inc.",0002093101,0001193125-26-055010,2026-04-27T22:55:57Z
2026-02-13,10-12B/A,SUNB,"Sunbelt Rentals Holdings, Inc.",0002083785,0001193125-26-050612,2026-04-27T22:55:57Z
2026-02-13,10-12G/A,AGGI,"Allied Energy, Inc.",0001109262,0001683168-26-000980,2026-04-27T22:55:57Z
2026-02-12,10-12G,LEEEF,Leef Brands Inc.,0001711141,0001493152-26-006477,2026-04-27T22:55:57Z
2026-02-12,10-12G/A,,Sound Point Direct Lending BDC,0002061174,0001829126-26-001261,2026-04-27T22:55:57Z
2026-02-11,10-12B,,Octave Intelligence Ltd,0002083632,0001628280-26-007360,2026-04-27T22:55:57Z
2026-02-10,10-12G,,HPS Net Lease Income REIT,0002107762,0001193125-26-044966,2026-04-27T22:55:57Z
2026-02-04,10-12G,,JDEV Acquisition Corp,0002108121,0001213900-26-012371,2026-04-27T22:55:57Z
2026-02-03,10-12G/A,,"APS BDC, LLC",0002083477,0001193125-26-035874,2026-04-27T22:55:57Z
2026-02-02,10-12G,,Silver Point Private Credit Fund,0002033382,0001193125-26-033707,2026-04-27T22:55:57Z
2026-02-02,10-12G,,TCW Specialty Lending IX LLC,0002107057,0001193125-26-033735,2026-04-27T22:55:57Z
2026-02-02,10-12G,,"Shefford Small Business, Inc.",0002102386,0001477932-26-000571,2026-04-27T22:55:57Z
2026-01-30,10-12B/A,,"Atrium Therapeutics, Inc.",0002093101,0001193125-26-029976,2026-04-27T22:55:57Z
2026-01-30,10-12G,,TCW SPECIALTY LENDING LLC,0002066811,0001193125-26-030525,2026-04-27T22:55:57Z
2026-01-27,10-12B,,"Sunbelt Rentals Holdings, Inc.",0002083785,0001193125-26-024240,2026-04-27T22:55:57Z
