month,ip_index,cap_util_pct,mom_pct,yoy_pct,captured_at
2026-03-01,101.79,75.66,-0.54,0.74,2026-04-27T23:12:05Z
2026-02-01,102.34,76.14,0.74,1.23,2026-04-27T23:12:05Z
2026-01-01,101.60,75.66,-0.02,1.53,2026-04-27T23:12:05Z
2025-12-01,101.61,75.73,0.52,1.28,2026-04-27T23:12:05Z
2025-11-01,101.08,75.42,-0.14,1.80,2026-04-27T23:12:05Z
2025-10-01,101.22,75.62,-0.44,1.76,2026-04-27T23:12:05Z
2025-09-01,101.67,76.05,0.04,1.86,2026-04-27T23:12:05Z
2025-08-01,101.62,76.11,-0.26,1.19,2026-04-27T23:12:05Z
2025-07-01,101.89,76.40,0.41,1.92,2026-04-27T23:12:05Z
2025-06-01,101.48,76.18,0.51,0.58,2026-04-27T23:12:05Z
2025-05-01,100.97,75.89,-0.16,0.10,2026-04-27T23:12:05Z
2025-04-01,101.13,76.10,0.09,0.88,2026-04-27T23:12:05Z
2025-03-01,101.04,76.13,-0.06,0.58,2026-04-27T23:12:05Z
2025-02-01,101.10,76.27,1.03,0.81,2026-04-27T23:12:05Z
2025-01-01,100.06,75.58,-0.26,0.85,2026-04-27T23:12:05Z
2024-12-01,100.33,75.87,1.04,-0.27,2026-04-27T23:12:05Z
2024-11-01,99.29,75.17,-0.18,-1.56,2026-04-27T23:12:05Z
2024-10-01,99.47,75.39,-0.34,-0.99,2026-04-27T23:12:05Z
2024-09-01,99.81,75.72,-0.62,-1.20,2026-04-27T23:12:05Z
2024-08-01,100.43,76.27,0.46,-0.41,2026-04-27T23:12:05Z
2024-07-01,99.98,75.99,-0.91,-0.92,2026-04-27T23:12:05Z
2024-06-01,100.89,76.76,0.03,0.77,2026-04-27T23:12:05Z
2024-05-01,100.86,76.80,0.62,-0.06,2026-04-27T23:12:05Z
2024-04-01,100.24,76.38,-0.21,-1.00,2026-04-27T23:12:05Z
2024-03-01,100.46,76.60,0.17,-0.56,2026-04-27T23:12:05Z
2024-02-01,100.28,76.52,1.07,-0.35,2026-04-27T23:12:05Z
2024-01-01,99.22,75.75,-1.37,-1.28,2026-04-27T23:12:05Z
2023-12-01,100.60,76.86,-0.26,0.84,2026-04-27T23:12:05Z
2023-11-01,100.86,77.11,0.39,-0.09,2026-04-27T23:12:05Z
2023-10-01,100.47,76.86,-0.55,-0.77,2026-04-27T23:12:05Z
2023-09-01,101.02,77.34,0.18,-0.27,2026-04-27T23:12:05Z
2023-08-01,100.84,77.26,-0.07,-0.25,2026-04-27T23:12:05Z
2023-07-01,100.91,77.38,0.79,-0.31,2026-04-27T23:12:05Z
2023-06-01,100.12,76.85,-0.80,-0.89,2026-04-27T23:12:05Z
2023-05-01,100.93,77.55,-0.32,-0.40,2026-04-27T23:12:05Z
2023-04-01,101.25,77.89,0.23,-0.18,2026-04-27T23:12:05Z
