data_type_code,period,value_pct,delta_qoq,delta_yoy,captured_at
HOR,2023-Q1,66.00,,,2026-04-27T23:10:27Z
HOR,2023-Q2,65.90,-0.10,,2026-04-27T23:10:27Z
HOR,2023-Q3,66.00,+0.10,,2026-04-27T23:10:27Z
HOR,2023-Q4,65.70,-0.30,,2026-04-27T23:10:27Z
HOR,2024-Q1,65.60,-0.10,-0.40,2026-04-27T23:10:27Z
HOR,2024-Q2,65.60,+0.00,-0.30,2026-04-27T23:10:27Z
HOR,2024-Q3,65.60,+0.00,-0.40,2026-04-27T23:10:27Z
HOR,2024-Q4,65.70,+0.10,+0.00,2026-04-27T23:10:27Z
HOR,2025-Q1,65.10,-0.60,-0.50,2026-04-27T23:10:27Z
HOR,2025-Q2,65.00,-0.10,-0.60,2026-04-27T23:10:27Z
HOR,2025-Q3,65.30,+0.30,-0.30,2026-04-27T23:10:27Z
HOR,2025-Q4,65.70,+0.40,+0.00,2026-04-27T23:10:27Z
HVR,2023-Q1,0.80,,,2026-04-27T23:10:27Z
HVR,2023-Q2,0.70,-0.10,,2026-04-27T23:10:27Z
HVR,2023-Q3,0.80,+0.10,,2026-04-27T23:10:27Z
HVR,2023-Q4,0.90,+0.10,,2026-04-27T23:10:27Z
HVR,2024-Q1,0.80,-0.10,+0.00,2026-04-27T23:10:27Z
HVR,2024-Q2,0.90,+0.10,+0.20,2026-04-27T23:10:27Z
HVR,2024-Q3,1.00,+0.10,+0.20,2026-04-27T23:10:27Z
HVR,2024-Q4,1.10,+0.10,+0.20,2026-04-27T23:10:27Z
HVR,2025-Q1,1.10,+0.00,+0.30,2026-04-27T23:10:27Z
HVR,2025-Q2,1.10,+0.00,+0.20,2026-04-27T23:10:27Z
HVR,2025-Q3,1.20,+0.10,+0.20,2026-04-27T23:10:27Z
HVR,2025-Q4,1.20,+0.00,+0.10,2026-04-27T23:10:27Z
RVR,2023-Q1,6.40,,,2026-04-27T23:10:27Z
RVR,2023-Q2,6.30,-0.10,,2026-04-27T23:10:27Z
RVR,2023-Q3,6.60,+0.30,,2026-04-27T23:10:27Z
RVR,2023-Q4,6.60,+0.00,,2026-04-27T23:10:27Z
RVR,2024-Q1,6.60,+0.00,+0.20,2026-04-27T23:10:27Z
RVR,2024-Q2,6.60,+0.00,+0.30,2026-04-27T23:10:27Z
RVR,2024-Q3,6.90,+0.30,+0.30,2026-04-27T23:10:27Z
RVR,2024-Q4,6.90,+0.00,+0.30,2026-04-27T23:10:27Z
RVR,2025-Q1,7.10,+0.20,+0.50,2026-04-27T23:10:27Z
RVR,2025-Q2,7.00,-0.10,+0.40,2026-04-27T23:10:27Z
RVR,2025-Q3,7.10,+0.10,+0.20,2026-04-27T23:10:27Z
RVR,2025-Q4,7.20,+0.10,+0.30,2026-04-27T23:10:27Z
SAHOR,2023-Q1,66.00,,,2026-04-27T23:10:27Z
SAHOR,2023-Q2,66.00,+0.00,,2026-04-27T23:10:27Z
SAHOR,2023-Q3,65.90,-0.10,,2026-04-27T23:10:27Z
SAHOR,2023-Q4,65.60,-0.30,,2026-04-27T23:10:27Z
SAHOR,2024-Q1,65.70,+0.10,-0.30,2026-04-27T23:10:27Z
SAHOR,2024-Q2,65.70,+0.00,-0.30,2026-04-27T23:10:27Z
SAHOR,2024-Q3,65.60,-0.10,-0.30,2026-04-27T23:10:27Z
SAHOR,2024-Q4,65.50,-0.10,-0.10,2026-04-27T23:10:27Z
SAHOR,2025-Q1,65.20,-0.30,-0.50,2026-04-27T23:10:27Z
SAHOR,2025-Q2,65.10,-0.10,-0.60,2026-04-27T23:10:27Z
SAHOR,2025-Q3,65.30,+0.20,-0.30,2026-04-27T23:10:27Z
SAHOR,2025-Q4,65.50,+0.20,+0.00,2026-04-27T23:10:27Z
