ticker,company,cik,q_current,val_current_usd,q_prior,val_prior_usd,yoy_pct,filed_current,accn_current,captured_at
CAST,"FreeCast, Inc.",0001633369,CY2025Q4,62090,CY2024Q4,151545,-59.03,,0001213900-26-045218,2026-04-27T23:04:08Z
UEC,URANIUM ENERGY CORP,0001334933,CY2025Q4,20200000,CY2024Q4,49750000,-59.40,,0001437749-26-007413,2026-04-27T23:04:08Z
CNVS,Cineverse Corp.,0001173204,CY2025Q4,16286000,CY2024Q4,40740000,-60.02,,0001193125-26-055008,2026-04-27T23:04:08Z
CAHO,CARO HOLDINGS INC.,0001678105,CY2025Q4,1711,CY2024Q4,4407,-61.18,,0001640334-26-000297,2026-04-27T23:04:08Z
FUST,FUSE GROUP HOLDING INC.,0001636051,CY2025Q4,7683,CY2024Q4,19942,-61.47,,0001185185-26-000546,2026-04-27T23:04:08Z
IPW,iPower Inc.,0001830072,CY2025Q4,7133602,CY2024Q4,19072571,-62.60,,0001683168-26-001222,2026-04-27T23:04:08Z
STWI,STAGEWISE STRATEGIES CORP.,0001999261,CY2025Q4,19219,CY2024Q4,54690,-64.86,,0001999261-26-000002,2026-04-27T23:04:08Z
HLEO,HELIO CORPORATION,0001953988,CY2025Q4,495550,CY2024Q4,1427576,-65.29,,0001213900-26-035941,2026-04-27T23:04:08Z
ELME,ELME COMMUNITIES,0000104894,CY2025Q4,20665000,CY2024Q4,61264000,-66.27,,0000104894-26-000011,2026-04-27T23:04:08Z
SGLY,Singularity Future Technology Ltd.,0001422892,CY2025Q4,147574,CY2024Q4,474624,-68.91,,0001213900-26-025031,2026-04-27T23:04:08Z
LSEB,LSEB CREATIVE CORP.,0001888740,CY2025Q4,1004,CY2024Q4,3272,-69.32,,0001683168-26-001244,2026-04-27T23:04:08Z
LDXC,LONDAX CORP.,0001985554,CY2025Q4,8405,CY2024Q4,27537,-69.48,,0001683168-26-000301,2026-04-27T23:04:08Z
OZVN,OZ Vision Inc.,0001751707,CY2025Q4,2100,CY2024Q4,10120,-79.25,,0001493152-26-006704,2026-04-27T23:04:08Z
