drug,status,reason,therapeutic_class,update_date,url,captured_at
Generic Name or Active Ingredient,Status,,,,,2026-04-27T23:01:58Z
Albuterol Sulfate Solution,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Albuterol Sulfate Solution&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Amino Acid Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Amino Acid Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Currently in Shortage,,,,"https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet&st=c&tab=tabs-1",2026-04-27T23:01:58Z
Atropine Sulfate Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Atropine Sulfate Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Azacitidine Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Azacitidine Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Bacitracin Ophthalmic Ointment,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Bacitracin Ophthalmic Ointment&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Bumetanide Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Bumetanide Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Bupivacaine Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Currently in Shortage,,,,"https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection&st=c&tab=tabs-1",2026-04-27T23:01:58Z
Carboplatin Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Carboplatin Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
"Cefotaxime Sodium Powder, for Solution",Currently in Shortage,,,,"https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Cefotaxime Sodium Powder, for Solution&st=c&tab=tabs-1",2026-04-27T23:01:58Z
Clindamycin Phosphate Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Clindamycin Phosphate Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Clonazepam Tablet,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Clonazepam Tablet&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Conivaptan Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Conivaptan Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Cromolyn Sodium Concentrate,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Cromolyn Sodium Concentrate&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Desmopressin Acetate Spray,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Desmopressin Acetate Spray&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Dexamethasone Sodium Phosphate Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Dexamethasone Sodium Phosphate Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Dexmedetomidine Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Dexmedetomidine Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Dextrose Monohydrate 10% Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Dextrose Monohydrate 10per Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Dextrose Monohydrate 5% Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Dextrose Monohydrate 5per Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Dextrose Monohydrate 50% Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Dextrose Monohydrate 50per Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Dextrose Monohydrate 70% Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Dextrose Monohydrate 70per Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Dobutamine Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Dobutamine Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Dopamine Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Dopamine Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Echothiophate Iodide Ophthalmic Solution,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Echothiophate Iodide Ophthalmic Solution&st=c&tab=tabs-1,2026-04-27T23:01:58Z
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Currently in Shortage,,,,"https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Epinephrine Bitartrate, Lidocaine Hydrochloride Injection&st=c&tab=tabs-1",2026-04-27T23:01:58Z
Etomidate Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Etomidate Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Fentanyl Citrate Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Fentanyl Citrate Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
