drug,status,reason,therapeutic_class,update_date,url,captured_at
Flurazepam Hydrochloride Capsule,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Flurazepam Hydrochloride Capsule&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Furosemide Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Furosemide Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Furosemide Oral Solution,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Furosemide Oral Solution&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Heparin Sodium Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Heparin Sodium Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Hydrocortisone Sodium Succinate Injection,Resolved,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Hydrocortisone Sodium Succinate Injection&st=r&tab=tabs-1,2026-04-27T23:01:58Z
Hydromorphone Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Hydromorphone Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Hydroxocobalamin Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Hydroxocobalamin Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Isocarboxazid Tablet,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Isocarboxazid Tablet&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Ketorolac Tromethamine Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Ketorolac Tromethamine Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Lidocaine Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Lidocaine Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Liraglutide Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Liraglutide Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Lisdexamfetamine Dimesylate Capsule,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Lisdexamfetamine Dimesylate Capsule&st=c&tab=tabs-1,2026-04-27T23:01:58Z
"Lisdexamfetamine Dimesylate Tablet, Chewable",Currently in Shortage,,,,"https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Lisdexamfetamine Dimesylate Tablet, Chewable&st=c&tab=tabs-1",2026-04-27T23:01:58Z
Lorazepam Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Lorazepam Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Meperidine Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Meperidine Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Methamphetamine Hydrochloride Tablet,Resolved,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Methamphetamine Hydrochloride Tablet&st=r&tab=tabs-1,2026-04-27T23:01:58Z
Methotrexate Sodium Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Methotrexate Sodium Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
"Methylphenidate Film, Extended Release",Currently in Shortage,,,,"https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Methylphenidate Film, Extended Release&st=c&tab=tabs-1",2026-04-27T23:01:58Z
"Methylphenidate Hydrochloride Tablet, Extended Release",Currently in Shortage,,,,"https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Methylphenidate Hydrochloride Tablet, Extended Release&st=c&tab=tabs-1",2026-04-27T23:01:58Z
Methylprednisolone Acetate Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Methylprednisolone Acetate Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Metronidazole Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Metronidazole Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Midazolam Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Midazolam Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Morphine Sulfate Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Morphine Sulfate Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Naltrexone Hydrochloride Tablet,Resolved,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Naltrexone Hydrochloride Tablet&st=r&tab=tabs-1,2026-04-27T23:01:58Z
Nitroglycerin Injection,Resolved,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Nitroglycerin Injection&st=r&tab=tabs-1,2026-04-27T23:01:58Z
Peginterferon alfa-2a Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Peginterferon alfa-2a Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Penicillin G Benzathine Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Penicillin G Benzathine Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Promethazine Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Promethazine Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Propranolol Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Propranolol Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Quinapril Hydrochloride Tablet,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Quinapril Hydrochloride Tablet&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Quinapril/Hydrochlorothiazide Tablet,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Quinapril/Hydrochlorothiazide Tablet&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Remifentanil Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Remifentanil Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Rifampin Capsule,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Rifampin Capsule&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Rifampin Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Rifampin Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
"Rifapentine Tablet, Film Coated",Currently in Shortage,,,,"https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Rifapentine Tablet, Film Coated&st=c&tab=tabs-1",2026-04-27T23:01:58Z
Riluzole Oral Suspension,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Riluzole Oral Suspension&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Rocuronium Bromide Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Rocuronium Bromide Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Ropivacaine Hydrochloride Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Ropivacaine Hydrochloride Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Sodium Acetate Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Sodium Acetate Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Sodium Bicarbonate Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Sodium Bicarbonate Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Sterile Water Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Sterile Water Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Sterile Water Irrigant,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Sterile Water Irrigant&st=c&tab=tabs-1,2026-04-27T23:01:58Z
"Streptozocin Powder, For Solution",Currently in Shortage,,,,"https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Streptozocin Powder, For Solution&st=c&tab=tabs-1",2026-04-27T23:01:58Z
Sufentanil Citrate Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Sufentanil Citrate Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Technetium TC-99M Pyrophosphate Kit Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Technetium TC-99M Pyrophosphate Kit Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Triamcinolone Acetonide Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Triamcinolone Acetonide Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Triamcinolone Hexacetonide Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Triamcinolone Hexacetonide Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Valproate Sodium Injection,Currently in Shortage,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Valproate Sodium Injection&st=c&tab=tabs-1,2026-04-27T23:01:58Z
Generic Name or Active Ingredient,Acetaminophen; Oxycodone Hydrochloride Tablet,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Acetaminophen%3B+Oxycodone+Hydrochloride+Tablet&st=d&tab=tabs-2,2026-04-27T23:01:58Z
