month,category,structure,value_sa,yoy_pct,captured_at
2025-05,ACOMPLETIONS,TOTAL,1542,-1.22,2026-04-27T23:04:27Z
2025-05,ACOMPLETIONS,SINGLE,1056,2.92,2026-04-27T23:04:27Z
2025-05,ACOMPLETIONS,MULTI,468,-10.34,2026-04-27T23:04:27Z
2025-04,ASTARTS,TOTAL,1398,0.94,2026-04-27T23:04:27Z
2025-04,ASTARTS,SINGLE,948,-9.97,2026-04-27T23:04:27Z
2025-04,ASTARTS,MULTI,432,32.52,2026-04-27T23:04:27Z
2025-04,APERMITS,TOTAL,1422,-2.54,2026-04-27T23:04:27Z
2025-04,APERMITS,SINGLE,923,-6.10,2026-04-27T23:04:27Z
2025-04,APERMITS,MULTI,438,4.29,2026-04-27T23:04:27Z
2025-04,ACOMPLETIONS,TOTAL,1475,-11.25,2026-04-27T23:04:27Z
2025-04,ACOMPLETIONS,SINGLE,964,-14.77,2026-04-27T23:04:27Z
2025-04,ACOMPLETIONS,MULTI,500,-3.10,2026-04-27T23:04:27Z
2025-03,ASTARTS,TOTAL,1355,3.28,2026-04-27T23:04:27Z
2025-03,ASTARTS,SINGLE,948,-9.28,2026-04-27T23:04:27Z
2025-03,ASTARTS,MULTI,393,51.15,2026-04-27T23:04:27Z
2025-03,APERMITS,TOTAL,1481,0.34,2026-04-27T23:04:27Z
2025-03,APERMITS,SINGLE,972,-1.42,2026-04-27T23:04:27Z
2025-03,APERMITS,MULTI,451,2.73,2026-04-27T23:04:27Z
2025-03,ACOMPLETIONS,TOTAL,1566,5.31,2026-04-27T23:04:27Z
2025-03,ACOMPLETIONS,SINGLE,1048,12.09,2026-04-27T23:04:27Z
2025-03,ACOMPLETIONS,MULTI,497,-5.51,2026-04-27T23:04:27Z
2025-02,ASTARTS,TOTAL,1490,-3.99,2026-04-27T23:04:27Z
2025-02,ASTARTS,SINGLE,1098,-3.68,2026-04-27T23:04:27Z
2025-02,ASTARTS,MULTI,364,-8.08,2026-04-27T23:04:27Z
2025-02,APERMITS,TOTAL,1454,-7.80,2026-04-27T23:04:27Z
2025-02,APERMITS,SINGLE,992,-3.88,2026-04-27T23:04:27Z
2025-02,APERMITS,MULTI,404,-17.04,2026-04-27T23:04:27Z
2025-02,ACOMPLETIONS,TOTAL,1565,-6.51,2026-04-27T23:04:27Z
2025-02,ACOMPLETIONS,SINGLE,1022,-3.49,2026-04-27T23:04:27Z
2025-02,ACOMPLETIONS,MULTI,530,-11.96,2026-04-27T23:04:27Z
2025-01,ASTARTS,TOTAL,1358,-1.67,2026-04-27T23:04:27Z
2025-01,ASTARTS,SINGLE,1000,-1.28,2026-04-27T23:04:27Z
2025-01,ASTARTS,MULTI,334,-4.57,2026-04-27T23:04:27Z
2025-01,APERMITS,TOTAL,1460,-5.50,2026-04-27T23:04:27Z
2025-01,APERMITS,SINGLE,988,-4.91,2026-04-27T23:04:27Z
2025-01,APERMITS,MULTI,416,-8.37,2026-04-27T23:04:27Z
2025-01,ACOMPLETIONS,TOTAL,1651,10.07,2026-04-27T23:04:27Z
2025-01,ACOMPLETIONS,SINGLE,1003,11.69,2026-04-27T23:04:27Z
2025-01,ACOMPLETIONS,MULTI,630,8.06,2026-04-27T23:04:27Z
2024-12,ASTARTS,TOTAL,1514,,2026-04-27T23:04:27Z
2024-12,ASTARTS,SINGLE,1078,,2026-04-27T23:04:27Z
2024-12,ASTARTS,MULTI,406,,2026-04-27T23:04:27Z
2024-12,APERMITS,TOTAL,1480,,2026-04-27T23:04:27Z
2024-12,APERMITS,SINGLE,989,,2026-04-27T23:04:27Z
2024-12,APERMITS,MULTI,434,,2026-04-27T23:04:27Z
2024-12,ACOMPLETIONS,TOTAL,1527,,2026-04-27T23:04:27Z
2024-12,ACOMPLETIONS,SINGLE,928,,2026-04-27T23:04:27Z
2024-12,ACOMPLETIONS,MULTI,574,,2026-04-27T23:04:27Z
2024-11,ASTARTS,TOTAL,1295,,2026-04-27T23:04:27Z
2024-11,ASTARTS,SINGLE,1014,,2026-04-27T23:04:27Z
2024-11,ASTARTS,MULTI,266,,2026-04-27T23:04:27Z
2024-11,APERMITS,TOTAL,1508,,2026-04-27T23:04:27Z
2024-11,APERMITS,SINGLE,973,,2026-04-27T23:04:27Z
2024-11,APERMITS,MULTI,484,,2026-04-27T23:04:27Z
2024-11,ACOMPLETIONS,TOTAL,1618,,2026-04-27T23:04:27Z
2024-11,ACOMPLETIONS,SINGLE,1017,,2026-04-27T23:04:27Z
2024-11,ACOMPLETIONS,MULTI,583,,2026-04-27T23:04:27Z
2024-10,ASTARTS,TOTAL,1352,,2026-04-27T23:04:27Z
2024-10,ASTARTS,SINGLE,948,,2026-04-27T23:04:27Z
2024-10,ASTARTS,MULTI,389,,2026-04-27T23:04:27Z
2024-10,APERMITS,TOTAL,1428,,2026-04-27T23:04:27Z
2024-10,APERMITS,SINGLE,967,,2026-04-27T23:04:27Z
2024-10,APERMITS,MULTI,408,,2026-04-27T23:04:27Z
2024-10,ACOMPLETIONS,TOTAL,1636,,2026-04-27T23:04:27Z
2024-10,ACOMPLETIONS,SINGLE,989,,2026-04-27T23:04:27Z
2024-10,ACOMPLETIONS,MULTI,632,,2026-04-27T23:04:27Z
2024-09,ASTARTS,TOTAL,1357,,2026-04-27T23:04:27Z
2024-09,ASTARTS,SINGLE,1043,,2026-04-27T23:04:27Z
2024-09,ASTARTS,MULTI,299,,2026-04-27T23:04:27Z
2024-09,APERMITS,TOTAL,1434,,2026-04-27T23:04:27Z
2024-09,APERMITS,SINGLE,962,,2026-04-27T23:04:27Z
2024-09,APERMITS,MULTI,412,,2026-04-27T23:04:27Z
2024-09,ACOMPLETIONS,TOTAL,1671,,2026-04-27T23:04:27Z
2024-09,ACOMPLETIONS,SINGLE,1014,,2026-04-27T23:04:27Z
2024-09,ACOMPLETIONS,MULTI,645,,2026-04-27T23:04:27Z
2024-08,ASTARTS,TOTAL,1391,,2026-04-27T23:04:27Z
2024-08,ASTARTS,SINGLE,1008,,2026-04-27T23:04:27Z
2024-08,ASTARTS,MULTI,348,,2026-04-27T23:04:27Z
2024-08,APERMITS,TOTAL,1476,,2026-04-27T23:04:27Z
2024-08,APERMITS,SINGLE,967,,2026-04-27T23:04:27Z
2024-08,APERMITS,MULTI,452,,2026-04-27T23:04:27Z
2024-08,ACOMPLETIONS,TOTAL,1755,,2026-04-27T23:04:27Z
2024-08,ACOMPLETIONS,SINGLE,1032,,2026-04-27T23:04:27Z
2024-08,ACOMPLETIONS,MULTI,705,,2026-04-27T23:04:27Z
2024-07,ASTARTS,TOTAL,1265,,2026-04-27T23:04:27Z
2024-07,ASTARTS,SINGLE,871,,2026-04-27T23:04:27Z
2024-07,ASTARTS,MULTI,369,,2026-04-27T23:04:27Z
2024-07,APERMITS,TOTAL,1436,,2026-04-27T23:04:27Z
2024-07,APERMITS,SINGLE,945,,2026-04-27T23:04:27Z
2024-07,APERMITS,MULTI,438,,2026-04-27T23:04:27Z
2024-07,ACOMPLETIONS,TOTAL,1635,,2026-04-27T23:04:27Z
2024-07,ACOMPLETIONS,SINGLE,1088,,2026-04-27T23:04:27Z
2024-07,ACOMPLETIONS,MULTI,541,,2026-04-27T23:04:27Z
2024-06,ASTARTS,TOTAL,1327,,2026-04-27T23:04:27Z
2024-06,ASTARTS,SINGLE,981,,2026-04-27T23:04:27Z
2024-06,ASTARTS,MULTI,329,,2026-04-27T23:04:27Z
2024-06,APERMITS,TOTAL,1461,,2026-04-27T23:04:27Z
2024-06,APERMITS,SINGLE,945,,2026-04-27T23:04:27Z
2024-06,APERMITS,MULTI,468,,2026-04-27T23:04:27Z
2024-06,ACOMPLETIONS,TOTAL,1731,,2026-04-27T23:04:27Z
2024-06,ACOMPLETIONS,SINGLE,1075,,2026-04-27T23:04:27Z
2024-06,ACOMPLETIONS,MULTI,636,,2026-04-27T23:04:27Z
2024-05,ASTARTS,TOTAL,1316,,2026-04-27T23:04:27Z
2024-05,ASTARTS,SINGLE,997,,2026-04-27T23:04:27Z
2024-05,ASTARTS,MULTI,301,,2026-04-27T23:04:27Z
2024-05,APERMITS,TOTAL,1407,,2026-04-27T23:04:27Z
2024-05,APERMITS,SINGLE,959,,2026-04-27T23:04:27Z
2024-05,APERMITS,MULTI,393,,2026-04-27T23:04:27Z
2024-05,ACOMPLETIONS,TOTAL,1561,,2026-04-27T23:04:27Z
2024-05,ACOMPLETIONS,SINGLE,1026,,2026-04-27T23:04:27Z
2024-05,ACOMPLETIONS,MULTI,522,,2026-04-27T23:04:27Z
2024-04,ASTARTS,TOTAL,1385,,2026-04-27T23:04:27Z
2024-04,ASTARTS,SINGLE,1053,,2026-04-27T23:04:27Z
2024-04,ASTARTS,MULTI,326,,2026-04-27T23:04:27Z
2024-04,APERMITS,TOTAL,1459,,2026-04-27T23:04:27Z
2024-04,APERMITS,SINGLE,983,,2026-04-27T23:04:27Z
2024-04,APERMITS,MULTI,420,,2026-04-27T23:04:27Z
2024-04,ACOMPLETIONS,TOTAL,1662,,2026-04-27T23:04:27Z
2024-04,ACOMPLETIONS,SINGLE,1131,,2026-04-27T23:04:27Z
2024-04,ACOMPLETIONS,MULTI,516,,2026-04-27T23:04:27Z
2024-03,ASTARTS,TOTAL,1312,,2026-04-27T23:04:27Z
2024-03,ASTARTS,SINGLE,1045,,2026-04-27T23:04:27Z
2024-03,ASTARTS,MULTI,260,,2026-04-27T23:04:27Z
2024-03,APERMITS,TOTAL,1476,,2026-04-27T23:04:27Z
2024-03,APERMITS,SINGLE,986,,2026-04-27T23:04:27Z
2024-03,APERMITS,MULTI,439,,2026-04-27T23:04:27Z
2024-03,ACOMPLETIONS,TOTAL,1487,,2026-04-27T23:04:27Z
2024-03,ACOMPLETIONS,SINGLE,935,,2026-04-27T23:04:27Z
2024-03,ACOMPLETIONS,MULTI,526,,2026-04-27T23:04:27Z
2024-02,ASTARTS,TOTAL,1552,,2026-04-27T23:04:27Z
2024-02,ASTARTS,SINGLE,1140,,2026-04-27T23:04:27Z
