period,m1_b,m2_b,m2w_b,m2_yoy_pct,captured_at
2026-02-01,19397,22667,0,4.88,2026-04-27T23:02:01Z
2026-01-01,19201,22469,0,4.28,2026-04-27T23:02:01Z
2025-12-01,19101,22387,22387,4.20,2026-04-27T23:02:01Z
2025-11-01,19023,22296,0,3.94,2026-04-27T23:02:01Z
2025-10-01,18986,22250,0,4.31,2026-04-27T23:02:01Z
2025-09-01,18904,22170,22060,4.24,2026-04-27T23:02:01Z
2025-08-01,18840,22087,0,4.25,2026-04-27T23:02:01Z
2025-07-01,18804,22020,0,4.39,2026-04-27T23:02:01Z
2025-06-01,18747,21939,0,4.13,2026-04-27T23:02:01Z
2025-05-01,18663,21834,0,3.87,2026-04-27T23:02:01Z
2025-04-01,18622,21776,0,3.90,2026-04-27T23:02:01Z
2025-03-01,18556,21694,0,3.43,2026-04-27T23:02:01Z
2025-02-01,18511,21613,0,3.28,2026-04-27T23:02:01Z
2025-01-01,18462,21548,0,3.38,2026-04-27T23:02:01Z
2024-12-01,18392,21485,0,3.41,2026-04-27T23:02:01Z
2024-11-01,18355,21452,0,3.40,2026-04-27T23:02:01Z
2024-10-01,18227,21331,0,2.88,2026-04-27T23:02:01Z
2024-09-01,18165,21269,0,2.51,2026-04-27T23:02:01Z
2024-08-01,18103,21186,0,1.97,2026-04-27T23:02:01Z
2024-07-01,18040,21094,21028,1.46,2026-04-27T23:02:01Z
2024-06-01,18043,21068,0,1.29,2026-04-27T23:02:01Z
2024-05-01,18029,21020,0,0.91,2026-04-27T23:02:01Z
2024-04-01,17997,20959,0,0.95,2026-04-27T23:02:01Z
2024-03-01,18047,20973,0,0.12,2026-04-27T23:02:01Z
2024-02-01,18031,20927,0,-1.49,2026-04-27T23:02:01Z
2024-01-01,18001,20844,0,-2.05,2026-04-27T23:02:01Z
2023-12-01,17979,20778,0,-2.41,2026-04-27T23:02:01Z
2023-11-01,18005,20746,0,-3.08,2026-04-27T23:02:01Z
2023-10-01,18070,20733,0,-3.40,2026-04-27T23:02:01Z
2023-09-01,18158,20748,0,-3.66,2026-04-27T23:02:01Z
2023-08-01,18263,20778,0,-3.98,2026-04-27T23:02:01Z
2023-07-01,18368,20791,0,-3.98,2026-04-27T23:02:01Z
2023-06-01,18455,20799,0,-3.94,2026-04-27T23:02:01Z
2023-05-01,18583,20830,0,-4.10,2026-04-27T23:02:01Z
2023-04-01,18648,20761,0,-4.63,2026-04-27T23:02:01Z
2023-03-01,18995,20947,0,-3.85,2026-04-27T23:02:01Z
