filed,form,kind,ticker,issuer,ciks,accession,captured_at
2026-04-27,8-K,poison_pill,YSWY,"Yesway, Inc.",0001859836,0001104659-26-049520,2026-04-27T22:56:06Z
2026-04-27,8-K,poison_pill,HSDT,Solana Co,0001610853,0001104659-26-049070,2026-04-27T22:56:06Z
2026-04-27,8-K,poison_pill,TRT,TRIO-TECH INTERNATIONAL,0000732026,0001437749-26-013511,2026-04-27T22:56:06Z
2026-04-27,8-K,poison_pill,AUUD,AUDDIA INC.,0001554818,0001683168-26-003225,2026-04-27T22:56:06Z
2026-04-24,8-K,poison_pill,CTXR,"Citius Pharmaceuticals, Inc.",0001506251,0001213900-26-047599,2026-04-27T22:56:06Z
2026-04-23,8-K,poison_pill,MASI,MASIMO CORP,0000937556,0001104659-26-047839,2026-04-27T22:56:06Z
2026-04-22,8-K,rights_plan,,"Blaize Holdings, Inc.",0001871638,0001871638-26-000025,2026-04-27T22:56:06Z
2026-04-22,8-K,shareholder_rights_plan,HIVE,HIVE Digital Technologies Ltd.,0001720424,0001062993-26-002077,2026-04-27T22:56:06Z
2026-04-21,8-K,poison_pill,SRFM,SURF AIR MOBILITY INC.,0001936224,0001193125-26-167205,2026-04-27T22:56:06Z
2026-04-20,8-K,poison_pill,NTST,NETSTREIT Corp.,0001798100,0001628280-26-026004,2026-04-27T22:56:06Z
2026-04-20,8-K,poison_pill,ENVB,"Enveric Biosciences, Inc.",0000890821,0001493152-26-017960,2026-04-27T22:56:06Z
2026-04-17,8-K,rights_plan,VRA,"Vera Bradley, Inc.",0001495320,0001628280-26-025831,2026-04-27T22:56:06Z
2026-04-17,8-K,shareholder_rights_plan,MAIR,Madison Air Solutions Corp,0002098430,0001193125-26-161509,2026-04-27T22:56:06Z
2026-04-16,8-K,rights_plan,GIS,GENERAL MILLS INC,0000040704,0000040704-26-000004,2026-04-27T22:56:06Z
2026-04-16,8-K,shareholder_rights_plan,,FARADAY FUTURE INTELLIGENT ELECTRIC INC.,0001805521,0001213900-26-044633,2026-04-27T22:56:06Z
2026-04-16,8-K,shareholder_rights_plan,AIXC,"AIxCrypto Holdings, Inc.",0001460702,0001493152-26-017084,2026-04-27T22:56:06Z
2026-04-14,8-K,rights_plan,RPAY,Repay Holdings Corp,0001720592,0001193125-26-153953,2026-04-27T22:56:06Z
