geo,geo_label,period,index_2021,mom_pct,yoy_pct,captured_at
ES,Spain,2025-10,109.60,3.49,1.29,2026-04-27T22:49:33Z
ES,Spain,2025-11,110.40,0.73,4.94,2026-04-27T22:49:33Z
ES,Spain,2025-12,93.40,-15.40,-0.32,2026-04-27T22:49:33Z
ES,Spain,2026-01,97.50,4.39,-0.61,2026-04-27T22:49:33Z
ES,Spain,2026-02,100.80,3.38,-1.37,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2024-09,102.40,,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2024-10,104.00,1.56,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2024-11,104.80,0.77,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2024-12,95.00,-9.35,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2025-01,95.10,0.11,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2025-02,97.60,2.63,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2025-03,109.00,11.68,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2025-04,98.40,-9.72,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2025-05,99.90,1.52,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2025-06,101.60,1.70,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2025-07,100.00,-1.57,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2025-08,86.20,-13.80,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2025-09,104.60,21.35,2.15,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2025-10,106.00,1.34,1.92,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2025-11,106.80,0.75,1.91,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2025-12,97.10,-9.08,2.21,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2026-01,94.90,-2.27,-0.21,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2026-02,97.50,2.74,-0.10,2026-04-27T22:49:33Z
FR,France,2024-09,102.10,,,2026-04-27T22:49:33Z
FR,France,2024-10,106.10,3.92,,2026-04-27T22:49:33Z
FR,France,2024-11,106.20,0.09,,2026-04-27T22:49:33Z
FR,France,2024-12,104.70,-1.41,,2026-04-27T22:49:33Z
FR,France,2025-01,106.30,1.53,,2026-04-27T22:49:33Z
FR,France,2025-02,103.00,-3.10,,2026-04-27T22:49:33Z
FR,France,2025-03,111.80,8.54,,2026-04-27T22:49:33Z
FR,France,2025-04,100.50,-10.11,,2026-04-27T22:49:33Z
FR,France,2025-05,94.10,-6.37,,2026-04-27T22:49:33Z
FR,France,2025-06,106.60,13.28,,2026-04-27T22:49:33Z
FR,France,2025-07,101.50,-4.78,,2026-04-27T22:49:33Z
FR,France,2025-08,80.40,-20.79,,2026-04-27T22:49:33Z
FR,France,2025-09,103.40,28.61,1.27,2026-04-27T22:49:33Z
FR,France,2025-10,107.70,4.16,1.51,2026-04-27T22:49:33Z
FR,France,2025-11,108.00,0.28,1.69,2026-04-27T22:49:33Z
FR,France,2025-12,106.20,-1.67,1.43,2026-04-27T22:49:33Z
FR,France,2026-01,108.30,1.98,1.88,2026-04-27T22:49:33Z
FR,France,2026-02,102.50,-5.36,-0.49,2026-04-27T22:49:33Z
IT,Italy,2024-09,98.70,,,2026-04-27T22:49:33Z
IT,Italy,2024-10,101.60,2.94,,2026-04-27T22:49:33Z
IT,Italy,2024-11,98.60,-2.95,,2026-04-27T22:49:33Z
IT,Italy,2024-12,80.20,-18.66,,2026-04-27T22:49:33Z
IT,Italy,2025-01,89.70,11.85,,2026-04-27T22:49:33Z
IT,Italy,2025-02,95.60,6.58,,2026-04-27T22:49:33Z
IT,Italy,2025-03,103.20,7.95,,2026-04-27T22:49:33Z
IT,Italy,2025-04,93.40,-9.50,,2026-04-27T22:49:33Z
IT,Italy,2025-05,100.40,7.49,,2026-04-27T22:49:33Z
IT,Italy,2025-06,98.00,-2.39,,2026-04-27T22:49:33Z
IT,Italy,2025-07,104.00,6.12,,2026-04-27T22:49:33Z
IT,Italy,2025-08,61.70,-40.67,,2026-04-27T22:49:33Z
IT,Italy,2025-09,100.20,62.40,1.52,2026-04-27T22:49:33Z
IT,Italy,2025-10,101.40,1.20,-0.20,2026-04-27T22:49:33Z
IT,Italy,2025-11,99.70,-1.68,1.12,2026-04-27T22:49:33Z
IT,Italy,2025-12,82.40,-17.35,2.74,2026-04-27T22:49:33Z
IT,Italy,2026-01,89.20,8.25,-0.56,2026-04-27T22:49:33Z
IT,Italy,2026-02,96.10,7.74,0.52,2026-04-27T22:49:33Z
NL,Netherlands,2024-09,100.50,,,2026-04-27T22:49:33Z
NL,Netherlands,2024-10,102.90,2.39,,2026-04-27T22:49:33Z
NL,Netherlands,2024-11,104.70,1.75,,2026-04-27T22:49:33Z
NL,Netherlands,2024-12,100.70,-3.82,,2026-04-27T22:49:33Z
NL,Netherlands,2025-01,97.50,-3.18,,2026-04-27T22:49:33Z
NL,Netherlands,2025-02,97.50,0.00,,2026-04-27T22:49:33Z
NL,Netherlands,2025-03,108.00,10.77,,2026-04-27T22:49:33Z
NL,Netherlands,2025-04,99.10,-8.24,,2026-04-27T22:49:33Z
NL,Netherlands,2025-05,100.30,1.21,,2026-04-27T22:49:33Z
NL,Netherlands,2025-06,105.00,4.69,,2026-04-27T22:49:33Z
NL,Netherlands,2025-07,97.40,-7.24,,2026-04-27T22:49:33Z
NL,Netherlands,2025-08,93.80,-3.70,,2026-04-27T22:49:33Z
NL,Netherlands,2025-09,103.00,9.81,2.49,2026-04-27T22:49:33Z
NL,Netherlands,2025-10,104.70,1.65,1.75,2026-04-27T22:49:33Z
NL,Netherlands,2025-11,105.30,0.57,0.57,2026-04-27T22:49:33Z
NL,Netherlands,2025-12,101.30,-3.80,0.60,2026-04-27T22:49:33Z
NL,Netherlands,2026-01,99.90,-1.38,2.46,2026-04-27T22:49:33Z
NL,Netherlands,2026-02,97.70,-2.20,0.21,2026-04-27T22:49:33Z
PL,Poland,2024-09,111.50,,,2026-04-27T22:49:33Z
PL,Poland,2024-10,119.90,7.53,,2026-04-27T22:49:33Z
PL,Poland,2024-11,115.70,-3.50,,2026-04-27T22:49:33Z
PL,Poland,2024-12,105.20,-9.08,,2026-04-27T22:49:33Z
PL,Poland,2025-01,108.10,2.76,,2026-04-27T22:49:33Z
PL,Poland,2025-02,108.80,0.65,,2026-04-27T22:49:33Z
PL,Poland,2025-03,119.10,9.47,,2026-04-27T22:49:33Z
PL,Poland,2025-04,112.90,-5.21,,2026-04-27T22:49:33Z
PL,Poland,2025-05,110.30,-2.30,,2026-04-27T22:49:33Z
PL,Poland,2025-06,111.60,1.18,,2026-04-27T22:49:33Z
PL,Poland,2025-07,108.80,-2.51,,2026-04-27T22:49:33Z
PL,Poland,2025-08,104.90,-3.58,,2026-04-27T22:49:33Z
PL,Poland,2025-09,118.10,12.58,5.92,2026-04-27T22:49:33Z
PL,Poland,2025-10,124.10,5.08,3.50,2026-04-27T22:49:33Z
PL,Poland,2025-11,115.00,-7.33,-0.61,2026-04-27T22:49:33Z
PL,Poland,2025-12,112.40,-2.26,6.84,2026-04-27T22:49:33Z
PL,Poland,2026-01,107.10,-4.72,-0.93,2026-04-27T22:49:33Z
PL,Poland,2026-02,109.10,1.87,0.28,2026-04-27T22:49:33Z
PT,Portugal,2024-09,98.50,,,2026-04-27T22:49:33Z
PT,Portugal,2024-10,102.10,3.65,,2026-04-27T22:49:33Z
PT,Portugal,2024-11,100.90,-1.18,,2026-04-27T22:49:33Z
PT,Portugal,2024-12,84.50,-16.25,,2026-04-27T22:49:33Z
PT,Portugal,2025-01,99.00,17.16,,2026-04-27T22:49:33Z
PT,Portugal,2025-02,99.30,0.30,,2026-04-27T22:49:33Z
PT,Portugal,2025-03,104.50,5.24,,2026-04-27T22:49:33Z
PT,Portugal,2025-04,97.70,-6.51,,2026-04-27T22:49:33Z
PT,Portugal,2025-05,105.50,7.98,,2026-04-27T22:49:33Z
PT,Portugal,2025-06,97.30,-7.77,,2026-04-27T22:49:33Z
PT,Portugal,2025-07,103.50,6.37,,2026-04-27T22:49:33Z
PT,Portugal,2025-08,81.30,-21.45,,2026-04-27T22:49:33Z
PT,Portugal,2025-09,101.00,24.23,2.54,2026-04-27T22:49:33Z
PT,Portugal,2025-10,101.70,0.69,-0.39,2026-04-27T22:49:33Z
PT,Portugal,2025-11,101.10,-0.59,0.20,2026-04-27T22:49:33Z
PT,Portugal,2025-12,86.40,-14.54,2.25,2026-04-27T22:49:33Z
PT,Portugal,2026-01,99.90,15.62,0.91,2026-04-27T22:49:33Z
PT,Portugal,2026-02,95.30,-4.60,-4.03,2026-04-27T22:49:33Z
SE,Sweden,2024-09,103.80,,,2026-04-27T22:49:33Z
SE,Sweden,2024-10,107.90,3.95,,2026-04-27T22:49:33Z
SE,Sweden,2024-11,109.00,1.02,,2026-04-27T22:49:33Z
SE,Sweden,2024-12,111.80,2.57,,2026-04-27T22:49:33Z
SE,Sweden,2025-01,100.10,-10.47,,2026-04-27T22:49:33Z
SE,Sweden,2025-02,100.70,0.60,,2026-04-27T22:49:33Z
SE,Sweden,2025-03,115.10,14.30,,2026-04-27T22:49:33Z
SE,Sweden,2025-04,105.40,-8.43,,2026-04-27T22:49:33Z
SE,Sweden,2025-05,102.90,-2.37,,2026-04-27T22:49:33Z
SE,Sweden,2025-06,115.10,11.86,,2026-04-27T22:49:33Z
SE,Sweden,2025-07,81.40,-29.28,,2026-04-27T22:49:33Z
SE,Sweden,2025-08,93.60,14.99,,2026-04-27T22:49:33Z
SE,Sweden,2025-09,118.60,26.71,14.26,2026-04-27T22:49:33Z
SE,Sweden,2025-10,113.50,-4.30,5.19,2026-04-27T22:49:33Z
SE,Sweden,2025-11,112.30,-1.06,3.03,2026-04-27T22:49:33Z
SE,Sweden,2025-12,116.80,4.01,4.47,2026-04-27T22:49:33Z
SE,Sweden,2026-01,103.00,-11.82,2.90,2026-04-27T22:49:33Z
SE,Sweden,2026-02,108.50,5.34,7.75,2026-04-27T22:49:33Z
