month,total_sl_b,revolving_sl_b,savings_rate_pct,revolving_yoy_pct,captured_at
2026-02-01,5117,1328,4.0,1.79,2026-04-27T23:12:06Z
2026-01-01,5107,1327,4.5,1.91,2026-04-27T23:12:06Z
2025-12-01,5100,1324,3.9,2.11,2026-04-27T23:12:06Z
2025-11-01,5084,1316,4.0,-1.93,2026-04-27T23:12:06Z
2025-10-01,5081,1317,4.0,-2.61,2026-04-27T23:12:06Z
2025-09-01,5073,1313,4.3,-2.22,2026-04-27T23:12:06Z
2025-08-01,5059,1308,4.4,-2.39,2026-04-27T23:12:06Z
2025-07-01,5057,1310,4.5,-2.03,2026-04-27T23:12:06Z
2025-06-01,5044,1302,4.6,-2.19,2026-04-27T23:12:06Z
2025-05-01,5048,1300,4.9,-2.37,2026-04-27T23:12:06Z
2025-04-01,5039,1299,5.5,-1.80,2026-04-27T23:12:06Z
2025-03-01,5023,1293,5.1,-2.13,2026-04-27T23:12:06Z
2025-02-01,4959,1304,5.2,-1.15,2026-04-27T23:12:06Z
2025-01-01,4956,1302,5.1,-0.49,2026-04-27T23:12:06Z
2024-12-01,4948,1297,4.3,-0.15,2026-04-27T23:12:06Z
2024-11-01,5066,1342,4.9,3.11,2026-04-27T23:12:06Z
2024-10-01,5072,1352,5.0,5.46,2026-04-27T23:12:06Z
2024-09-01,5058,1342,4.8,5.05,2026-04-27T23:12:06Z
2024-08-01,5056,1340,5.2,5.38,2026-04-27T23:12:06Z
2024-07-01,5046,1337,5.3,6.51,2026-04-27T23:12:06Z
2024-06-01,5026,1331,5.7,6.67,2026-04-27T23:12:06Z
2024-05-01,5025,1331,5.8,7.25,2026-04-27T23:12:06Z
2024-04-01,5016,1323,5.8,7.33,2026-04-27T23:12:06Z
2024-03-01,5015,1321,5.9,8.19,2026-04-27T23:12:06Z
2024-02-01,5015,1319,6.1,9.53,2026-04-27T23:12:06Z
2024-01-01,5002,1308,6.4,9.04,2026-04-27T23:12:06Z
2023-12-01,4988,1299,5.6,8.91,2026-04-27T23:12:06Z
2023-11-01,4993,1302,5.6,9.94,2026-04-27T23:12:06Z
2023-10-01,4969,1282,5.4,9.84,2026-04-27T23:12:06Z
2023-09-01,4956,1278,5.3,10.60,2026-04-27T23:12:06Z
2023-08-01,4947,1272,5.6,11.08,2026-04-27T23:12:06Z
2023-07-01,4960,1256,5.5,11.14,2026-04-27T23:12:06Z
2023-06-01,4949,1248,5.8,11.38,2026-04-27T23:12:06Z
2023-05-01,4926,1241,6.1,12.79,2026-04-27T23:12:06Z
2023-04-01,4920,1233,5.8,12.96,2026-04-27T23:12:06Z
2023-03-01,4909,1221,6.0,13.31,2026-04-27T23:12:06Z
