week_end,metric,jurisdiction,level,trend_2wk,captured_at
2025-09-07,SARS-CoV-2,Missouri,42.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Montana,35.2,14319,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,76.5,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,31.4,68,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York City,14.25,2243,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,59.667,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,33.5,2095,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Oregon,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Arkansas,51.0,30,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Georgia,49.286,0,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Pennsylvania,39.5,-23,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Hawaii,90.6,-61,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York City,45.5,425,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,40.25,1317,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,West Virginia,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Michigan,30.286,18,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Iowa,43.8,122,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Minnesota,36.75,131864,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,57.143,13,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,31.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Mexico,38.8,-75,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Mississippi,65.0,11,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Minnesota,56.5,12,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,South Carolina,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Utah,68.6,180,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,16.0,0,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Iowa,51.571,6,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,75.8,-90,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Colorado,44.0,-92,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Connecticut,71.667,-100,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,North Carolina,39.5,-100,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,0.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York City,43.75,57,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York City,29.667,-31,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Utah,79.6,3159,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Utah,88.0,300,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Utah,76.2,585729,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Idaho,96.0,31,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,999.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Alabama,61.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Chicago,43.2,20,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,18.0,3118,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Hampshire,76.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,55.333,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Utah,97.2,108,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,33.8,-25,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Idaho,88.5,-60,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,12.667,1093,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,30.333,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,52.8,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,94.333,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,60.2,2147483647,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,North Carolina,52.667,31,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Chicago,27.8,-3,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,53.4,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York City,52.5,-66,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Washington,76.0,866,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Washington,59.4,99,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,55.4,459,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,14.2,-98,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Guam,48.8,313,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Arizona,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Nebraska,88.0,-43,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,44.667,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Pennsylvania,999.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wyoming,26.0,-99,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wyoming,58.6,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,85.25,405,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Alaska,78.6,-100,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Alabama,41.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Colorado,30.0,186959,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Michigan,47.625,-23,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,24.6,213629,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Utah,81.0,-91,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Washington,66.0,-3,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Alaska,84.2,62,2026-04-27T23:12:20Z
