week_end,metric,jurisdiction,level,trend_2wk,captured_at
2025-09-07,SARS-CoV-2,Guam,53.5,-68,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,South Dakota,45.75,520,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Arizona,70.2,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,24.0,-14,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Michigan,70.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,61.667,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,68.5,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Nevada,74.8,-4,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Jersey,52.6,22,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Oregon,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kansas,43.2,-100,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kentucky,50.8,90,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,80.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,70.0,246,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,28.75,26,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Pennsylvania,55.8,-100,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wyoming,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Indiana,68.167,4,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Chicago,39.75,-4,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Minnesota,28.667,48260,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Montana,15.6,-3,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,South Carolina,93.4,-93,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,85.5,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Indiana,49.571,-22,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Nebraska,82.8,-60,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Oregon,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Arkansas,80.6,-61,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Indiana,53.6,260,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,50.75,326,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,41.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,49.333,166,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,64.667,100,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,37.2,9,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,37.2,-41,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Indiana,87.5,-60,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Nebraska,81.2,1674,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,50.25,1356,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,91.25,-30,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Connecticut,85.0,163,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kansas,58.0,21,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,999.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Georgia,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,22.8,1516,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,38.333,136,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,25.8,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,58.0,-20,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,49.75,22,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Rhode Island,36.2,-14,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Tennessee,59.714,62,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,51.857,-1,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Florida,68.0,-8,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,89.0,-48,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Georgia,,,2026-04-27T23:12:20Z
