date,us,china,japan,eurozone,global,us_direction,glob_direction
2026-03-01,100.89,98.49,100.25,,,EXPANSION_UP,CONTRACTION_DEEPENING
2026-02-01,100.77,98.51,100.17,,,,
2026-01-01,100.62,98.59,100.10,,,,
2025-12-01,100.43,98.71,100.04,,,,
2025-11-01,100.25,98.89,99.98,,,,
2025-10-01,100.10,99.11,99.92,,,,
2025-09-01,99.98,99.35,99.83,,,,
2025-08-01,99.89,99.60,99.73,,,,
2025-07-01,99.82,99.84,99.64,,,,
2025-06-01,99.76,100.07,99.55,,,,
2025-05-01,99.72,100.28,99.49,,,,
2025-04-01,99.74,100.47,99.46,,,,
2025-03-01,99.81,100.64,99.47,,,,
2025-02-01,99.90,100.74,99.50,,,,
2025-01-01,99.95,100.77,99.54,,,,
2024-12-01,99.94,100.73,99.57,,,,
2024-11-01,99.86,100.63,99.62,,,,
2024-10-01,99.74,100.48,99.68,,,,
2024-09-01,99.62,100.34,99.74,,,,
2024-08-01,99.51,100.25,99.81,,,,
2024-07-01,99.44,100.24,99.88,,,,
2024-06-01,99.42,100.31,99.92,,,,
2024-05-01,99.42,100.45,99.93,,,,
2024-04-01,99.41,100.63,99.92,,,,
2024-03-01,99.36,100.85,99.88,,,,
2024-02-01,99.27,101.11,99.83,,,,
2024-01-01,99.16,101.38,99.80,,,,
2023-12-01,99.04,101.67,99.79,,,,
2023-11-01,98.95,101.92,99.80,,,,
2023-10-01,98.90,102.11,99.83,,,,
2023-09-01,98.87,102.20,99.85,,,,
2023-08-01,98.83,102.18,99.86,,,,
2023-07-01,98.77,102.02,99.87,,,,
2023-06-01,98.69,101.77,99.87,,,,
2023-05-01,98.61,101.43,99.88,,,,
2023-04-01,98.58,101.05,99.88,,,,
