ticker,form,updated_utc,recency_min,gapper_score,value_score,moat_score,insider_signal_score,risk_flags,market_flags,tags,items,price,avg_vol_3m,market_cap,link
ARE,8-K,2026-04-27T16:39:01-04:00,141,23,18,18,0,,est_mcap_from_sec_shares,,,45.5600,2393105,7939717508,https://www.sec.gov/Archives/edgar/data/1035443/000103544326000045/0001035443-26-000045-index.htm
CORZZ,8-K,2026-04-27T17:30:43-04:00,90,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1839341/000162828026027645/0001628280-26-027645-index.htm
WABC,8-K,2026-04-27T17:25:43-04:00,95,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/311094/000117184326002737/0001171843-26-002737-index.htm
KINS,8-K,2026-04-27T17:18:32-04:00,102,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/33992/000102177126000063/0001021771-26-000063-index.htm
IPOD,8-K,2026-04-27T17:15:56-04:00,104,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/2041047/000121390026048089/0001213900-26-048089-index.htm
BRO,8-K,2026-04-27T17:08:57-04:00,111,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/79282/000119312526182375/0001193125-26-182375-index.htm
PFBX,8-K,2026-04-27T17:05:52-04:00,115,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/770460/000110465926049507/0001104659-26-049507-index.htm
BPRN,8-K,2026-04-27T17:02:08-04:00,118,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1913971/000119312526182356/0001193125-26-182356-index.htm
KVAC,8-K,2026-04-27T17:00:15-04:00,120,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1889983/000121390026048066/0001213900-26-048066-index.htm
QRED-UN,8-K,2026-04-27T16:56:39-04:00,124,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/2085177/000182912626003988/0001829126-26-003988-index.htm
FSUN,8-K,2026-04-27T16:47:33-04:00,133,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1709442/000170944226000026/0001709442-26-000026-index.htm
CBSH,8-K,2026-04-27T16:46:23-04:00,134,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/22356/000002235626000125/0000022356-26-000125-index.htm
SLMBP,8-K,2026-04-27T16:46:01-04:00,134,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1032033/000103203326000028/0001032033-26-000028-index.htm
KRC,8-K,2026-04-27T16:43:32-04:00,137,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1025996/000162828026027543/0001628280-26-027543-index.htm
FDBC,8-K,2026-04-27T16:42:09-04:00,138,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1098151/000143774926013488/0001437749-26-013488-index.htm
CME,8-K,2026-04-27T16:38:50-04:00,142,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000022/0001156375-26-000022-index.htm
VTR,8-K,2026-04-27T16:33:06-04:00,147,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/740260/000074026026000016/0000740260-26-000016-index.htm
FGBIP,8-K,2026-04-27T16:30:17-04:00,150,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1408534/000140853426000030/0001408534-26-000030-index.htm
LC,8-K,2026-04-27T16:30:43-04:00,150,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1409970/000140997026000059/0001409970-26-000059-index.htm
CI,8-K,2026-04-27T16:26:35-04:00,154,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1739940/000114036126017123/0001140361-26-017123-index.htm
UHT,8-K,2026-04-27T16:25:18-04:00,155,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/798783/000119312526182162/0001193125-26-182162-index.htm
GABC,8-K,2026-04-27T16:23:23-04:00,157,21,13,10,0,,no_market_data,+dividend increase,,,,,https://www.sec.gov/Archives/edgar/data/714395/000071439526000016/0000714395-26-000016-index.htm
CDP,8-K,2026-04-27T16:22:18-04:00,158,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/860546/000086054626000024/0000860546-26-000024-index.htm
CDR-PB,8-K,2026-04-27T16:22:01-04:00,158,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/761648/000076164826000012/0000761648-26-000012-index.htm
FBK,8-K,2026-04-27T16:19:40-04:00,161,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1649749/000164974926000036/0001649749-26-000036-index.htm
TRUP,8-K,2026-04-27T16:18:28-04:00,162,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1371285/000137128526000083/0001371285-26-000083-index.htm
OAK-PB,8-K,2026-04-27T16:17:05-04:00,163,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1403528/000140352826000019/0001403528-26-000019-index.htm
CBNK,8-K,2026-04-27T16:10:55-04:00,169,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1419536/000141953626000097/0001419536-26-000097-index.htm
SUI,8-K,2026-04-27T16:10:49-04:00,170,21,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/912593/000091259326000156/0000912593-26-000156-index.htm
RNGR,8-K,2026-04-27T16:13:09-04:00,167,20,19,10,0,,no_market_data,+cash flow;+free cash flow;+share repurchase;+share repurchase program,,,,,https://www.sec.gov/Archives/edgar/data/1699039/000162828026027500/0001628280-26-027500-index.htm
ASTE,8-K,2026-04-27T16:15:59-04:00,164,19,10,10,0,,est_mcap_from_sec_shares;thin_volume,,,58.7500,224994,1345363191,https://www.sec.gov/Archives/edgar/data/792987/000079298726000020/0000792987-26-000020-index.htm
FLYE,8-K,2026-04-27T17:00:17-04:00,120,18,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1975940/000121390026048067/0001213900-26-048067-index.htm
MATX,8-K,2026-04-27T16:30:07-04:00,150,18,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/3453/000110465926049459/0001104659-26-049459-index.htm
WKHS,8-K,2026-04-27T16:29:49-04:00,151,18,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1425287/000162828026027522/0001628280-26-027522-index.htm
WSUP,8-K,2026-04-27T17:29:23-04:00,91,17,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1819516/000162828026027641/0001628280-26-027641-index.htm
ELSE,8-K,2026-04-27T17:28:36-04:00,92,17,10,10,0,,no_market_data,,9.01,,,,https://www.sec.gov/Archives/edgar/data/351789/000089710126000148/0000897101-26-000148-index.htm
CR,8-K,2026-04-27T17:19:36-04:00,101,17,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/1944013/000194401326000133/0001944013-26-000133-index.htm
GURE,8-K,2026-04-27T17:00:26-04:00,120,17,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/885462/000119380526000512/0001193805-26-000512-index.htm
NUE,8-K,2026-04-27T16:56:42-04:00,124,17,10,7,0,,no_market_data,-impairment,,,,,https://www.sec.gov/Archives/edgar/data/73309/000119312526182332/0001193125-26-182332-index.htm
USAU,8-K,2026-04-27T16:50:27-04:00,130,17,10,10,0,,no_market_data,,,,,,https://www.sec.gov/Archives/edgar/data/27093/000149315226019166/0001493152-26-019166-index.htm
