cve_id,vendor,product,vulnerability,date_added,due_date,known_ransomware,tickers_affected,short_desc,captured_at
CVE-2025-66376,Synacor,Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) Cross-Site Scripting Vulnerability,2026-03-18,2026-04-01,Unknown,,Synacor Zimbra Collaboration Suite (ZCS) contains a cross-site scripting vulnerability in the Classic UI where attackers could abuse Cascading Style Sheets (CSS) @import directives in email HTML.,2026-04-27T23:12:22Z
CVE-2026-20963,Microsoft,SharePoint,Microsoft SharePoint Deserialization of Untrusted Data Vulnerability,2026-03-18,2026-03-21,Unknown,MSFT,Microsoft SharePoint contains a deserialization of untrusted data vulnerability that allows an unauthorized attacker to execute code over a network.,2026-04-27T23:12:22Z
CVE-2025-47813,Wing FTP Server,Wing FTP Server,Wing FTP Server Information Disclosure Vulnerability,2026-03-16,2026-03-30,Unknown,,Wing FTP Server contains a generation of error message containing sensitive information vulnerability when using a long value in the UID cookie.,2026-04-27T23:12:22Z
CVE-2026-3910,Google,Chromium V8,Google Chromium V8 Improper Restriction of Operations Within the Bounds of a Memory Buffer Vulnerability,2026-03-13,2026-03-27,Unknown,GOOGL,Google Chromium V8 contains an improper restriction of operations within the bounds of a memory buffer vulnerability that could allow a remote attacker to execute arbitrary code inside a sandbox via a,2026-04-27T23:12:22Z
CVE-2026-3909,Google,Skia,Google Skia Out-of-Bounds Write Vulnerability,2026-03-13,2026-03-27,Unknown,GOOGL,Google Skia contains an out-of-bounds write vulnerability that could allow a remote attacker to perform out of bounds memory access via a crafted HTML page. This vulnerability affects Google Chrome an,2026-04-27T23:12:22Z
CVE-2025-68613,n8n,n8n,n8n Improper Control of Dynamically-Managed Code Resources Vulnerability,2026-03-11,2026-03-25,Unknown,,n8n contains an improper control of dynamically managed code resources vulnerability in its workflow expression evaluation system that allows for remote code execution.,2026-04-27T23:12:22Z
CVE-2021-22054,Omnissa,Workspace One UEM,Omnissa Workspace ONE Server-Side Request Forgery,2026-03-09,2026-03-23,Unknown,,Omnissa Workspace One UEM formerly known as VMware Workspace One UEM contains a server-side request forgery (SSRF) vulnerability that could allow a malicious actor with network access to UEM to send t,2026-04-27T23:12:22Z
CVE-2025-26399,SolarWinds,Web Help Desk,SolarWinds Web Help Desk Deserialization of Untrusted Data Vulnerability,2026-03-09,2026-03-12,Unknown,,SolarWinds Web Help Desk contain a deserialization of untrusted data vulnerability in AjaxProxy that could allow an attacker to run commands on the host machine.,2026-04-27T23:12:22Z
CVE-2026-1603,Ivanti, Endpoint Manager (EPM),Ivanti Endpoint Manager (EPM) Authentication Bypass Vulnerability,2026-03-09,2026-03-23,Unknown,,Ivanti Endpoint Manager (EPM) contains an authentication bypass using an alternate path or channel vulnerability that could allow a remote unauthenticated attacker to leak specific stored credential d,2026-04-27T23:12:22Z
CVE-2017-7921,Hikvision,Multiple Products,Hikvision Multiple Products Improper Authentication Vulnerability,2026-03-05,2026-03-26,Unknown,,Multiple Hikvision products contain an improper authentication vulnerability that could allow a malicious user to escalate privileges on the system and gain access to sensitive information.,2026-04-27T23:12:22Z
CVE-2021-22681,Rockwell,Multiple Products,Rockwell Multiple Products Insufficient Protected Credentials Vulnerability,2026-03-05,2026-03-26,Unknown,,Multiple Rockwell products contain an insufficient protected credentials vulnerability. Studio 5000 Logix Designer software may allow a key to be discovered. This key is used to verify Logix controlle,2026-04-27T23:12:22Z
CVE-2023-43000,Apple,Multiple Products,Apple Multiple products Use-After-Free Vulnerability,2026-03-05,2026-03-26,Unknown,AAPL,"Apple macOS, iOS, iPadOS, and Safari 16.6 contain a use-after-free vulnerability due to the processing of maliciously crafted web content that may lead to memory corruption.",2026-04-27T23:12:22Z
CVE-2021-30952,Apple,Multiple Products,Apple Multiple Products Integer Overflow or Wraparound Vulnerability,2026-03-05,2026-03-26,Unknown,AAPL,"Apple tvOS, macOS, Safari, iPadOS and watchOS contain an integer overflow or wraparound vulnerability due to the processing of maliciously crafted web content that may lead to arbitrary code execution",2026-04-27T23:12:22Z
CVE-2023-41974,Apple,iOS and iPadOS,Apple iOS and iPadOS Use-After-Free Vulnerability,2026-03-05,2026-03-26,Unknown,AAPL,Apple iOS and iPadOS contain a use-after-free vulnerability. An app may be able to execute arbitrary code with kernel privileges.,2026-04-27T23:12:22Z
CVE-2026-22719,Broadcom,VMware Aria Operations,Broadcom VMware Aria Operations Command Injection Vulnerability,2026-03-03,2026-03-24,Unknown,,"Broadcom VMware Aria Operations formerly known as vRealize Operations (vROps) contains a command injection vulnerability that allows an unauthenticated attacker to execute arbitrary commands, potentia",2026-04-27T23:12:22Z
CVE-2026-21385,Qualcomm,Multiple Chipsets,Qualcomm Multiple Chipsets Memory Corruption Vulnerability,2026-03-03,2026-03-24,Unknown,,Multiple Qualcomm chipsets contain a memory corruption vulnerability while using alignments for memory allocation. ,2026-04-27T23:12:22Z
CVE-2022-20775,Cisco,SD-WAN,Cisco SD-WAN Path Traversal Vulnerability,2026-02-25,2026-02-27,Unknown,CSCO,Cisco SD-WAN CLI contains a path traversal vulnerability that could allow an authenticated local attacker to gain elevated privileges via improper access controls on commands within the application CL,2026-04-27T23:12:22Z
CVE-2026-20127,Cisco,Catalyst SD-WAN Controller and Manager,Cisco Catalyst SD-WAN Controller and Manager Authentication Bypass Vulnerability,2026-02-25,2026-02-27,Unknown,CSCO,"Cisco Catalyst SD-WAN Controller, formerly SD-WAN vSmart, and Cisco Catalyst SD-WAN Manager, formerly SD-WAN vManage, contain an authentication bypass vulnerability could allow an unauthenticated, rem",2026-04-27T23:12:22Z
CVE-2026-25108,Soliton Systems K.K,FileZen,Soliton Systems K.K FileZen OS Command Injection Vulnerability,2026-02-24,2026-03-17,Unknown,,Soliton Systems K.K FileZen contains an OS command injection vulnerability when an user logs-in to the affected product and sends a specially crafted HTTP request.,2026-04-27T23:12:22Z
CVE-2025-49113,Roundcube,Webmail,RoundCube Webmail Deserialization of Untrusted Data Vulnerability,2026-02-20,2026-03-13,Unknown,,RoundCube Webmail contains a deserialization of untrusted data vulnerability that allows remote code execution by authenticated users because the _from parameter in a URL is not validated in program/a,2026-04-27T23:12:22Z
CVE-2025-68461,Roundcube,Webmail,RoundCube Webmail Cross-site Scripting Vulnerability,2026-02-20,2026-03-13,Unknown,,RoundCube Webmail contains a cross-site scripting vulnerability via the animate tag in an SVG document.,2026-04-27T23:12:22Z
CVE-2021-22175,GitLab,GitLab,GitLab Server-Side Request Forgery (SSRF) Vulnerability,2026-02-18,2026-03-11,Unknown,,GitLab contains a server-side request forgery (SSRF) vulnerability when requests to the internal network for webhooks are enabled.,2026-04-27T23:12:22Z
CVE-2026-22769,Dell,RecoverPoint for Virtual Machines (RP4VMs),Dell RecoverPoint for Virtual Machines (RP4VMs) Use of Hard-coded Credentials Vulnerability,2026-02-18,2026-02-21,Unknown,,Dell RecoverPoint for Virtual Machines (RP4VMs) contains an use of hard-coded credentials vulnerability that could allow an unauthenticated remote attacker to gain unauthorized access to the underlyin,2026-04-27T23:12:22Z
CVE-2020-7796,Synacor,Zimbra Collaboration Suite,Synacor Zimbra Collaboration Suite (ZCS) Server-Side Request Forgery Vulnerability,2026-02-17,2026-03-10,Unknown,,Synacor Zimbra Collaboration Suite (ZCS) contains a server-side request forgery vulnerability if WebEx zimlet installed and zimlet JSP is enabled.,2026-04-27T23:12:22Z
CVE-2024-7694,TeamT5,ThreatSonar Anti-Ransomware,TeamT5 ThreatSonar Anti-Ransomware Unrestricted Upload of File with Dangerous Type Vulnerability,2026-02-17,2026-03-10,Unknown,,TeamT5 ThreatSonar Anti-Ransomware contains an unrestricted upload of file with dangerous type vulnerability. ThreatSonar Anti-Ransomware does not properly validate the content of uploaded files. Remo,2026-04-27T23:12:22Z
CVE-2008-0015,Microsoft,Windows, Microsoft Windows Video ActiveX Control Remote Code Execution Vulnerability,2026-02-17,2026-03-10,Unknown,MSFT,Microsoft Windows Video ActiveX Control contains a remote code execution vulnerability. An attacker could exploit the vulnerability by constructing a specially crafted Web page. When a user views the ,2026-04-27T23:12:22Z
CVE-2026-2441,Google,Chromium,Google Chromium CSS Use-After-Free Vulnerability,2026-02-17,2026-03-10,Unknown,GOOGL,Google Chromium CSS contains a use-after-free vulnerability that could allow a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple ,2026-04-27T23:12:22Z
CVE-2026-1731,BeyondTrust,Remote Support (RS) and Privileged Remote Access (PRA),BeyondTrust Remote Support (RS) and Privileged Remote Access (PRA) OS Command Injection Vulnerability,2026-02-13,2026-02-16,Known,,BeyondTrust Remote Support (RS) and Privileged Remote Access (PRA)contain an OS command injection vulnerability. Successful exploitation could allow an unauthenticated remote attacker to execute opera,2026-04-27T23:12:22Z
CVE-2026-20700,Apple,Multiple Products,Apple Multiple Buffer Overflow Vulnerability,2026-02-12,2026-03-05,Unknown,AAPL,"Apple iOS, macOS, tvOS, watchOS, and visionOS contain an improper restriction of operations within the bounds of a memory buffer vulnerability that could allow an attacker with memory write the capabi",2026-04-27T23:12:22Z
CVE-2024-43468,Microsoft,Configuration Manager,Microsoft Configuration Manager SQL Injection Vulnerability,2026-02-12,2026-03-05,Unknown,MSFT,Microsoft Configuration Manager contains an SQL injection vulnerability. An unauthenticated attacker could exploit this vulnerability by sending specially crafted requests to the target environment wh,2026-04-27T23:12:22Z
CVE-2025-15556,Notepad++,Notepad++,Notepad++ Download of Code Without Integrity Check Vulnerability,2026-02-12,2026-03-05,Unknown,,"Notepad++ when using the WinGUp updater, contains a download of code without integrity check vulnerability that could allow an attacker to intercept or redirect update traffic to download and execute ",2026-04-27T23:12:22Z
CVE-2025-40536,SolarWinds,Web Help Desk,SolarWinds Web Help Desk Security Control Bypass Vulnerability,2026-02-12,2026-02-15,Unknown,,SolarWinds Web Help Desk contains a security control bypass vulnerability that could allow an unauthenticated attacker to gain access to certain restricted functionality.,2026-04-27T23:12:22Z
CVE-2026-21513,Microsoft,Windows,Microsoft MSHTML Framework Protection Mechanism Failure Vulnerability,2026-02-10,2026-03-03,Unknown,MSFT,Microsoft MSHTML Framework contains a protection mechanism failure vulnerability that could allow an unauthorized attacker to bypass a security feature over a network.,2026-04-27T23:12:22Z
CVE-2026-21525,Microsoft,Windows,Microsoft Windows NULL Pointer Dereference Vulnerability,2026-02-10,2026-03-03,Unknown,MSFT,Microsoft Windows Remote Access Connection Manager contains a NULL pointer dereference that could allow an unauthorized attacker to deny service locally.,2026-04-27T23:12:22Z
CVE-2026-21510,Microsoft,Windows,Microsoft Windows Shell Protection Mechanism Failure Vulnerability,2026-02-10,2026-03-03,Unknown,MSFT,Microsoft Windows Shell contains a protection mechanism failure vulnerability that could allow an unauthorized attacker to bypass a security feature over a network. ,2026-04-27T23:12:22Z
CVE-2026-21533,Microsoft,Windows,Microsoft Windows Improper Privilege Management Vulnerability,2026-02-10,2026-03-03,Unknown,MSFT,Microsoft Windows Remote Desktop Services contains an improper privilege management vulnerability that could allow an authorized attacker to elevate privileges locally.,2026-04-27T23:12:22Z
