captured_at,ticker,market,country_full,country_iso,currency,exchange,sector_gics,listing_type,name,close,prev_close,gap_pct,volume,vol_ratio_20d,regime
2026-04-25T03:28:48+00:00,SHOP.TO,CA,Canada,CAN,CAD,TSX,Information Technology,dual_listed,Shopify,171.88,170.27,0.95,1151166,0.64,quiet
2026-04-25T03:28:48+00:00,207940.KS,KR,South Korea,KOR,KRW,KRX,Health Care,ordinary,Samsung Biologics,1528000.0,1514000.0,0.92,59422,1.2,quiet
2026-04-25T03:28:48+00:00,NWG.L,UK,United Kingdom,GBR,GBP,LSE,Financials,ordinary,NatWest,579.4,584.6,-0.89,12684615,0.45,quiet
2026-04-25T03:28:48+00:00,BARC.L,UK,United Kingdom,GBR,GBP,LSE,Financials,ordinary,Barclays,424.1,427.8,-0.86,61778014,1.02,quiet
2026-04-25T03:28:48+00:00,3690.HK,HK,Hong Kong,HKG,HKD,HKEX,Consumer Discretionary,ordinary,Meituan,82.45,83.1,-0.78,36155043,0.6,quiet
2026-04-25T03:28:48+00:00,CSL.AX,AU,Australia,AUS,AUD,ASX,Health Care,ordinary,CSL,130.0,129.0,0.78,1626734,1.28,quiet
2026-04-25T03:28:48+00:00,SIE.DE,DE,Germany,DEU,EUR,XETRA,Industrials,ordinary,Siemens,243.4,241.65,0.72,1316819,0.95,quiet
2026-04-25T03:28:48+00:00,CBA.AX,AU,Australia,AUS,AUD,ASX,Financials,ordinary,Commonwealth Bank,174.49,173.38,0.64,1721446,0.93,quiet
2026-04-25T03:28:48+00:00,RIO.L,UK,United Kingdom,GBR,GBP,LSE,Materials,ordinary,Rio Tinto,7381.0,7424.0,-0.58,1047651,0.42,quiet
2026-04-25T03:28:48+00:00,6861.T,JP,Japan,JPN,JPY,TSE,Information Technology,ordinary,Keyence,63180.0,63470.0,-0.46,735200,1.09,quiet
2026-04-25T03:28:48+00:00,DGE.L,UK,United Kingdom,GBR,GBP,LSE,Consumer Staples,ordinary,Diageo,1469.0,1475.6,-0.45,2412488,0.34,quiet
2026-04-25T03:28:48+00:00,SHEL.L,UK,United Kingdom,GBR,GBP,LSE,Energy,ordinary,Shell,3307.5,3293.5,0.43,6008122,0.53,quiet
2026-04-25T03:28:48+00:00,DTE.DE,DE,Germany,DEU,EUR,XETRA,Communication Services,ordinary,Deutsche Telekom,27.53,27.42,0.4,7081136,0.86,quiet
2026-04-25T03:28:48+00:00,0700.HK,HK,Hong Kong,HKG,HKD,HKEX,Communication Services,ordinary,Tencent,493.4,495.2,-0.36,18566187,0.84,quiet
2026-04-25T03:28:48+00:00,BP.L,UK,United Kingdom,GBR,GBP,LSE,Energy,ordinary,BP,571.8,570.3,0.26,22417593,0.43,quiet
2026-04-25T03:28:48+00:00,000660.KS,KR,South Korea,KOR,KRW,KRX,Information Technology,ordinary,SK Hynix,1222000.0,1225000.0,-0.24,3127857,0.73,quiet
2026-04-25T03:28:48+00:00,PETR4.SA,BR,Brazil,BRA,BRL,B3,Energy,ordinary,Petrobras,47.77,47.67,0.21,34837100,0.63,quiet
2026-04-25T03:28:48+00:00,B3SA3.SA,BR,Brazil,BRA,BRL,B3,Financials,ordinary,B3 Exchange,19.03,19.07,-0.21,41676200,1.06,quiet
2026-04-25T03:28:48+00:00,FEMSAUBD.MX,MX,Mexico,MEX,MXN,BMV,Consumer Staples,ordinary,FEMSA,197.75,198.11,-0.18,938176,0.49,quiet
2026-04-25T03:28:48+00:00,WALMEX.MX,MX,Mexico,MEX,MXN,BMV,Consumer Staples,ordinary,Walmart Mexico,54.23,54.14,0.17,19814488,0.86,quiet
2026-04-25T03:28:48+00:00,TD.TO,CA,Canada,CAN,CAD,TSX,Financials,dual_listed,TD Bank,143.57,143.82,-0.17,4337934,0.59,quiet
2026-04-25T03:28:48+00:00,8306.T,JP,Japan,JPN,JPY,TSE,Financials,ordinary,Mitsubishi UFJ,2755.5,2752.0,0.13,22067000,0.59,quiet
2026-04-25T03:28:48+00:00,BHP.AX,AU,Australia,AUS,AUD,ASX,Materials,dual_listed,BHP Group,56.1,56.03,0.12,5869805,0.7,quiet
2026-04-25T03:28:48+00:00,RY.TO,CA,Canada,CAN,CAD,TSX,Financials,dual_listed,Royal Bank of Canada,239.83,239.56,0.11,5143933,1.2,quiet
2026-04-25T03:28:48+00:00,ALV.DE,DE,Germany,DEU,EUR,XETRA,Financials,ordinary,Allianz,390.1,389.8,0.08,653708,1.05,quiet
2026-04-25T03:28:48+00:00,9432.T,JP,Japan,JPN,JPY,TSE,Communication Services,ordinary,NTT,151.5,151.4,0.07,176730900,1.01,quiet
2026-04-25T03:28:48+00:00,HDFCBANK.NS,IN,India,IND,INR,NSE,Financials,ordinary,HDFC Bank,784.85,784.35,0.06,27720358,0.53,quiet
2026-04-25T03:28:48+00:00,VOD.L,UK,United Kingdom,GBR,GBP,LSE,Communication Services,ordinary,Vodafone,116.3,116.25,0.04,28026186,0.36,quiet
