event_id,title,category,source,status,start_date,lat,lon,link,captured_at
EONET_18592,Iceberg D15C,Sea and Lake Ice,NATICE,open,2026-04-24,-67.09,79.82,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_18592,2026-04-27T23:10:04Z
EONET_12618,Iceberg A84,Sea and Lake Ice,NATICE,open,2026-04-24,-73.24,-106.83,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12618,2026-04-27T23:10:04Z
EONET_6051,Iceberg C39,Sea and Lake Ice,NATICE,open,2026-04-24,-68.81,74.24,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,2026-04-27T23:10:04Z
EONET_6424,Iceberg D33B,Sea and Lake Ice,NATICE,open,2026-04-24,-66.98,-53.44,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6424,2026-04-27T23:10:04Z
EONET_12716,Iceberg A85,Sea and Lake Ice,NATICE,open,2026-04-24,-68.1,-57.29,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_12716,2026-04-27T23:10:04Z
EONET_5359,Iceberg A76C,Sea and Lake Ice,NATICE,open,2026-04-24,-58.65,-36.19,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_5359,2026-04-27T23:10:04Z
EONET_10212,Iceberg B22F,Sea and Lake Ice,NATICE,open,2026-04-24,-67.1,179.83,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_10212,2026-04-27T23:10:04Z
EONET_14284,Iceberg B22H,Sea and Lake Ice,NATICE,open,2026-04-24,-72.13,176.25,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_14284,2026-04-27T23:10:04Z
EONET_15852,Iceberg C18C,Sea and Lake Ice,NATICE,open,2026-04-24,-68.47,39.08,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_15852,2026-04-27T23:10:04Z
EONET_19840,"rx-66 Prescribed Fire, Burnett, Wisconsin",Wildfires,IRWIN,open,2026-04-23,45.8508587,-92.6535178,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19840,2026-04-27T23:10:04Z
EONET_19839,"Bauman Wildfire, Jackson, South Dakota",Wildfires,IRWIN,open,2026-04-23,43.631,-101.3950833,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19839,2026-04-27T23:10:04Z
EONET_19832,"Baldwin Fuels 6 RX Prescribed Fire, Lake, Michigan",Wildfires,IRWIN,open,2026-04-23,43.88275,-85.896883,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19832,2026-04-27T23:10:04Z
EONET_19843,"Peterson Wildfire, Holt, Nebraska",Wildfires,IRWIN,open,2026-04-23,42.12483,-99.04273,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19843,2026-04-27T23:10:04Z
EONET_19844,"Andrews Wildfire, Cherry, Nebraska",Wildfires,IRWIN,open,2026-04-22,42.763583,-101.004,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19844,2026-04-27T23:10:04Z
EONET_19841,"Hammer Wildfire, El Paso, Colorado",Wildfires,IRWIN,open,2026-04-22,38.67,-104.61,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19841,2026-04-27T23:10:04Z
