filer_cik,filer_name,sub_form,filed_date,url,title,captured_at
0001762562,Clarion Partners Real Estate Income Fund Inc.,SC 13D/A,2026-04-27,https://www.sec.gov/Archives/edgar/data/1762562/000003877726000097/0000038777-26-000097-index.htm,SCHEDULE 13D/A - Clarion Partners Real Estate Income Fund Inc. (0001762562) (Subject),2026-04-27T23:11:58Z
0000038777,FRANKLIN RESOURCES INC,SC 13D/A,2026-04-27,https://www.sec.gov/Archives/edgar/data/38777/000003877726000097/0000038777-26-000097-index.htm,SCHEDULE 13D/A - FRANKLIN RESOURCES INC (0000038777) (Filed by),2026-04-27T23:11:58Z
0001864843,BlackRock ESG Capital Allocation Term Trust,SC 13D/A,2026-04-27,https://www.sec.gov/Archives/edgar/data/1864843/000106299326002173/0001062993-26-002173-index.htm,SCHEDULE 13D/A - BlackRock ESG Capital Allocation Term Trust (0001864843) (Subject),2026-04-27T23:11:58Z
0001510281,"Saba Capital Management, L.P.",SC 13D/A,2026-04-27,https://www.sec.gov/Archives/edgar/data/1510281/000106299326002173/0001062993-26-002173-index.htm,"SCHEDULE 13D/A - Saba Capital Management, L.P. (0001510281) (Filed by)",2026-04-27T23:11:58Z
0001863302,AI Day1 LLC,SC 13D/A,2026-04-27,https://www.sec.gov/Archives/edgar/data/1863302/000119312526182591/0001193125-26-182591-index.htm,SCHEDULE 13D/A - AI Day1 LLC (0001863302) (Filed by),2026-04-27T23:11:58Z
0001845337,"Day One Biopharmaceuticals, Inc.",SC 13D/A,2026-04-27,https://www.sec.gov/Archives/edgar/data/1845337/000119312526182591/0001193125-26-182591-index.htm,"SCHEDULE 13D/A - Day One Biopharmaceuticals, Inc. (0001845337) (Subject)",2026-04-27T23:11:58Z
0001568322,Feldman Jesse,SC 13D,2026-04-27,https://www.sec.gov/Archives/edgar/data/1568322/000156832226000006/0001568322-26-000006-index.htm,SCHEDULE 13D - Feldman Jesse (0001568322) (Filed by),2026-04-27T23:11:58Z
0000351789,ELECTRO SENSORS INC,SC 13D,2026-04-27,https://www.sec.gov/Archives/edgar/data/351789/000156832226000006/0001568322-26-000006-index.htm,SCHEDULE 13D - ELECTRO SENSORS INC (0000351789) (Subject),2026-04-27T23:11:58Z
0001972219,"Blue & Silver Ventures, Ltd.",SC 13D/A,2026-04-27,https://www.sec.gov/Archives/edgar/data/1972219/000149315226019201/0001493152-26-019201-index.htm,"SCHEDULE 13D/A - Blue & Silver Ventures, Ltd. (0001972219) (Filed by)",2026-04-27T23:11:58Z
0001714562,"GameSquare Holdings, Inc.",SC 13D/A,2026-04-27,https://www.sec.gov/Archives/edgar/data/1714562/000149315226019201/0001493152-26-019201-index.htm,"SCHEDULE 13D/A - GameSquare Holdings, Inc. (0001714562) (Subject)",2026-04-27T23:11:58Z
0002029777,"venBio Global Strategic Fund V, L.P.",SC 13D,2026-04-27,https://www.sec.gov/Archives/edgar/data/2029777/000090514826001871/0000905148-26-001871-index.htm,"SCHEDULE 13D - venBio Global Strategic Fund V, L.P. (0002029777) (Filed by)",2026-04-27T23:11:58Z
0000949858,"ACHIEVE LIFE SCIENCES, INC.",SC 13D,2026-04-27,https://www.sec.gov/Archives/edgar/data/949858/000090514826001871/0000905148-26-001871-index.htm,"SCHEDULE 13D - ACHIEVE LIFE SCIENCES, INC. (0000949858) (Subject)",2026-04-27T23:11:58Z
0001703295,Ayers J. Jonathan,SC 13D/A,2026-04-27,https://www.sec.gov/Archives/edgar/data/1703295/000112329226000585/0001123292-26-000585-index.htm,SCHEDULE 13D/A - Ayers J. Jonathan (0001703295) (Filed by),2026-04-27T23:11:58Z
0001649749,FB Financial Corp,SC 13D/A,2026-04-27,https://www.sec.gov/Archives/edgar/data/1649749/000112329226000585/0001123292-26-000585-index.htm,SCHEDULE 13D/A - FB Financial Corp (0001649749) (Subject),2026-04-27T23:11:58Z
0001738758,"Cheer Holding, Inc.",SC 13G/A,2026-04-27,https://www.sec.gov/Archives/edgar/data/1738758/000092189526001089/0000921895-26-001089-index.htm,"SCHEDULE 13G/A - Cheer Holding, Inc. (0001738758) (Subject)",2026-04-27T23:11:58Z
