report_date,category,classification,product_type,firm,state,reason,voluntary,product_description,status,captured_at
20260415,food,Class II,Food,Connecticut Crab Company LLC,CT,"May be temperature abused, which may result in growth of Clostridium botulinum",Voluntary: Firm initiated,Crab Cakes various sizes sold to food service,Ongoing,2026-04-27T23:09:58Z
20260415,food,Class II,Food,Zarlengo Italian Ice,IL,"Soy Lecithin listed in ingredients statement, but Soy is not mentioned in the contains statement.",Voluntary: Firm initiated,Zarlengo's Double Dark Chocolate Gelato packaged in 1 Gallon bucket/pail - white round food and freezer grade High-Density Polyethylene bucket/pail with tamper resistant lid.,Ongoing,2026-04-27T23:09:58Z
20260415,food,Not Yet Classified,Food,AYCO FARMS INC,FL,Potential Salmonella Contamination,Voluntary: Firm initiated,"Fresh Cantaloupe (Whole, Fresh), brand name Ayco, wrapped in food safe plastic bags packed in corrugated cardboard cartons; 6-12 melons per box; individual carton count per label. Keep refrigerated; store between 36 40¿F.",Ongoing,2026-04-27T23:09:58Z
20260415,food,Class II,Food,Zarlengo Italian Ice,IL,"Soy Lecithin listed in ingredients statement, but Soy is not mentioned in the contains statement.",Voluntary: Firm initiated,"Zarlengo's Chocolate Chocolate Chip Gelato packaged in multiple sizes (6 fl oz cups, 16 fl oz cups, 32 fl oz cups, 1-gallon bucket/pail and 2-gallon bucket/pail) , Net Wt. 6 fl oz cups - clear freezer grade and round Polyethylene terephthal",Ongoing,2026-04-27T23:09:58Z
20260415,food,Class II,Food,Riverence Provisions LLC,ID,Label declares cream cheese but does not declare milk,Voluntary: Firm initiated,"Riverence Smoked Trout Dip, net wt. 7oz. Product is perishable, refrigerated, packaged in plastic tub. Product is shipped to consignee frozen by the case (12/7oz. units per case).   Retail container UPC 7 07651 30561 3. Case item UPC #00707",Ongoing,2026-04-27T23:09:58Z
20260415,food,Class I,Food,"Pure Vitamins and Natural Supplements, LLC",FL,FDA analysis revealed the presence of undeclared sildenafil,Voluntary: Firm initiated,"Blue Bull Extreme Male Enhancement Supplement, total of 15 pouches per box, Net Wt 15 G each pouch. Dosage: Consume Entire Pouch 30 Minutes before Intercourse. Produced by Blue Bull Corporation Made In USA. UPC Code 707443349917",Ongoing,2026-04-27T23:09:58Z
20260415,food,Class III,Food,MEI YU CHENG DA TRADING INC,NY,Products contain banned sweetener: cyclamates.,Voluntary: Firm initiated,"DADI NONGFU DRIED SALT CHILLI VEGETABLE(S); Ingredients: Radish, chili, roasted sesame, prickly ash, edible salt, soybean oil, edible vinegar, white granulated sugar, spices, food additives (sodium glutamate, citric acid, sodium benzoate, p",Completed,2026-04-27T23:09:58Z
20260415,food,Class I,Food,"Pure Vitamins and Natural Supplements, LLC",FL,FDA analysis revealed the presence of undeclared sildenafil,Voluntary: Firm initiated,"Red Bull Extreme Male Enhancement Supplement, total of 15 pouches per box, Net Wt 15 G each pouch. Dosage: Consume Entire Pouch 30 Minutes before Intercourse. Produced by Red Bull Corporation. Turkey www.redbullhoney.com UPC Code 9554100205",Ongoing,2026-04-27T23:09:58Z
20260415,food,Class III,Food,MEI YU CHENG DA TRADING INC,NY,Products contain banned sweetener: cyclamates.,Voluntary: Firm initiated,"Olive Skewers individually wrapped and packaged in clear plastic bag; 500g; INGREDIENTS: Olive, edible salt, white sugar, monosodium glutamate, licorice, cloves, food additives (citric acid, DL malic acid, saccharin, sodium saccharin, stevi",Completed,2026-04-27T23:09:58Z
20260415,food,Class II,Food,Zarlengo Italian Ice,IL,"Soy Lecithin listed in ingredients statement, but Soy is not mentioned in the contains statement.",Voluntary: Firm initiated,"Zarlengo's Chocolate Gelato packaged in multiple sizes (6 fl oz cups, 16 fl oz cups, 32 fl oz cups and 1-gallon bucket/pail) , Net Wt. 6 fl oz cups - clear freezer grade and round Polyethylene terephthalate cup with peelable paper lid, lami",Ongoing,2026-04-27T23:09:58Z
