list_name,rows,wins,losses,avg_gap_next_open_pct,avg_next_day_max_run_pct,avg_next_day_close_pct,hit_rate_2pct,hit_rate_3pct,hit_rate_5pct,hit_rate_2pct_net,avg_alpha_close_pct,avg_realistic_pnl_pct,avg_realistic_pnl_net_pct,published_rows,published_wins,published_losses,published_hit_rate_2pct,cohort_30d_rows,cohort_30d_hit_rate_2pct,cohort_60d_rows,cohort_60d_hit_rate_2pct,cohort_90d_rows,cohort_90d_hit_rate_2pct
sec_clean_gappers,601,252,262,-0.1072,5.0851,0.3922,44.43,36.44,23.63,41.60,0.4302,-0.2590,-0.5065,115,61,44,56.52,111,63.96,601,44.43,601,44.43
sec_clean_moat_core,74,34,40,0.0827,2.2714,0.0107,41.89,29.73,18.92,39.19,0.0304,-0.0565,-0.2565,5,4,1,40.00,14,57.14,74,41.89,74,41.89
sec_clean_value,109,51,58,0.1075,2.6718,0.0910,46.79,33.03,20.18,43.12,0.2450,-0.1100,-0.3293,6,4,2,33.33,16,56.25,109,46.79,109,46.79
sec_top_gappers,2552,970,1197,-0.0219,4.1659,-0.1238,43.81,35.11,22.30,41.65,-0.0831,-0.3696,-0.6168,120,62,48,55.00,512,58.01,2552,43.81,2552,43.81
sec_top_moat_core,137,59,78,0.0058,2.0820,-0.1266,39.42,26.28,13.14,37.23,-0.0972,-0.1877,-0.3877,6,5,1,33.33,24,45.83,137,39.42,137,39.42
sec_top_moat_emerging,2415,911,1119,-0.0234,4.2841,-0.1237,44.06,35.61,22.82,41.90,-0.0823,-0.3800,-0.6298,114,57,47,56.14,488,58.61,2415,44.06,2415,44.06
sec_top_value,2552,970,1197,-0.0219,4.1659,-0.1238,43.81,35.11,22.30,41.65,-0.0831,-0.3696,-0.6168,120,62,48,55.00,512,58.01,2552,43.81,2552,43.81
